中国概念股周三多数上涨 学而思大涨10.65%
　　新浪科技讯 北京时间11月11日凌晨消息，周三美国股市收高。美上周首次申请失业救济人数下降的消息推动美元汇率走高。G20峰会即将召开，市场情绪较为谨慎。中国概念股多数上涨，学而思大涨10.65%，新华悦动传媒涨9.77%，搜房网涨9.65%，创IPO以来新高。
　　美东时间11月10日16:00(北京时间11月11日05:00)，道琼斯工业平均指数上涨9.76点，收于11,356.51点，涨幅0.09%；纳斯达克综合指数上涨15.80点，收于2,578.78点，涨幅0.62%；标准普尔500指数上涨5.34点，收于1,218.74点，涨幅0.44%。
　　中国概念股周三多数上涨。学而思大涨10.65%，报8.83美元，新华悦动传媒分别上涨9.77%，报0.31美元，搜房网涨9.65%，报91.85美元，股价创IPO以来新高。
　　股票　最新价　涨跌幅
　　新浪　61.8　0.75%
　　CRIC　10.12　1.71%
　　网易　41.06　-0.15%
　　搜狐　77.39　2.25%
　　百度　111.58　2.19%
　　分众传媒　25.22　-0.12%
　　盛大　42.68　0.71%
　　盛大游戏　6.16　1.15%
　　巨人网络　7.04　-0.28%
　　畅游　32.29　1.96%
　　第九城市　6.13　-3.92%
　　完美时空　32.5　6.77%
　　携程网　46.68　-0.85%
　　金融界　8.33　0.36%
　　艺龙　20.68　0.97%
　　前程无忧　50.87　5.54%
　　掌上灵通　1.42　0.71%
　　空中网　7.69　0.52%
　　酷6传媒　5.14　2.80%
　　易居中国　16.95　-1.63%
　　如家快捷　45.96　2.54%
　　7天连锁　21.73　10.53%
　　新东方　110.78　5.48%
　　正保远程教育　5.17　-0.96%
　　华视传媒　3.71　-2.11%
　　航美传媒　7.27　3.27%
　　新华悦动传媒　0.31　9.96%
　　永新视博　6.72　-0.15%
　　UT斯达康　2.12　-1.40%
　　展讯通信　15.41　-1.28%
　　亚信科技　19.56　1.24%
　　中芯国际　4.03　-3.59%
　　中星微电子　3.71　0.27%
　　炬力　2.11　0.96%
　　侨兴环球　1.86　1.09%
　　德信无线　4　0.50%
　　无锡尚德　9.06　-1.20%
　　文思信息　37.15　1.53%
　　诺亚舟　2.06　-3.74%
　　中华网　4.58　1.10%
　　CDC软件　7.34　1.94%
　　侨兴移动　4.02　0.00%
　　国人通信　2.96　1.37%
　　汉庭连锁酒店　22.11　-3.03%
　　大华建设　0.83　-2.35%
　　搜房网　91.85　9.65%
　　蓝汛　29.68　1.30%
　　高德软件　19.92　-1.97%
　　麦考林　16.3　3.10%

