中国概念股周一多数下跌 永新视博上涨7.16%
　　新浪科技讯 北京时间11月23日凌晨消息，周一美国股市收盘涨跌不一。FBI因内线交易案突袭调查数家对冲基金，导致金融板块普遍下滑。欧元区金融稳定性仍然令投资者感到担心。中国概念股多数下跌，永新视博上涨7.16%，华视传媒下跌4.95%。
　　美东时间11月22日16:00(北京时间11月23日05:00)，道琼斯工业平均指数下跌24.97点，收于11,178.58点，跌幅0.22%；纳斯达克综合指数上涨13.90点，收于2,532.02点，涨幅0.55%；标准普尔500指数下跌1.89点，收于1,197.84点，跌幅0.16%。
　　道指盘中最多曾下跌超过149点。道指30种工业成分股全部下跌，以美国银行(BAC)和摩根大通银行(JPM)为首的金融板块领跌。
　　中国概念股周一多数下跌。永新视博上涨7.16%，报7.78美元；华视传媒下跌4.95%，报3.46美元。
　　股票　最新价　涨跌幅
　　新浪　60.09　0.75%
　　CRIC　9.49　-1.86%
　　网易　39.03　0.46%
　　搜狐　75.84　2.64%
　　百度　108.87　0.26%
　　分众传媒　25.43　2.17%
　　盛大　40.5　0.65%
　　盛大游戏　5.8　-0.17%
　　巨人网络　7.1　0.42%
　　畅游　31.64　-0.13%
　　第九城市　6.71　0.90%
　　完美时空　25.43　-2.04%
　　携程网　47　-0.80%
　　金融界　7.69　-2.66%
　　艺龙　20　-4.40%
　　前程无忧　47.55　0.40%
　　掌上灵通　1.46　-3.78%
　　空中网　7.64　-0.65%
　　酷6传媒　5.17　2.17%
　　易居中国　13.94　-5.04%
　　如家快捷　48.08　-0.25%
　　7天连锁　22.74　1.79%
　　新东方　108.81　1.34%
　　正保远程教育　5.05　0.60%
　　华视传媒　3.46　-4.95%
　　航美传媒　8.07　4.81%
　　新华悦动传媒　0.25　3.29%
　　永新视博　7.78　7.16%
　　UT斯达康　2.16　-0.46%
　　展讯通信　16.66　2.97%
　　亚信科技　17.92　1.07%
　　中芯国际　3.67　-1.61%
　　中星微电子　3.54　-2.21%
　　炬力　2.09　-2.79%
　　侨兴环球　1.78　0.00%
　　德信无线　3.92　0.00%
　　无锡尚德　7.31　-2.27%
　　文思信息　37.88　5.81%
　　诺亚舟　2.02　1.51%
　　中华网　4.18　-2.79%
　　CDC软件　7.28　0.97%
　　侨兴移动　3.92　4.26%
　　国人通信　2.95　0.00%
　　汉庭连锁酒店　23.83　-1.33%
　　大华建设　0.71　0.84%
　　搜房网　76.58　-0.25%
　　蓝汛　31.16　0.91%
　　高德软件　19　-4.52%
　　麦考林　14.56　-0.82%

