福布斯发布“2010中国最佳创业投资人”榜单
　　本报讯(记者 李洪鹏)昨日，美国知名财经杂志《福布斯》的中文版，发布了2010年中国最佳创业投资人榜单。红杉资本中国基金的沈南鹏、纪源资本的吴家?，以及赛富基金的阎焱获得前三名。
　　从行业来看，消费、互联网、清洁技术、医疗健康等行业，是目前最受这些投资人青睐的领域。在50位上榜者中，超过1/3投资了消费领域。
　　同时，越来越多的投资人也开始试水中国文化娱乐产业。
　　本月，红杉资本和海纳亚洲等机构投资的保利博纳在美国上市。而达晨创投日前宣布，将在湖南成立规模达30 亿元的文化产业基金，专注于文化传媒产业的投资。
　　●背景链接：《福布斯》中国最佳创业投资人的评选，旨在推出眼光独特、善于在中国市场把握机会并帮助创业公司成长的投资家，以此推动中国创业投资行业的发展。
　　注：TMT是科技、媒体和通信三个英文单词缩写的第一个字头，是信息技术融合下产生的一个新领域
　　2010中国最佳创业投资人
　　排名 姓名 机构及职位 主要投资领域
　　1 沈南鹏 红杉资本中国基金创始人 TMT、医疗服务、新能源
　　2 吴家? 纪源资本合伙人 TMT、生物医药、医疗
　　3 阎焱 赛富基金合伙人 TMT、大众消费
　　4 靳海涛 深创投董事长 不限
　　5 吴尚志 鼎晖投资董事长 消费、TMT
　　6 冯涛 永宣投资总裁 IT、可持续发展、环保
　　7 章苏阳 IDG资本合伙人 医疗服务、连锁、消费
　　8 刘昼 达晨创投董事长 TMT、消费、节能环保
　　9 汝林琪 凯鹏华盈合伙人 TMT
　　10 王刚 捷鸿资本创始人 新能源、TMT、环保

