中国概念股周五涨跌互现 新浪和软通动力创新高
　　新浪科技讯 北京时间1月15日凌晨消息，受金融股普涨推动，周五美国股市收于30个月新高。摩根大通银行盈利超出预期、美国工业产值与商业销售均有所改善，增强了市场信心。中国概念股涨跌互现，各股涨跌幅均不大，但新浪和软通动力两公司均再创历史新高。
　　新浪涨3.09%报88.17美元，软通动力涨5.9%报20.65美元；另外，九城跌5.13%报7.95美元。
　　美东时间1月14日16:00(北京时间1月15日05:00)，道琼斯工业平均指数上涨55.48点，收于11,787.38点，涨幅0.47%；纳斯达克综合指数上涨20.01点，收于2,755.30点，涨幅0.73%；标准普尔500指数上涨9.48点，收于1,293.24点，涨幅0.74%。
　　今天盘中道指最高曾攀升至11,794.15点，创2008年6月以来盘中新高。至此本周内道指已经上涨了0.9%，并将其连续上涨行情延续到第七周。（飞宇）
　　股票　最新价　涨跌幅
　　新浪　88.17　3.09%
　　CRIC　8.86　1.14%
　　网易　38.73　-0.69%
　　搜狐　69.75　0.10%
　　百度　107.73　1.39%
　　分众传媒　23.5　-1.59%
　　盛大　40.28　-2.11%
　　盛大游戏　6.51　-1.21%
　　巨人网络　7.24　0.14%
　　畅游　30.89　0.00%
　　第九城市　7.95　-5.13%
　　完美时空　21.24　-0.89%
　　携程网　42.09　-2.41%
　　金融界　6.26　0.48%
　　艺龙　18.11　0.33%
　　前程无忧　57.93　0.09%
　　掌上灵通　1.65　-1.79%
　　空中网　6.92　5.01%
　　酷6传媒　4.75　-2.46%
　　易居中国　15.27　1.33%
　　如家快捷　37.35　-3.76%
　　7天连锁　21.92　-2.23%
　　新东方　107.71　-0.86%
　　正保远程教育　5　1.42%
　　华视传媒　4.65　3.56%
　　航美传媒　7　1.16%
　　新华悦动传媒　0.17　-4.42%
　　永新视博　7.17　-2.45%
　　UT斯达康　2.32　0.43%
　　展讯通信　20　1.78%
　　亚信科技　19.29　-0.26%
　　中芯国际　4.03　-0.49%
　　中星微电子　3.61　-1.63%
　　炬力　2.32　2.20%
　　侨兴环球　2.71　-2.52%
　　德信无线　4.33　0.11%
　　无锡尚德　8.94　-2.19%
　　文思信息　35.55　-0.70%
　　诺亚舟　2.04　0.49%
　　中华网　3.57　-0.28%
　　CDC软件　6.94　-0.29%
　　侨兴移动　4.9　-2.00%
　　国人通信　3.5　2.34%
　　汉庭连锁酒店　23.46　-1.26%
　　大华建设　1.58　0.00%
　　搜房网　80.5　0.98%
　　蓝汛　20.82　-0.53%
　　高德软件　19.12　-0.42%
　　麦考林　6.98　-3.06%
　　优酷网　37.48　-0.27%
　　当当网　33.86　-1.54%
　　博纳影业　6.17　2.49%
　　斯凯　5.05　-1.94%
　　软通动力　20.65　5.90%

