中国概念股周一涨跌互现 新浪大涨6%
　　新浪科技讯 北京时间1月25日凌晨消息，周一美国股市收高，道指创下两年半新高，并于2008年中以来首次逼近12000点关口。投资者对本周将公布的财报和奥巴马的国情咨文持乐观预期，推动股市走高。中国概念股涨跌互现，新浪涨6.02%报83.50美元。麦考林跌10.98%报5.47美元，股价创新低。
　　另外，新华悦动传媒完成15合1并股，股票代码暂改为XSELD，今日跌7.34%报2.02美元。
　　美东时间1月24日16:00(北京时间1月25日05:00)，道琼斯工业平均指数上涨108.68点，收于11,980.52点，涨幅0.92%；纳斯达克综合指数上涨28.01点，收于2,717.55点，涨幅1.04%；标准普尔500指数上涨7.49点，收于1,290.84点，涨幅0.58%。
　　周一盘中道指最高曾上涨至11,982.94点，创2年半新高。
　　股票　最新价　涨跌幅
　　新浪　83.5　6.02%
　　CRIC　8.56　-2.95%
　　网易　41.06　4.48%
　　搜狐　66.81　0.38%
　　百度　106.36　1.20%
　　分众传媒　23.93　0.67%
　　盛大　40　0.03%
　　盛大游戏　6.12　-2.86%
　　巨人网络　6.99　1.01%
　　畅游　31.53　1.48%
　　第九城市　7.48　2.05%
　　完美时空　24　0.46%
　　携程网　42.76　-0.72%
　　金融界　5.9　-2.32%
　　艺龙　18.01　-0.72%
　　前程无忧　56.41　2.04%
　　掌上灵通　1.52　0.66%
　　空中网　7.02　0.29%
　　酷6传媒　4.69　1.30%
　　易居中国　16.14　0.62%
　　如家快捷　37.36　1.49%
　　7天连锁　19.62　-0.36%
　　新东方　101.24　1.49%
　　正保远程教育　4.83　-1.43%
　　华视传媒　4.55　1.11%
　　航美传媒　7.26　1.82%
　　新华悦动传媒　2.02　-7.34%
　　永新视博　6.7　-1.62%
　　UT斯达康　2.11　-1.40%
　　展讯通信　19.57　2.95%
　　亚信科技　17.97　-0.66%
　　中芯国际　3.99　-0.75%
　　中星微电子　3.32　-0.60%
　　炬力　2.26　-1.74%
　　侨兴环球　2.6　3.79%
　　德信无线　4.06　-0.27%
　　无锡尚德　9.36　4.70%
　　文思信息　35.1　0.75%
　　诺亚舟　2　-2.44%
　　中华网　3.4　1.49%
　　CDC软件　7.06　0.28%
　　侨兴移动　4.66　2.19%
　　国人通信　3.11　4.71%
　　汉庭连锁酒店　21.36　0.33%
　　大华建设　1.38　-1.43%
　　搜房网　80.63　-1.44%
　　蓝汛　23.1　4.43%
　　高德软件　18.05　-3.73%
　　麦考林　5.48　-10.89%
　　优酷网　31.65　-2.56%
　　当当网　30.14　-0.69%
　　博纳影业　7.22　0.42%
　　斯凯　6.91　1.17%
　　软通动力　19.71　-1.45%

