中国概念股周四多数上涨 中芯国际涨6.74%
　　新浪科技讯 北京时间周五凌晨消息 美国股市周四收高，费城地区制造业报告给投资者带来惊喜，但上周首次申请失业救济人数与1月份CPI均高于预期。中国概念股多数上涨，中芯国际涨6.74%报4.75美元；学大教育跌6.16%报8.83美元；其它各股涨跌幅均不大。
　　另外，盛大网络跌3.57%报42.68美元；优酷涨3.32%报36.06美元，九城跌3.55%报7.88美元。
　　截至收盘，道琼斯工业平均指数上涨了29.97点，收报12318.14点，创两年半新高，涨幅为0.24%。道指成份股中可口可乐与杜邦领涨。
　　标准普尔500指数上涨了4.11点，收报1340.43点，涨幅为0.31%。能源与原材料板块涨幅居前，标普500指数在昨日已从金融危机时的低点上涨了100%。
　　纳斯达克综合指数上涨了6.02点，收报2831.58点，涨幅为0.21%。
　　股票　最新价　涨跌幅
　　新浪　88.1　-1.83%
　　CRIC　7.11　-2.07%
　　网易　44.53　0.52%
　　搜狐　84.91　-0.99%
　　百度　128.54　-0.13%
　　分众传媒　26.18　-0.27%
　　盛大　42.68　-3.57%
　　盛大游戏　6.11　0.16%
　　巨人网络　7.89　3.54%
　　畅游　37.28　1.77%
　　第九城市　7.88　-3.55%
　　完美时空　21.1　0.14%
　　携程网　40.13　2.32%
　　金融界　5.5　0.36%
　　艺龙　13.3　0.38%
　　前程无忧　59.67　0.20%
　　掌上灵通　1.46　-0.68%
　　空中网　7.53　0.40%
　　酷6传媒　3.9　-1.27%
　　易居中国　13.62　-2.08%
　　如家快捷　34.39　1.12%
　　7天连锁　19.45　3.13%
　　新东方　96.7　-0.43%
　　正保远程教育　4.32　-3.14%
　　华视传媒　4.7　-2.49%
　　航美传媒　7.18　-0.28%
　　新华悦动传媒　1.74　0.54%
　　永新视博　6.77　0.59%
　　UT斯达康　2.31　1.76%
　　展讯通信　22.89　0.79%
　　亚信科技　20.9　-0.48%
　　中芯国际　4.75　6.74%
　　中星微电子　3.08　-0.32%
　　炬力　2.45　2.08%
　　侨兴环球　2.56　0.79%
　　德信无线　4.34　1.40%
　　无锡尚德　10.13　2.12%
　　文思信息　32.65　-1.63%
　　诺亚舟　2.02　-1.46%
　　中华网　3.15　0.96%
　　CDC软件　6.75　0.00%
　　侨兴移动　4.83　-0.41%
　　国人通信　3.12　-0.32%
　　汉庭连锁酒店　18.04　1.01%
　　大华建设　1.26　0.00%
　　搜房网　81.73　-0.27%
　　蓝汛　17.14　1.42%
　　高德软件　15.95　1.40%
　　麦考林　5.66　1.07%
　　优酷网　36.06　3.32%
　　当当网　26.8　-0.48%
　　博纳影业　7.4　0.00%
　　斯凯　9.08　-1.84%
　　软通动力　19.05　-1.70%

