中国概念股周三多数下跌 海辉软件大跌17.9%
　　新浪科技讯 北京时间2月24日凌晨消息 受利比亚局势导致油价继续飙升以及惠普营收增速放缓消息影响，美股周三连续第二个交易日下跌。中国概念股多数下跌，海辉软件修正2010年业绩预期大跌17.92%报25.77美元；斯凯网络涨 9.67%报9.98美元创52周新高。
　　另外，软通动力跌 6.11%报17.68美元；展讯通信跌 6.80%报19.61美元；正保远程教育跌 4.71%报4.05美元；
　　截至收盘，道琼斯工业平均指数下跌了107.01点，至12105.78点，跌幅为0.88%；纳斯达克综合指数下跌了33.43点，至2722.99点，跌幅为1.21%；标准普尔500指数下跌了8.04点，至1307.40点，跌幅为0.61%。
　　股票　最新价　涨跌幅
　　新浪　75.64　-3.17%
　　CRIC　6.9　-1.99%
　　网易　42.88　-0.28%
　　搜狐　79.55　-0.56%
　　百度　115.9　-3.64%
　　分众传媒　25.37　-0.63%
　　盛大　40.32　-1.71%
　　盛大游戏　5.71　-2.06%
　　巨人网络　7.73　3.76%
　　畅游　34.79　-1.22%
　　第九城市　7.35　-0.41%
　　完美时空　20.85　4.25%
　　携程网　37.31　-2.58%
　　金融界　5.1　-1.92%
　　艺龙　13.42　-3.87%
　　前程无忧　56.04　-1.60%
　　掌上灵通　1.45　0.00%
　　空中网　7.26　-1.63%
　　酷6传媒　3.6　-2.96%
　　易居中国　12.49　-4.36%
　　如家快捷　32.95　1.23%
　　7天连锁　18.19　-3.30%
　　新东方　92.98　-1.98%
　　正保远程教育　4.05　-4.71%
　　华视传媒　4.32　0.23%
　　航美传媒　6.64　-0.30%
　　新华悦动传媒　1.51　2.72%
　　永新视博　6.65　0.45%
　　UT斯达康　2.12　-4.93%
　　展讯通信　19.61　-6.80%
　　亚信科技　18.83　-3.83%
　　中芯国际　3.91　1.03%
　　中星微电子　3.07　-0.97%
　　炬力　2.49　1.63%
　　侨兴环球　2.39　1.27%
　　德信无线　4.2　-2.33%
　　无锡尚德　9.75　-2.99%
　　文思信息　30.6　-2.89%
　　诺亚舟　2.09　3.98%
　　中华网　2.93　-3.30%
　　CDC软件　6.07　-5.30%
　　侨兴移动　4.46　-3.67%
　　国人通信　2.9　-5.54%
　　汉庭连锁酒店　16.85　-1.06%
　　大华建设　1.17　-0.86%
　　搜房网　19.51　-3.56%
　　蓝汛　16.8　-1.12%
　　高德软件　15.25　-1.19%
　　麦考林　5.65　-0.70%
　　优酷网　32.75　-0.40%
　　当当网　23.55　-4.31%
　　博纳影业　7.55　1.34%
　　斯凯　9.97　9.56%
　　软通动力　17.68　-6.11%
　　创博国际　4.54　-0.66%
　　海辉软件　25.77　-17.92%

