中国概念股周一多数下跌 金融界逆势涨13.45%
　　新浪科技讯 北京时间4月12日凌晨消息，周一美国股市大体收低，成交量清淡。美国上市公司财报披露季节即将拉开序幕，投资者普遍谨慎观望。中国概念股多数下跌，金融界逆势大涨13.45%报5.06美元；百度涨2.68%报145.68美元，创52周新高；奇虎跌2.67%报24.80美元，创IPO以来新低。
　　另外，UT斯达康下跌 6.05%报2.64美元；斯凯网络下跌 6.20%报12.55美元。
　　美东时间4月11日16:00(北京时间4月12日04:00)，道琼斯工业平均指数上涨1.06点，收于12,381.11点，涨幅0.01%；纳斯达克综合指数下跌8.91点，收于2,771.51点，跌幅0.32%；标准普尔500指数下跌3.72点，收于1,324.45点，跌幅0.01%。
　　股票　最新价　涨跌幅
　　新浪　116.27　-2.58%
　　CRIC　8.5　2.91%
　　网易　52.78　-0.28%
　　搜狐　94.74　-1.67%
　　百度　145.68　2.68%
　　分众传媒　31.28　-0.16%
　　盛大　43.37　-0.62%
　　盛大游戏　6.56　0.92%
　　巨人网络　7.62　-0.52%
　　畅游　35.15　2.72%
　　第九城市　6.84　-1.58%
　　完美世界　24.42　-0.08%
　　携程网　45.25　-0.98%
　　金融界　5.06　13.45%
　　艺龙　14.6　0.11%
　　前程无忧　61.11　-2.55%
　　掌上灵通　1.3　-1.51%
　　空中网　9.73　-0.31%
　　酷6传媒　3.95　2.07%
　　易居中国　13.07　-0.61%
　　如家快捷　42.22　-2.58%
　　7天连锁　22.5　-2.00%
　　新东方　115.79　-1.95%
　　正保远程教育　3.5　1.16%
　　华视传媒　4.22　-3.65%
　　航美传媒　5.21　-3.16%
　　永新视博　7.25　0.42%
　　UT斯达康　2.64　-6.05%
　　展讯通信　20.35　0.00%
　　亚信科技　20.65　-3.41%
　　中芯国际　3.75　-0.79%
　　中星微电子　2.99　2.75%
　　炬力　2.48　0.81%
　　侨兴环球　2.12　0.47%
　　德信无线　4.24　-2.53%
　　无锡尚德　9.27　-1.59%
　　文思信息　33.94　-1.77%
　　诺亚舟　2.24　1.35%
　　中华网　2.43　-3.57%
　　CDC软件　4.75　0.63%
　　侨兴移动　3.12　0.00%
　　国人通信　3.37　-1.75%
　　汉庭连锁酒店　20.7　4.23%
　　联游网络　1.2　0.00%
　　搜房网　21.14　2.52%
　　蓝汛　16.97　-3.85%
　　高德软件　17.79　-0.78%
　　麦考林　5.71　0.00%
　　优酷网　52.44　-3.35%
　　当当网　19.96　-1.87%
　　博纳影业　6.36　-1.62%
　　斯凯　12.55　-6.20%
　　软通动力　18.72　-0.90%
　　创博国际　3.9　5.12%
　　海辉软件　20.5　0.54%
　　奇虎360　24.8　-2.67%

