中国概念股周二涨跌互现 斯凯网络大涨17%
　　新浪科技讯 北京时间4月28日凌晨消息，周三美国股市收高，主要股指再创3年新高。美联储宣称将按期结束收购资产的QE2计划。美联储伯南克主持的新闻发布会受到投资者密切关注。中国概念股涨跌互现，九城大涨14.33%报7.42美元；新东方涨7.99%报128.19美元，创52周新高；斯凯网络大涨17.06%报20.31美元，创历史新高。
　　酷6传媒涨7.77%报7.07美元；另外，奇虎360跌6.15%报30.24美元；世纪互联跌7.46%报16.25美元创新低；海辉软件跌4.76%报19.01美元；空中网跌4.37%报8.10美元；文思信息跌4.22%报30.18美元；高德软件跌4.70%报18.85美元。
　　美东时间4月27日16:00(北京时间4月28日04:00)，道琼斯工业平均指数上涨95.59点，收于12,690.96点，涨幅0.76%；纳斯达克综合指数上涨22.34点，收于2,869.88点，涨幅0.78%；标准普尔500指数上涨8.42点，收于1,355.66点，涨幅0.62%。
　　股票　最新价　涨跌幅
　　新浪　129.06　-4.12%
　　CRIC　8.42　-4.10%
　　网易　49.43　-0.58%
　　搜狐　106.16　5.16%
　　百度　151.11　-0.83%
　　分众传媒　34.45　-3.47%
　　盛大　48.85　-0.89%
　　盛大游戏　7.37　0.00%
　　巨人网络　8.39　0.36%
　　畅游　44.3　-2.72%
　　第九城市　7.42　14.33%
　　完美世界　26.45　1.19%
　　携程网　48.19　-0.76%
　　金融界　5.74　-2.38%
　　艺龙　14.43　0.84%
　　前程无忧　57.43　-2.59%
　　掌上灵通　1.22　1.24%
　　空中网　8.1　-4.37%
　　酷6传媒　7.07　7.77%
　　易居中国　12.25　-3.92%
　　如家快捷　43.69　0.28%
　　7天连锁　22.26　2.68%
　　新东方　128.19　7.99%
　　正保远程教育　3.89　0.52%
　　华视传媒　4.12　0.49%
　　航美传媒　4.57　-1.08%
　　永新视博　6.95　2.21%
　　UT斯达康　2.54　0.40%
　　展讯通信　22.03　-3.38%
　　亚信科技　19.01　-2.01%
　　中芯国际　4.1　4.06%
　　中星微电子　2.8　0.00%
　　炬力　2.39　-0.42%
　　侨兴环球　2.07　1.47%
　　德信无线　4.18　1.00%
　　无锡尚德　8.63　-1.37%
　　文思信息　30.18　-4.22%
　　诺亚舟　2.47　-0.80%
　　中华网　3.24　-2.41%
　　CDC软件　5.15　-0.96%
　　侨兴移动　2.98　3.47%
　　国人通信　3.06　-0.33%
　　汉庭连锁酒店　22.02　0.78%
　　联游网络　1.34　-1.46%
　　BCD半导体　10.29　3.31%
　　搜房网　22.73　-0.92%
　　蓝汛　17.21　-1.83%
　　高德软件　18.85　-4.70%
　　麦考林　5.64　0.36%
　　优酷网　61.17　-5.54%
　　当当网　23.5　-3.33%
　　博纳影业　6.36　3.41%
　　斯凯　20.31　17.06%
　　软通动力　19.97　-2.85%
　　创博国际　3.85　-2.53%
　　海辉软件　19.01　-4.76%
　　奇虎360　30.24　-6.15%
　　世纪互联　16.25　-7.46%

