中国概念股周三普遍下跌 搜房网大跌10.6%
　　新浪科技讯 北京时间5月12日凌晨消息，周三美国股市大幅收低，结束了此前三连阳势头。美元兑欧元汇率大涨，通货紧缩迹象以及全球加息的预期导致大宗商品期货价格普遍重挫。中国概念股普遍下跌，搜房网大跌10.62%报24.06美元；人人大跌8.54%报13.49美元首次跌破14美元发行价；世纪佳缘IPO首日收报10.52美元跌4.36%。
　　另外，蓝讯通信跌7.17%报14.75美元；酷6传媒跌 7.21%报6.05美元；中华网软件和CDC软件分别下跌5.78%和5.03%；网秦涨4.44%报8.00美元。
　　美东时间5月11日16:00(北京时间5月12日04:00)，道琼斯工业平均指数下跌130.33点，收于12,630.03点，跌幅1.02%；纳斯达克综合指数下跌26.83点，收于2,845.06点，跌幅0.93%；标准普尔500指数下跌15.09点，收于1,342.07点，跌幅1.11%。
　　股票　最新价　涨跌幅
　　新浪　116.4　-3.07%
　　CRIC　8.16　-1.39%
　　网易　45.64　-1.06%
　　搜狐　92.03　-3.69%
　　百度　138.9　-2.35%
　　分众传媒　33.86　-3.23%
　　盛大　49.09　3.61%
　　盛大游戏　7.14　0.99%
　　巨人网络　9.26　2.83%
　　畅游　43.48　-2.20%
　　第九城市　6.45　-1.07%
　　完美世界　24.99　-0.16%
　　携程网　47.36　-2.59%
　　金融界　5.05　-2.51%
　　艺龙　16.55　0.85%
　　前程无忧　63.24　-0.92%
　　掌上灵通　1.13　-4.24%
　　空中网　7.98　0.50%
　　酷6传媒　6.05　-7.21%
　　易居中国　11.21　-2.86%
　　华视传媒　4.34　-2.47%
　　航美传媒　4　-3.85%
　　永新视博　6.57　-3.52%
　　UT斯达康　2.19　-3.52%
　　展讯通信　19.54　4.05%
　　亚信科技　20.15　-0.15%
　　中芯国际　5.7　5.95%
　　中星微电子　2.76　0.05%
　　炬力　2.3　-2.54%
　　侨兴环球　1.85　-1.60%
　　德信无线　5.38　-4.27%
　　文思信息　31.39　-1.10%
　　诺亚舟　2.4　0.00%
　　中华网　2.77　-5.78%
　　CDC软件　4.91　-5.03%
　　侨兴移动　2.62　-3.68%
　　国人通信　3.19　-2.15%
　　联游网络　1.4　1.45%
　　BCD半导体　9.49　0.81%
　　搜房网　23.51　-12.69%
　　蓝汛　14.75　-7.17%
　　高德软件　18.7　1.96%
　　麦考林　5.21　-1.14%
　　优酷网　50.78　-7.29%
　　当当网　21.25　-2.75%
　　斯凯　11.18　-4.44%
　　软通动力　19.96　-4.73%
　　创博国际　3.76　1.07%
　　海辉软件　17.35　0.12%
　　奇虎360　25.65　-0.39%
　　世纪互联　14.73　-4.04%
　　人人公司　13.18　-10.64%
　　网秦　8　4.44%
　　世纪佳缘　10.52　-4.36%

