中国概念股周二涨跌互现 艺龙暴涨56.7%
　　新浪科技讯 北京时间5月18日凌晨消息，周二美国股市收盘涨跌不一。4月新屋开建数字及产能利用率令人失望；惠普调降业绩目标，均暗示美国经济完全复苏之路仍然坎坷。大宗商品期货市场再度下滑。中国概念股涨跌互现，艺龙网因腾讯收购其16%股权暴涨56.72%报26.58美元，创52周新高；新浪大涨6.27%报112.94美元。
　　空中网涨6.39%报5.83美元；易车网涨7.26%报7.98美元；奇虎360涨7.33%报26.79美元。中芯国际下跌7.39%报5.14美元；国人通信跌6.36%报2.65美元；文思信息跌7.28%报26.25美元；海辉软件跌5.55%报15.31美元。
　　美东时间5月17日16:00(北京时间5月18日04:00)，道琼斯工业平均指数下跌74.62点，收于12,473.75点，跌幅0.59%；纳斯达克综合指数上涨0.90点，收于2,783.21点，涨幅0.03%；标准普尔500指数下跌0.49点，收于1,328.98点，跌幅0.04%。
　　股票　最新价　涨跌幅
　　新浪　112.94　6.27%
　　CRIC　7.49　-2.47%
　　网易　45.85　1.42%
　　搜狐　83.54　4.09%
　　百度　131.81　3.16%
　　分众传媒　32.57　1.50%
　　盛大　42.99　1.97%
　　盛大游戏　6.62　-3.64%
　　巨人网络　8.51　-1.73%
　　畅游　40.84　1.47%
　　第九城市　6.03　-1.55%
　　完美世界　23.94　3.91%
　　携程网　44.18　-4.70%
　　金融界　4.8　-0.21%
　　艺龙　26.58　56.72%
　　前程无忧　56.4　-3.23%
　　掌上灵通　1　0.99%
　　空中网　5.83　6.39%
　　酷6传媒　4.95　-2.94%
　　易居中国　10.13　-1.55%
　　华视传媒　4.1　-1.91%
　　航美传媒　3.52　3.23%
　　永新视博　5.58　-12.68%
　　UT斯达康　2.12　3.41%
　　展讯通信　19.29　-2.53%
　　亚信科技　19.45　-1.52%
　　中芯国际　5.14　-7.39%
　　中星微电子　2.64　-1.12%
　　炬力　2.26　0.00%
　　侨兴环球　1.74　-1.14%
　　德信无线　6.27　2.12%
　　文思信息　26.25　-7.28%
　　诺亚舟　2.45　2.08%
　　中华网　2.72　4.62%
　　CDC软件　4.77　-0.99%
　　侨兴移动　2.53　-0.78%
　　国人通信　2.65　-6.36%
　　联游网络　1.45　1.40%
　　BCD半导体　9.27　-2.01%
　　搜房网　21.19　4.90%
　　蓝汛　12.71　-4.22%
　　高德软件　18.07　3.26%
　　麦考林　5.05　-3.44%
　　优酷网　47.4　6.54%
　　当当网　19.92　-0.15%
　　斯凯　10.39　-2.07%
　　软通动力　17　-4.17%
　　创博国际　3.74　-1.58%
　　海辉软件　15.31　-5.55%
　　奇虎360　26.79　7.33%
　　世纪互联　12.04　-4.06%
　　人人公司　12.73　1.03%
　　网秦　7.64　-4.14%
　　世纪佳缘　10.88　-3.28%
　　凤凰新媒体　12.29　-0.08%

