中国概念股周一全线下跌 22家公司跌幅超5%
　　新浪科技讯 北京时间5月24日凌晨消息，周一美国股市大幅收跌，但已远离盘中最低点。市场基调仍然低迷，多方动力不足，未能推动股市转涨。有迹象表明欧洲债务危机已趋恶化、经济复苏前景变得黯淡，令美股与原油期货价格同时走低。中国概念股基本全线下挫，22家公司跌幅超过5%，仅世纪佳缘和空中网两只股票逆势涨6%。酷6传媒暴跌20.21%报3.83美元，易车网和世纪互联则分别大跌11.91%和11.87%。
　　其它跌幅超过5%的公司有：搜狐跌 5.97%报78.13美元；畅游跌6.55%报39.37美元；网易跌5.45%报43.73美元；新浪跌6.01%报109美元；酷6传媒跌20.21%报3.83美元；UT斯达康跌5.74%报1.97美元；亚信跌8.95%报17.30美元；国人通信跌7.38%报2.26美元；海辉软件跌 8.99%报13.61美元；高德软件跌5.05%报17.86美元；搜房跌 6.34%报20.54美元；CRIC跌5.65%报6.68美元；优酷跌7.37%报44.23美元；软通动力跌6.38%报14.97美元，创52周新低；斯凯网络跌8.40%报9.16美元；奇虎360跌5.50%报27.81美元；网秦跌6.10%报5.70美元；凤凰新媒体跌5.20%报11.85美元；文思信息跌7.55%报23.51美元。
　　美东时间5月23日16:00(北京时间5月24日04:00)，道琼斯工业平均指数下跌130.78点，收于12,381.26点，跌幅1.05%；纳斯达克综合指数下跌44.42点，收于2,758.90点，跌幅1.58%；标准普尔500指数下跌15.91点，收于1,317.36点，跌幅1.19%。
　　今天盘中道指最多曾下跌180点。道指30成分股大多下跌，工业板块领跌大盘。道指30成分股中的四只金融票，即美国银行(BAC)、摩根大通银行(JPM)、保险商Travelers(TRV)以及美国运通(AXP)等全部收跌。
　　股票　最新价　涨跌幅
　　新浪　109　-6.01%
　　CRIC　6.68　-5.65%
　　网易　43.73　-5.45%
　　搜狐　78.13　-5.97%
　　百度　129.47　-3.88%
　　分众传媒　31.34　-4.97%
　　盛大　41.22　-3.76%
　　盛大游戏　6.86　-4.06%
　　巨人网络　7.79　-3.95%
　　畅游　39.37　-6.55%
　　第九城市　6.03　-1.39%
　　完美世界　23.95　-0.12%
　　携程网　42.89　-4.26%
　　金融界　4.75　-2.86%
　　艺龙　25.45　-4.04%
　　前程无忧　56.77　-0.98%
　　掌上灵通　1　0.00%
　　空中网　7　6.06%
　　酷6传媒　3.83　-20.21%
　　易居中国　10.16　-3.42%
　　华视传媒　3.95　-4.59%
　　航美传媒　3.8　-1.55%
　　永新视博　6.15　-4.80%
　　UT斯达康　1.97　-5.74%
　　展讯通信　18.72　-3.80%
　　亚信科技　17.3　-8.95%
　　中芯国际　4.31　-4.65%
　　中星微电子　2.65　-2.57%
　　炬力　2.2　-2.65%
　　侨兴环球　1.79　-2.72%
　　德信无线　5.73　-0.35%
　　文思信息　23.51　-7.55%
　　诺亚舟　2.47　0.41%
　　中华网　2.54　-4.51%
　　CDC软件　4.81　-0.28%
　　侨兴移动　2.66　-4.66%
　　国人通信　2.26　-7.38%
　　联游网络　1.36　1.49%
　　BCD半导体　9.31　-1.38%
　　搜房网　20.54　-6.34%
　　蓝汛　10.42　-1.70%
　　高德软件　17.86　-5.05%
　　麦考林　4.96　-0.40%
　　优酷网　44.23　-7.37%
　　当当网　20.28　-3.75%
　　斯凯　9.16　-8.40%
　　软通动力　14.97　-6.38%
　　创博国际　4　1.27%
　　海辉软件　13.61　-8.99%
　　奇虎360　27.81　-5.50%
　　世纪互联　11.29　-11.87%
　　人人公司　12.4　-4.61%
　　网秦　5.7　-6.10%
　　世纪佳缘　15.21　6.07%
　　凤凰新媒体　11.85　-5.20%

