中国概念股周二早盘普涨 网秦大涨15%
　　新浪科技讯 北京时间6月14日晚间消息，周二美国股市高开。中国经济数据推动欧亚股市上扬；美国5月零售收入高于预期。中国概念股早盘普涨，其中新浪、网秦、优酷、当当分别大涨7.54%、14.68%、10.68%、11.82%。
　　美东时间6月14日09:36(北京时间6月14日21:36)，道琼斯工业平均指数上涨96.48点，报12,049.81点，涨幅 0.81%；纳 斯达克综合指数上涨27.26点，报2,666.95点，涨幅1.03%；标准普尔500指数上涨13.13点，报1,284.96点，涨幅1.03%。
　　股票名称 	最新价 	涨跌幅
　　新浪　　92.6　　7.54%
　　CRIC　　5.08　　-0.59%
　　网易　　42.35　　1.83%
　　搜狐　　70.82　　4.84%
　　百度　　123.83　　4.91%
　　分众传媒　　28.02　　2.86%
　　盛大　　37.41　　2.98%
　　盛大游戏　　6.54　　3.81%
　　巨人网络　　7.4　　1.37%
　　畅游　　38.27　　2.52%
　　第九城市　　5.35　　4.25%
　　完美世界　　20.17　　5.49%
　　携程网　　41.76　　4.01%
　　金融界　　4.24　　6.53%
　　艺龙　　19.09　　2.03%
　　前程无忧　　46.5　　3.24%
　　掌上灵通　　0.88　　0.00%
　　空中网　　5.27　　2.93%
　　酷6传媒　　2.99　　4.91%
　　易居中国　　7.85　　0.90%
　　华视传媒　　2.74　　0.37%
　　航美传媒　　3.3　　1.54%
　　永新视博　　5.71　　0.70%
　　UT斯达康　　1.64　　3.79%
　　展讯通信　　15.34　　0.13%
　　亚信科技　　14.8　　2.14%
　　中芯国际　　4　　0.00%
　　中星微电子　　2.49　　3.32%
　　炬力　　1.94　　2.11%
　　侨兴环球　　1.46　　2.10%
　　德信无线　　4.34　　1.16%
　　文思信息　　21.36　　2.40%
　　诺亚舟　　2.09　　0.00%
　　中华网　　2.12　　6.00%
　　CDC软件　　4.77　　0.00%
　　侨兴移动　　2.51　　2.45%
　　国人通信　　2.49　　-2.73%
　　联游网络　　1.03　　6.19%
　　BCD半导体　　8.02　　2.17%
　　搜房网　　18.19　　4.00%
　　蓝汛　　7.64　　8.06%
　　高德软件　　15.06　　0.47%
　　麦考林　　2.77　　-2.46%
　　优酷网　　29.64　　10.68%
　　当当网　　12.01　　11.82%
　　斯凯　　6.42　　6.47%
　　软通动力　　11.09　　-0.45%
　　创博国际　　2.05　　-4.21%
　　海辉软件　　13.75　　0.36%
　　奇虎360　　22.37　　4.05%
　　世纪互联　　10.15　　2.32%
　　人人公司　　8.49　　6.13%
　　网秦　　4.61　　14.68%
　　世纪佳缘　　10.2　　3.34%
　　凤凰新媒体　　11.23　　0.18%
　　淘米　　9.89　　7.50%

