中国概念股周五多数下跌 淘米网大跌10.3%
　　新浪科技讯 北京时间7月30日凌晨消息，周五美国股市收跌，道指蒙受了一年来最大的单周跌幅。美国两党在提高债务上限问题上的不确定性仍在延续，令股市承压。中国概念股多数下跌，8只股票跌幅超4%，其中淘米网大跌10.3%报14.71美元；诺亚舟大跌14.52%报2.12美元。
　　中华网软件跌7.77%报1.90美元创下52周新低；正保远程教育跌5.83%报3.07美元；软通动力跌5.96%报12.30美元；麦考林跌 7.52%报2.83美元；联游网络跌4.08%报0.94美元；华视传媒跌4.24%报2.71美元；亚信跌4.08%报15.28美元。
　　另外，网秦涨6.34%报7.72美元；新东方涨 4.63%报127.73美元。
　　美东时间7月29日16:00(北京时间7月30日04:00)，道琼斯工业平均指数下跌96.80点，报12,143.31点，跌幅0.79%；纳斯达克综合指数下跌9.87点，报2,756.38点，跌幅0.36%；标准普尔500指数下跌8.38点，报1,292.29点，跌幅0.64%。
　　股票　最新价　涨跌幅
　　新浪　108.09　-2.66%
　　CRIC　6.48　2.37%
　　网易　50.52　0.18%
　　搜狐　90.1　1.37%
　　百度　157.07　-0.80%
　　分众传媒　32.89　-1.26%
　　盛大　35.01　-0.26%
　　盛大游戏　6　-3.69%
　　巨人网络　7.69　-2.66%
　　畅游　51.83　2.19%
　　第九城市　5.6　-0.88%
　　完美世界　19.79　0.20%
　　携程网　46.1　0.26%
　　金融界　3.2　0.31%
　　艺龙　23.17　0.96%
　　前程无忧　66.05　-1.96%
　　掌上灵通　1.06　3.93%
　　空中网　4.93　-1.99%
　　酷6传媒　3.02　0.33%
　　易居中国　7.85　0.90%
　　华视传媒　2.71　-4.24%
　　航美传媒　3.19　-0.62%
　　永新视博　4.81　-0.62%
　　UT斯达康　1.37　0.74%
　　展讯通信　13.55　2.34%
　　亚信科技　15.28　-4.08%
　　中芯国际　2.98　-1.32%
　　中星微电子　1.53　-3.16%
　　炬力　1.98　-1.98%
　　侨兴环球　1.25　-3.10%
　　泰克飞石　4.29　2.63%
　　文思信息　20.23　-2.27%
　　诺亚舟　2.12　-14.52%
　　中华网　1.9　-7.77%
　　CDC软件　4.25　-2.52%
　　侨兴移动　1.95　0.00%
　　国人通信　2.01　-1.47%
　　联游网络　0.94　-4.08%
　　BCD半导体　6.99　-1.55%
　　学而思　12.75　-0.39%
　　学大教育　8.88　-0.56%
　　正保远程教育　3.07　-5.83%
　　新东方　127.73　4.63%
　　搜房网　20.8　-0.33%
　　蓝汛　7.69　-1.28%
　　高德软件　16.56　0.36%
　　麦考林　2.83　-7.52%
　　优酷网　36.91　0.99%
　　当当网　11.3　0.62%
　　斯凯　7.52　-1.44%
　　软通动力　12.3　-5.96%
　　创博国际　3.34　5.46%
　　海辉软件　13.87　-0.22%
　　奇虎360　23.05　-3.07%
　　世纪互联　13.15　1.94%
　　人人公司　10.83　0.46%
　　网秦　7.72　6.34%
　　世纪佳缘　14.39　-3.75%
　　凤凰新媒体　10.34　-0.67%
　　淘米　14.71　-10.30%

