中国概念股周二普遍上涨 18只股票涨幅超5%
　　新浪科技讯 北京时间8月24日凌晨消息，周二美国股市收高，至此美股两连阳。尽管美国房地产市场数据欠佳，但来自欧洲与中国的利好制造业数据仍然提振了市场情绪。中国概念股普遍上涨，18只股票涨幅超5%。完美世界受益于二季财报再涨14.95%；中芯国际大涨10.55%；酷6传媒则受财报亏损影响大跌11%。
　　周二，斯凯网络和世纪互联也分别大涨10%，华视传媒涨幅达9.20%。新浪、搜狐、网易、百度、分众传媒、前程无忧、优酷、土豆、当当、人人等10只股票涨幅均在6%至8%之间。金融界、海辉软件、亚信等3只股票涨幅在5%上方。
　　美东时间8月23日16:00(北京时间8月24日04:00)，道琼斯工业平均指数上涨322.11点，收于11,176.76点，涨幅2.97%；纳斯达克综合指数上涨100.68点，收于2,446.06点，涨幅4.29%；标准普尔500指数上涨38.53点，收于1,162.35点，涨幅3.43%。
　　在数据显示美国房地产状况疲软、7月的新建单户住宅销量降至5个月来新低之后，美股涨幅扩大。投资者们紧盯美联储主席伯南克将于本周五发表的讲演。
　　周二汇丰公布的中国制造业经济数据提振了市场整体情绪。中国公布的PMI指数推动周二亚洲股市强劲反弹，而欧元区PMI指数也推动了欧洲股市走强。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　96.74　6.39%
　　CRIC　5.79　3.02%
　　网易　46.45　7.82%
　　搜狐　75.44　8.89%
　　百度　136.36　7.67%
　　分众传媒　29.45　8.31%
　　盛大　32.57　3.76%
　　盛大游戏　4.88　-3.17%
　　巨人网络　7.94　3.39%
　　畅游　37.59　4.42%
　　第九城市　5.03　-0.59%
　　完美世界　21.43　15.28%
　　携程网　38.82　2.29%
　　金融界　2.9　4.32%
　　艺龙　18.42　-0.97%
　　前程无忧　55.86　6.54%
　　掌上灵通　0.9　2.26%
　　空中网　4.06　0.74%
　　酷6传媒　1.86　-11.00%
　　易居中国　6.96　0.58%
　　华视传媒　1.78　9.20%
　　航美传媒　2.3　-3.36%
　　UT斯达康　1.24　-0.80%
　　展讯通信　16.8　4.41%
　　亚信科技　9.18　5.03%
　　中芯国际　2.62　10.55%
　　中星微电子　1.37　1.48%
　　炬力　1.91　-2.05%
　　侨兴环球　1.06　0.00%
　　泰克飞石　2.57　-0.73%
　　文思信息　12.16　2.88%
　　诺亚舟　1.78　0.56%
　　中华网　1.25　2.46%
　　CDC软件　4.05　-1.36%
　　侨兴移动　1.5　2.74%
　　国人通信　2.03　2.53%
　　联游网络　0.7　-1.69%
　　BCD半导体　5.37　-6.77%
　　学而思　11.8　2.25%
　　学大教育　7.28　3.26%
　　正保远程教育　2.4　-4.00%
　　新东方　28.25　2.43%
　　搜房网　17.62　2.62%
　　蓝汛　6　2.21%
　　高德软件　14.4　-1.03%
　　麦考林　1.63　0.00%
　　优酷网　24.03　6.33%
　　当当网　7.29　6.11%
　　斯凯　5.72　10.00%
　　软通动力　9.44　3.74%
　　创博国际　3.17　-2.87%
　　海辉软件　9.86　5.01%
　　奇虎360　23.77　1.93%
　　世纪互联　11.61　10.05%
　　人人公司　7.3　7.35%
　　网秦　6.61　-1.20%
　　世纪佳缘　13.75　2.54%
　　凤凰新媒体　7.47　0.00%
　　淘米　9.84　-1.89%
　　土豆网　23　7.93%

