中国概念股周五多数下跌 12只股票跌幅超3%
　　新浪科技讯 北京时间9月17日凌晨消息，周五美国股市收高，至此大盘已是五连阳，标普500指数为两个月来的最长连续上涨时段。纳斯达克综合指数上涨0.58%，中国概念股多数下跌，12只股票跌幅超3%。其中，蓝汛通信跌8.02%，华视传媒跌6.81%，酷6传媒跌6.34%，学大教育和正保远程教育分别下跌5%；优酷下跌4.83%。
　　另外，涨幅方面，软通动力大涨14.71%，金融界涨7.31%，土豆涨5.84%。国人通信早盘飙涨17%，但股价随后回落，截至收盘涨幅为4.33%。
　　今天还是所谓的“四重魔力日”，即股指期货、股指期权、股票期权与个股期货同时到期的日子，此时股市通常会更为波动一些。
　　美股涨跌仍然与欧洲方面的消息密切相关。欧洲各国财政部长周五召开会议，讨论欧元区债务危机问题以及希腊可能破产的威胁。各国财长表示，将在下个月决定希腊是否应该得到下一笔救援资金。
　　美东时间9月16日16:00(北京时间9月17日04:00)，道琼斯工业平均指数上涨75.91点，收于11,509.09点，涨幅0.66%；纳斯达克综合指数上涨15.24点，收于2,622.31点，涨幅0.58%；标准普尔500指数上涨6.90点，收于1,216.01点，涨幅0.57%。
　　股票　最新价　涨跌幅
　　新浪　110.33　0.16%
　　CRIC　5.07　0.80%
　　网易　44.84　-1.52%
　　搜狐　70.47　-2.40%
　　百度　146.95　-0.15%
　　分众传媒　31.72　3.97%
　　盛大　35.42　2.82%
　　盛大游戏　5.33　1.14%
　　巨人网络　4.26　-1.62%
　　畅游　33.79　-1.05%
　　第九城市　4.43　-0.45%
　　完美世界　14.18　1.87%
　　携程网　38.02　-0.89%
　　金融界　2.79　7.31%
　　艺龙　17.52　-2.67%
　　前程无忧　56.89　3.12%
　　掌上灵通　0.86　-1.19%
　　空中网　3.87　-3.25%
　　酷6传媒　1.92　-6.34%
　　易居中国　6.57　1.55%
　　华视传媒　1.78　-6.81%
　　航美传媒　2.7　-3.91%
　　UT斯达康　1.24　-5.34%
　　展讯通信　20.67　0.00%
　　亚信科技　11.2　1.91%
　　中芯国际　3.04　-2.88%
　　中星微电子　1.54　0.65%
　　炬力　1.95　3.17%
　　侨兴环球　1.01　0.00%
　　泰克飞石　2.34　-3.70%
　　文思信息　11.45　-3.70%
　　诺亚舟　1.9　-1.04%
　　中华网　1.18　-1.50%
　　CDC软件　3.85　0.52%
　　侨兴移动　1.47　-1.34%
　　国人通信　2.17　4.33%
　　联游网络　0.62　3.85%
　　BCD半导体　5.6　-0.88%
　　学而思　11.86　-0.59%
　　学大教育　5.22　-5.09%
　　正保远程教育　2.24　-5.08%
　　新东方　32.46　-2.05%
　　搜房网　15.95　-2.92%
　　蓝汛　6.42　-8.02%
　　高德软件　15.06　2.45%
　　麦考林　1.86　0.00%
　　优酷网　20.08　-4.83%
　　当当网　6.91　-2.95%
　　斯凯　5.3　-1.85%
　　软通动力　10.76　14.71%
　　创博国际　2.99　-1.64%
　　海辉软件　11.47　1.87%
　　奇虎360　20.64　-2.23%
　　世纪互联　11.65　3.01%
　　人人公司　6.67　0.15%
　　网秦　5.27　-0.38%
　　世纪佳缘　9.59　-2.24%
　　凤凰新媒体　5.7　0.00%
　　淘米　7.29　-3.83%
　　土豆网　25.38　5.84%

