评论：富士康员工为何总自杀
　　据中国青年网苑广阔4月7日报道，两名富士康员工死亡，警方经过现场勘查，目前两起死亡事件已经排除他杀，不属于刑事案件。此前已发生多起富士康员工自杀事件。(4月8日《南方日报》)
　　在此前的3月11日、17日和29日，富士康已经有两男一女三名员工因为坠楼死亡，也就是说，一家企业两个月之内竟然发生了五起员工死亡事件，这绝对是不正常的。如果把时间往前推移，富士康的这个伤亡名单会更长，富士康就像启动了一辆诡异的“死亡列车”，人们有理由发出疑问：富士康到底怎么了？谁能刹住这列“死亡列车”？
　　在2009年曾引起社会广泛关注的孙丹勇跳楼自杀事件，原因据说是因为他管理的苹果牌手机丢失而遭到了厂方的调查。而在今年的几起员工坠楼事件中，有的据说是加班费被偷，员工一时想不开，有的怀疑是工作压力太大所致。
　　不管是哪种原因，富士康显然都应该从自己这一方面进行认真的反思，积极寻找背后的原因。为什么如此频繁的员工非正常伤亡事件不是发生在别的企业？这显然不能以员工众多、管理困难来解释。世界范围内，拥有几十万人的大企业多的是，为什么别的企业就没有这么多的员工“想不开”呢？到底是企业的管理出了问题，还是企业的文化出了问题？
　　员工因为生活有压力，思想想不开而跳楼自杀，企业也是有责任的。员工是有血有肉的劳动者，不是机器上的螺丝钉，不是一件只能为企业创造财富的工具。企业和员工之间的劳动雇佣关系，绝对不仅仅是你付出劳动，我付你报酬这么简单。企业有责任和义务关心员工的生活状态，心理感受，思想状况，有责任为他们营造一种宽松、安全、健康的工作环境。
　　当一家企业的员工接连出现非正常死亡的时候，显然已经不能再用突发、偶然来概括了。除了需要涉事企业的自查自纠，当地的劳动保障部门也应该积极介入，对员工的非正常死亡原因进行调查，对企业的管理体制进行监督，以保证员工的各项合法权益。唯有如此，才能刹住富士康这列已经开动的“死亡列车”，不让更多员工走上悲剧之路。
　　附：富士康员工死亡记录(截至2010年4月12日)
　　2010年4月7日富士康再亡两员工 其中一男员工猝死家中
　　2010年4月6日15时许富士康4坠楼事件 又一女工7楼跳下生死未知
　　2010年3月29日4时 富士康23岁员工坠楼身亡 1个月3人坠楼
　　2010年3月17日8时 富士康龙华园区，一名田姓女工从宿舍楼跳下摔伤。
　　2010年3月11日晚 富士康龙华基地内的生活区，一男子从五楼坠亡。
　　2010年1月23日4时许 19岁的员工马向前在富士康华南培训处的宿舍死亡。
　　2009年8月20日 富士康23岁员工郑鑫崧在游泳池溺水身亡。
　　2009年7月15日 富士康25岁员工孙丹勇跳楼自杀。
　　2009年7月15日 富士康25岁员工孙丹勇跳楼自杀。
　　2008年3月16日 富士康烟台工业园28岁员工李某猝死在出租屋内。
　　2007年9月1日 富士康员工21岁的刘兵辞工两小时后突然死亡。
　　2007年6月18日 富士康一名侯姓女工在厕所上吊自杀。

