1月18日美股专家坐堂实录
　　1月18日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	尊敬的王老师，请分析一下中国平安吧，短线支撑在哪里？保险股还看好吗？(2010-01-18 19:39:23)　　专家[warren王]答： 	中?平安?周?依然可能是?合?肩底形?的右肩，42.72是右肩的支??。(2010-01-18 21:05:09)
　　匿名问： 	尊敬的王老师；请问您怎麽看今天海通证券的放量下影线断线有望解套嘛(19元成本)(2010-01-18 20:04:50)　　专家[warren王]答： 	19.64是?力?，?股上周?高回落，短期注意我?的阻力?，短期需要?整后，才可能再度????阻力?，不突破的?，??是?整。(2010-01-18 21:15:27)
　　匿名问： 	王老师，您好！首先感谢您的指点！祝您身体健康，阖家幸福！ 600536(26.86的成本)短期支撑和压力是多少？是否还有上冲机会？明天需要先抛出一部分吗？万分感激！！！(2010-01-18 20:43:51)　　专家[warren王]答： 	?是支?股，25.93是支?，?基本面看，?在不明白，?什麽有那么高的PE。(2010-01-18 21:12:50)
　　匿名问： 	c长期持有值得吗？(2010-01-18 20:47:38)　　专家[warren王]答： 	C本周要???了，值得?注下，?股大部分?家持有，我不知道?期持有是持有多?，哈哈哈哈。(2010-01-18 21:11:22)
　　匿名问： 	哈哈，王老大您还真够胆大啊！在美股现在这么高的点位竟然说百度会翻番。你不怕，百度(美股)调整又有人来找茬啊？ 不过还是很佩服你的口直心快！(2010-01-18 20:55:02)　　专家[warren王]答： 	大家晚上好！如果百度?去了Google在中?的市?份?，那么自然百度的股??真?的反?它的基本面，如果百度?整，那很正常不?了，但是?早他?去反?的，?有人?找我，我??什麽，是我言?自由拉，如果?得不?，也可以?，?有人?阻?的，哈哈哈哈。(2010-01-18 21:00:31)
　　匿名问： 	王老师好！终于盼来您了！请百忙中指点000759短期支撑和压力位。新高(复权)后，还可以加仓或持股吗？(2010-01-18 20:58:55)　　专家[warren王]答： 	?股是?史新高，?是我?才?的，2010年是中?的?需概念年，所以??零售股?的都不?，不??股在?下?史新高高，要等待回?下，再考???，所以??不要去追高。(2010-01-18 21:28:04)
　　匿名问： 	王，2010年重新进入，1月5日，6日分别买入你的联通7.20，山推10%，感觉大盘快完了，是否先退出？(2010-01-18 21:03:31)　　专家[warren王]答： 	中??通周????已?被突破，8.11是重要???力，我?得??大?的方向永?是件很累，不?好的事情，特?是IPHONE在??已??出30?套，同??通也是中?3G的??，?人看好，有??走高的??。(2010-01-18 21:07:49)
　　匿名问： 	老大啊~我的山金的利润都跌去2/3了，黄金股全民解放的号角什么时候才能吹响呀？(2010-01-18 21:07:42)　　专家[warren王]答： 	哈哈哈，?要取?于市?，山??金?在?是?整，主要受到全球?金?格的?整，我依然看好，我依然持有，其他的就?市?去?定吧。(2010-01-18 21:09:50)
　　匿名问： 	王老师！你好！给我分析一下002277!最好看一下财务报表！有高送转的可能吗！最近美国零售股走势好吗！(2010-01-18 21:13:25)　　专家[warren王]答： 	美?零售股，?然不好了，美?消??少，零售股自然?少，中?零售股2010年?要大搞?需，是不是真的好，?也不知道，哈哈哈哈。 002277是新股，?需要耐心等待此股走一段再?了，但是看43.2的??PE?是比?高的，不?，?要看?公司的?展?力了。(2010-01-18 21:18:06)
　　匿名问： 	王老大，如果大盘选择向下，中国太保你仍旧看好吗？如果大盘选择向上那这轮上涨它能到哪？(2010-01-18 21:14:36)　　专家[warren王]答： 	我不?注太保，我??注中?平安。(2010-01-18 21:19:29)
　　匿名问： 	老大，我的新大洲A000571，今天刚好收在您之前说的7.42压力之上收于7.43，技术上怎么看啊？随便预测下大约会到什么价格吧。我好喜欢你的预测哦(2010-01-18 21:21:01)　　专家[warren王]答： 	可能?向上?下。(2010-01-18 21:29:25)
