欧佩克原油周一涨0.31美元 报每桶87.96美元
　　新浪财经讯 北京时间12月14日下午消息，欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格周一(12月13日)报每桶87.96美元，该价格周五(12月10日)为每桶87.65美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚EsSider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：   
　　12月13日  87.96美元/桶
　　12月10日  87.65美元/桶
　　12月09日  87.91美元/桶
　　12月08日  87.46美元/桶
　　12月07日  87.87美元/桶
　　12月06日  88.13美元/桶
　　12月03日  87.12美元/桶
　　12月02日  86.13美元/桶
　　12月01日  84.13美元/桶
　　11月30日  83.65美元/桶
　　11月29日  83.45美元/桶
　　11月26日  82.34美元/桶
　　11月25日  82.55美元/桶
　　11月24日  81.16美元/桶
　　11月23日  80.14美元/桶
　　11月22日  80.96美元/桶
　　11月19日  81.41美元/桶
　　11月18日  82.35美元/桶
　　11月17日  81.90美元/桶
　　
欢迎发表评论  我要评论

