欧佩克原油周三涨0.38美元 报每桶119.34美元
　　欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格周三(04月27日)报每桶119.34美元，该价格周二(04月26日)为每桶118.96美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：
　　04月26日	118.96美元/桶
　　04月25日	119.38美元/桶
　　04月21日	119.46美元/桶
　　04月20日	117.97美元/桶
　　04月19日	116.00美元/桶
　　04月18日	117.37美元/桶
　　04月15日	117.99美元/桶
　　04月14日	118.03美元/桶
　　04月13日	116.84美元/桶
　　04月12日	117.68美元/桶
　　04月11日	120.44美元/桶
　　04月08日	120.15美元/桶
　　04月07日	117.79美元/桶
　　04月06日	117.75美元/桶
　　04月05日	116.73美元/桶
　　04月04日	115.21美元/桶
　　04月01日	113.49美元/桶
　　03月31日	111.42美元/桶
　　03月30日	110.18美元/桶
欢迎发表评论  我要评论

