126只QFII持仓股跑赢暴跌市
　　新快报见习记者 庞倩影
　　登海种业涨31%领跑  近八成医药股超越大盘
　　4月19日暴跌至昨日收盘，上证指数共跌去17.11%。而据wind资讯统计，两市371只QFII持仓股中有126只跑赢大盘，登海种业、包钢稀土等20只股票在羸弱市道中保持正收益。
　　首季持仓市值达548亿最青睐机械设备
　　据wind资讯统计，截至目前，QFII共持有23类、371家上市公司。从行业偏好上看，机械设备仍为其首选品种，包括中国西电、沈阳机床等共45只个股均获QFII青睐，而该板块已经连续13个季度维持QFII持仓股第一名的位置；化工行业也有30只个股被QFII驻扎，其中包括国风塑业、柳化股份、沈阳化工；排名第三的是医药股，共有28只。此外，交通运输有26只、电子元器件23只、商业贸易20只、轻工制造20只、公用事业20只、农林牧渔19只、建筑建材18只、交运设备17只、房地产17只、纺织服装13只、食品饮料13只、有色金属12只、信息设备12只。
　　市值方面，券商统计数据显示，QFII2010年第一季度投资股票的市值为548.42亿元，比2009年第四季度减少10.75亿元，减少幅度为1.93%。若剔除恒生银行因限售股解禁持股的兴业银行部分，QFII的2010年一季度持股市值312.46亿元，比2009年四季度增加10.91亿元，增加幅度为3.62%。结合大盘跌幅，QFII在2010年第一季度实际上进行了大幅增持操作。QFII已经连续三个季度增仓，持仓市值上升至2007年四季度以来最高水平，但今年一季度增持力度有所减弱，显示QFII对2010年第二季度的行情谨慎看多。
　　20只股票暴跌市中收正
　　*ST罗顿表现居末
　　记者以4月19日暴跌为起始点进行了统计，截至昨日收盘，QFII持仓股共有126只涨幅超过大盘。医药生物板块有22只股票入围，其中东阿阿胶(8.98%)、云南白药(4.53%)、康美药业(4.09%)、信立泰(3.82%)、恩华药业(3.2%)、上海医药(0.54%)和双鹤药业(0.07%)在暴跌市中保持正收益；机械设备虽有18只个股跑赢大盘，但只有科达机电一只保持正收益，达2.56%。此外，暴跌至今，保持正收益的还有农林牧渔类的敦煌种业(8.32%)、有色金属类的中金黄金(8.16%)和宝钛股份(7.41%)、商业贸易类的海宁皮城(3.09%)、交通运输类的铁龙物流(3%)等20只个股。
　　在跑赢大盘的股票中，表现最好的是登海种业，截至昨日，该股在暴跌市中累计涨幅30.69%，上周两市成交回报显示，该股在一周(5月10日至5月14只)机构买入总额中排名第二，买入总额为1.10亿元，在上周五以涨停报收。表现位居第二的是包钢稀土，该股期间涨幅也有20%左右。昨日有消息称，“包头有望先行试点稀土矿战略储备”，而包钢稀土作为中国稀土的龙头企业，据悉已经着手开展企业储备。表现第三的是电子元器件类的蓉胜超微。而表现最差的则分别是*ST罗顿(-46.84%)、成发科技(-40.99%)、三钢闽光(-37.31%)。
　　暴跌市中涨幅前十的 QFII 持仓股(单位：元)
　　代码      简称      4月19日至昨日涨幅(%)  所属板块
　　002041    登海种业      30.69               农林牧渔
　　600111    包钢稀土      20.11               有色金属
　　002141    蓉胜超微      15.32               电子元器件
　　000423    东阿阿胶      8.98                医药生物
　　600354    敦煌种业      8.32                农林牧渔
　　600489    中金黄金      8.16                有色金属
　　600456    宝钛股份      7.41                有色金属
　　000538    云南白药      4.53                医药生物
　　600518    康美药业      4.09                医药生物
　　002294    信立泰        3.82                医药生物

