AH溢指跌0.48至102.44 再刷新历史低位
　　新浪财经讯 06月04日消息，AH股两地市场整体表现偏弱，A股较H股的溢价稍稍拉低，AH股中H股上涨个股23只，A股上涨22只。海信科龙(0921-HK)连续两天大涨，涨8.15%，东方航空(600115-CN)涨2.52%，两个分别位列H、A股涨幅之首。
　　恒指今日窄幅波动，今早低开后，最低曾见19,658，但之后跌幅逐步收窄，午后更出现倒升，但尾市再度走软，最终全日收报19,780.07，跌6.64点或0.03%。
　　恒生AH溢指整体走势偏弱，再次刷新历史低位，全天报收于102.44，跌0.48或0.47%，显示A股平均较H股溢价仅2.44。恒生AH股A指数跌0.54%，报1825.04；恒生AH股H指数跌0.11%，报1932.57。
　　A股方面，昨日受消息引发大幅上涨的软件股，今日继续大涨，多只个股甚至涨停，其中包括中国软件(600536-CN)、浪潮软件(600756-CN)、久其软件(002279-CN)；海隆软件(002195-CN)、超图软件(300036-CN)收涨逾5%；用友软件(600588-CN)也上涨2.72%。
　　H股方面，国寿(2628-HK)升0.74%，工行(1398-HK)跌0.52%，建行(0939-HK)跌0.16%，中石油(0857-HK)跌0.47%，中石化(0386-HK)跌0.99%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国人寿(601628-CN;2628-HK)-----(-23.14%)
　　中国平安(601318-CN;2318-HK)-----(-22.58%)
　　招商银行(600036-CN;3968-HK)-----(-22.37%)
　　工商银行(601398-CN;1398-HK)-----(-18.19%)
　　中国神华(601088-CN;1088-HK)-----(-14.53%)
　　中国铁建(601186-CN;1186-HK)-----(-14.47%)
　　建设银行(601939-CN;0939-HK)-----(-12.54%)
　　交通银行(601328-CN;3328-HK)-----(-12.34%)
　　鞍钢股份(000898-CN;0347-HK)-----(-10.64%)
　　民生银行(600016-CN;1988-HK)-----(-7.85%)

