AH溢指跌1.12至97.61 溢指创出三年来新低
　　新浪财经讯 06月21日消息，受人行推动人民币汇率机制改革利好消息带动，今日A股和H股两地指数大幅收高。
　　沪指早盘在金融板块拉升下强势上扬，午后地产等权重股股也反复逞强，令指数一路震荡走高，终令指数报收于2586.21，涨72.99或2.90%，成交840亿人民币。
　　港股今日连升第9日，恒指今日高开284点后，加上中资股带领大市向上，港股升逾500点，午后买盘涌现，恒指最高升至20,938，最终恒指收报20,912，升625点或3.08%，成交金额放大至902亿港元。
　　恒生AH溢指受A股涨幅不及H股多影响小幅走低，全日报收于97.61，跌1.12或1.13%，显示A股整体较H股折价。
　　AH股两地市场均大幅走高，AH股中H股全线收涨，A股则也仅有2只个股下跌。其中鞍钢股份涨7.80%，南方航空(600029-CN)涨8.18%，两个分别位列H、A股涨幅之首。AH股中出现倒挂的个股增加到17只。恒生AH股A指数升3.23%，报1860.05；恒生AH股H指数涨4.55%，报2046.61。
　　A股方面，中国石油(601857-CN)上涨1.98%，报10.79元；中国石化(600028-CN)上涨2.43%，报收8.43元；中国神华(601088-CN)上涨4.55%，报收24.14元；中国联通(600050-CN)上涨4.96%，报收5.29元；招商银行(600036-CN)上涨3.89%。
　　H股方面，国寿(2628-HK)升2%，工行(1398-HK)走高3.45%，建行(0939-HK)升5%，中石油(0857-HK)升4.54%，中石化(0386-HK)走高4.32%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　招商银行(600036-CN;3968-HK)-----(-29.84%)
　　海螺水泥(600585-CN;0914-HK)-----(-28.70%)
　　中国平安(601318-CN;2318-HK)-----(-24.75%)
　　中国人寿(601628-CN;2628-HK)-----(-24.62%)
　　工商银行(601398-CN;1398-HK)-----(-23.19%)
　　交通银行(601328-CN;3328-HK)-----(-22.45%)
　　中国铁建(601186-CN;1186-HK)-----(-20.41%)
　　建设银行(601939-CN;0939-HK)-----(-18.82%)
　　鞍钢股份(000898-CN;0347-HK)-----(-18.27%)
　　中国神华(601088-CN;1088-HK)-----(-17.58%)

