AH溢指跌0.39至97.53 H股尾市升令溢指倒跌
　　新浪财经讯 06月23日消息，AH股两地市场呈现H股较A股偏强的格局，AH股中H股有22只个股收涨，A股则只有10只个股收涨。其中华电国际(1071-HK)涨6.11%，经纬纺机(000666-CN)续涨6.56%，两个分别位列H、A股涨幅之首，AH股中出现倒挂的个股有14只。
　　恒指先跌后升，低开100点后，早段曾弹至20,866，其后受中资股跌势拖累，指数午后最低造20,689，尾市受重磅股买盘带动，领恒指最高升至20,860，最终全日收报20,856，升37点或0.18%；成交金额565亿港元。
　　恒生AH溢指受H股尾盘回升而小幅收跌，全日报收于97.53，跌0.39或0.40%，显示A股整体较H股折价。恒生AH股A指数跌0.71%，报1845.11；恒生AH股H指数跌0.36%，报2047.30。
　　A股方面，中国石油(601857-CN)上涨0.09%，报收10.77元；中国石化(600028-CN)下跌0.94%，报收8.42元；中国神华(601088-CN)下跌1.84%，报收23.52元；中国联通(600050-CN)下跌0.96%，报收5.17元。
　　H股方面，中国人寿(2628-HK)持平，工商银行(1398-HK)下滑0.5%，建设银行(0939-HK)走低0.66%，中国石油(0857-HK)走低0.66%，中国石化(0386-HK)走高0.93%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　招商银行(600036-CN;03968-HK)-----(-27.72%)
　　中国平安(601318-CN;02318-HK)-----(-25.80%)
　　中国人寿(601628-CN;02628-HK)-----(-24.35%)
　　海螺水泥(600585-CN;00914-HK)-----(-24.16%)
　　交通银行(601328-CN;03328-HK)-----(-23.43%)
　　工商银行(601398-CN;01398-HK)-----(-22.52%)
　　中国神华(601088-CN;01088-HK)-----(-19.00%)
　　建设银行(601939-CN;00939-HK)-----(-18.70%)
　　中国铁建(601186-CN;01186-HK)-----(-18.02%)
　　鞍钢股份(000898-CN;00347-HK)-----(-14.16%)

