恒生AH溢指微跌至97.99 倒挂个股增至19只
　　新浪财经讯 07月15日消息，今日AH两地股指下跌，沪指反弹受阻后逐步震荡走低，恒指反复下跌，午后跌幅逾300点。恒生AH溢指整体在震荡中偏弱，盘中高见98.52，低见97.09，全日报收于97.99，跌0.08或0.08%，指数显示A股整体较H股略为折价。
　　沪市早盘低开低走，在银行股走弱令市况快速下跌，农业银行高开低走并没破发，加上经济数据的出台，两指止住跌势；但沪市走势较弱，盘中虽有翻红，可空方的反扑，沪指弱势并失守5日线；午后开盘，两市仍持续早盘沪弱深强格局，沪指维持在低位震荡，最后沪综指以报收2,424.30点，下跌46.14点或1.87%，成交额734亿元。
　　恒指今日反复下挫，上午恒指低开30点后，内地公布6月通胀等数据后，早段曾倒升近100点至20,665，但中午前受内地股市拖累，恒指午后沽压增加，恒指最低造20,226，最终全日收报20,255，跌305点或1.48%；国企指收跌228点或1.96%，收报11,427，成交额556亿元。
　　AH股两地市场普遍下跌，AH股中A股只有只个股上涨，H股有6只股上涨，其中发电设备及煤炭股跌幅居首，东北电气(0042-HK)跌4.11%，东北电气A股跌1.40%，兖州煤业(1171-HK)跌3.32%，兖州煤业A股跌2.65%，AH股中出现倒挂的个股有19只，而中国人寿成倒挂幅度最大的个股，折让幅度逾28%。恒生AH股A指数跌1.82%，报1765.32；恒生AH股H指数跌1.83%，报1953.67。
　　A股重磅股方面，中国石油(601857-CN)下跌1.25%，报收10.28元；中国石化(600028-CN)下跌2.09%，报收7.95元；中国神华(601088-CN)下跌1.28%，报收21.67元；中国联通(600050-CN)下跌3.15%，报收5.22元。
　　H股重磅股方面，中国人寿(2628-HK)走低1.34%，工商银行(1398-HK)跌2.38%，建设银行(0939-HK)下滑2.3%，中国石油(0857-HK)走低2.05%，中国石化(0386-HK)走低2.27%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　中国人寿(601628-CN;2628-HK)-----(-28.79%)
　　海螺水泥(600585-CN;0914-HK)-----(-25.33%)
　　招商银行(600036-CN;3968-HK)-----(-24.66%)
　　中国铁建(601186-CN;1186-HK)-----(-21.64%)
　　交通银行(601328-CN;3328-HK)-----(-21.61%)
　　中国平安(601318-CN;2318-HK)-----(-20.55%)
　　工商银行(601398-CN;1398-HK)-----(-19.65%)
　　鞍钢股份(000898-CN;0347-HK)-----(-19.40%)
　　建设银行(601939-CN;0939-HK)-----(-17.66%)
　　民生银行(600016-CN;1988-HK)-----(-15.52%)

