AH溢指升1.69至95点 A股大涨助溢指低位反弹
　　新浪财经讯 09月30日消息，今日AH股表现不一，沪指低开高走，其后一路震荡上扬，并以接近全日最高位收盘；恒指今早低开弱势震荡，其后出现反弹，但翻红未果。恒生AH溢指大幅走高，因A股普遍出现上涨推动，而H股则整体走势偏软，指数盘中高见95.49，低见92.93，全日报收于95.10，升1.69或1.81%，指数显示A股股价整体比H股股价折价4.90%%。
　　国庆长假前的最后一个交易日，沪深早盘两市股指小幅低开，但开盘后股指先后在有色、地产等板块的推动下迅速拉高，加上金融地产纷纷上扬，带动股市上升；午后股指延续强势，最后，沪综指以报收2,655.66点，上涨44.98点或0.03%，深成指报收11,468.54点，上涨244.68点或2.18%，两市成交额共计1,841.2亿元，与上一个交易日基本持平。
　　恒指今日下跌，恒指低开91点后，之后逐步下滑，最低曾跌至22,202水平，午后恒指于低位徘徊，但尾市跌幅大幅收窄，最终全日收报22,358，跌20点；国企指数跌23点，收报12,406，成交金额860亿元。
　　AH股呈现A强H弱的格局，在62至可比的AH中，A股54只上涨，H股只有26只。今日金矿股表现抢眼，因国际黄金价格再创历史新高，紫金矿业A大涨8.83%，相对应H也涨了5.94%；另外煤炭股也延续前天的强势走势，兖州煤炭A收盘涨2.51%，相对应H股升1.60%。AH股中出现倒挂的个股有19只，股价较H股折价逾三成个股有两只，分别是海螺水泥和招商银行。恒生H股A指数升1.61%，报1824.17；恒生AH股H指数跌0.19%，报2123.89。
　　建设银行(601939-CN)上涨0.66%；中国银行(601988-CN)上涨0.30%；工商银行(601398-CN)上涨0.75%；招商银行(600036-CN)上涨2.29%；交通银行(601328-CN)上涨1.22%。
　　中国人寿(2628-HK)跌1.29%，工商银行(1398-HK)跌3.18%，建设银行(0939-HK)跌0.44%，中国石油(0857-HK)升0.78%，中国石化(0386-HK)升0.15%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　海螺水泥(600585-CN;0914-HK)-----(-34.27%)
　　招商银行(600036-CN;3968-HK)-----(-33.13%)
　　鞍钢股份(000898-CN;0347-HK)-----(-29.72%)
　　中国平安(601318-CN;2318-HK)-----(-29.08%)
　　建设银行(601939-CN;0939-HK)-----(-27.43%)
　　交通银行(601328-CN;3328-HK)-----(-24.69%)
　　中国中铁(601390-CN;0390-HK)-----(-23.61%)
　　工商银行(601398-CN;1398-HK)-----(-23.33%)
　　中国人寿(601628-CN;2628-HK)-----(-22.71%)
　　中国铁建(601186-CN;1186-HK)-----(-21.45%)

