恒生AH溢指涨2.29点 A股对H股折价1.26%
　　新浪财经讯 12月06日消息，今日沪指和恒指表现不一，沪指于2850附近窄幅波动，最高见2871.41，终报2857.18，上涨14.75或0.52%；恒指先涨后跌，临近尾盘小幅跳水，终报23237.69，下跌82.83或0.36%。
　　受此影响，恒生AH溢指大幅走高，午后在H股回跌而A股反弹的作用下走高，指数盘中高见98.94，低见96.18，全日报收于98.74，上涨2.29或2.37%，指数显示A股股价整体比H股股价折1.26%。
　　今日AH股中A股表现相对强于H股，在63只可比的AH中，A股30只上涨，H股14只上涨。今日A股整体表现较强，主要是石油等权重股受益于油价上涨，带动指数向上，不过在11月份经济数据公布之前，对于加息的担忧可能会抑制市场上行空间，其它个股则明显疲软；H股尾市由升转跌，除个别资源类股走强外，银行股等股均几乎全线走低，从而也缩小了AH股价差。AH股中出现倒挂的个股有20只，A股较H股折价两成个股至3只。
　　恒生AH股A指数跌涨1.07%，报1955.11；恒生AH股H指数跌0.90%，报2222.89；恒生AH股A+H指数跌0.05%，报2195.36。
　　中国平安(601318-CN)上涨1.96%；中国人寿(601628-CN)上涨1.44%；工商银行(601398-CN)上涨0.23%；招商银行(600036-CN)上涨1.67%；交通银行(601328-CN)上涨0.71%。
　　中国人寿(2628-HK)下跌0.30%，工商银行(1398-HK)下跌1.34%，建设银行(0939-HK)下跌1.83%，中国石油(0857-HK)下跌0.10%，中国石化(0386-HK)跌1.52%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-25.44%)
　　中国平安(601318-CN;2318-HK)-----(-23.50%)
　　招商银行(600036-CN;3968-HK)-----(-23.30%)
　　鞍钢股份(000898-CN;0347-HK)-----(-19.32%)
　　建设银行(601939-CN;0939-HK)-----(-19.15%)
　　交通银行(601328-CN;3328-HK)-----(-18.73%)
　　中国人寿(601628-CN;2628-HK)-----(-18.47%)
　　中国铁建(601186-CN;1186-HK)-----(-15.20%)
　　工商银行(601398-CN;1398-HK)-----(-14.23%)
　　民生银行(600016-CN;1988-HK)-----(-13.93%)
　　

