AH溢价指数微升0.50 A股对H股溢价1.25%
　　新浪财经讯 02月01日消息，今日沪指和恒指微幅收高，沪指在虎年最后一个交易日窄幅波动，午后一度重返2800点，收市报2798.96，上涨8.27或0.30%；恒指整体维持窄幅向上格局，临近尾盘小幅走高，收市报23482.95，上涨35.61或0.15%。
　　今日AH股中A股较H股稍强，在63只可比的AH中，A股25只上涨，H股21只上涨。A+H股中，A股方面，今日整体出现小幅反弹，热点轮动支撑市场人气，但春节长假期将近，投资者交投意愿不强，个股普遍以窄幅波动为主，煤炭、有色等资源类股涨幅居前，银行股也表现活跃，但钢铁、水泥股走势疲软；H股方面，整体走势较A股弱，航运、航空、钢铁表现较弱，部分银行股走势不及相对应的A股，从而推动A股的溢价率稍微上升，不过石油、造船股走势不俗，其中油价的上涨刺激了石油股走强。AH股中出现倒挂的个股有17只，A股较H股折价两成个股减至2只。
　　恒生AH股A指数上涨0.22%，报1906.28；恒生AH股H指数下跌0.21%，报2155.48；恒生AH股A+H指数上涨0.02%，报2146.06。
　　中国平安(601318-CN)升0.5%；中国人寿(601628-CN)下跌0.33%；招商银行(600036-CN)升0.55%；工商银行(601398-CN)升0.55%；建设银行(601939-CN)升0.42%；中国银行(601988-CN)持平。
　　中国人寿(2628-HK)下跌1.47%，工商银行(1398-HK)下跌0.17%，建设银行(0939-HK)下跌1.16%，中国石油(0857-HK)上涨5.71%，中国石化(0386-HK)上涨2.87%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-23.01%)
　　鞍钢股份(000898-CN;0347-HK)-----(-20.06%)
　　农业银行(601288-CN;1288-HK)-----(-19.07%)
　　招商银行(600036-CN;3968-HK)-----(-18.44%)
　　中国人寿(601628-CN;2628-HK)-----(-17.09%)
　　建设银行(601939-CN;0939-HK)-----(-16.02%)
　　中国太保(601601-CN;2601-HK)-----(-14.50%)
　　工商银行(601398-CN;1398-HK)-----(-12.96%)
　　交通银行(601328-CN;3328-HK)-----(-10.80%)
　　中国神华(601088-CN;1088-HK)-----(-10.30%)

