2月23日香港股市盘前重要消息一览
　　2月23日香港股市盘前重要消息一览：
　　新股上市
　　发行价 ($) 行使价 ($)
　　08381 寰亚矿业股权 N/A N/A
　　10077 澳美法巴一零八购 0.25 1.10
　　10081 澳美法巴一零八沽 0.25 0.93
　　29050 中行法兴一零八B 0.25 3.99
　　29051 比迪法兴一零八B 0.34 37.88
　　29052 港交法兴一零九C 0.15 180.00
　　29053 港交法兴一一零C 0.16 170.00
　　29054 农行汇丰一零八购 0.25 4.18
　　29055 建行汇丰一零七购 0.25 7.00
　　29056 建行汇丰一零八购 0.25 7.58
　　29057 建行汇丰一零九沽 0.25 5.88
　　29058 中移汇丰一零八购 0.25 78.50
　　29059 中移汇丰一一零沽 0.25 66.88
　　29060 中寿渣打一十一购 0.25 29.68
　　29061 交银法巴一十一购 0.49 8.92
　　29062 领汇法巴二零二购 0.25 27.00
　　29063 A中德银一零九沽 0.15 13.00
　　29064 中寿德银一零九沽 0.25 27.00
　　29065 恒地花旗一一零购 0.25 56.00
　　29066 比迪法巴一零九购 0.26 40.00
　　29067 建行瑞银一零八购 0.20 7.28
　　29068 友邦瑞银一零七购 0.15 22.88
　　29069 A中苏皇一十一购 0.15 13.18
　　29070 A中苏皇二零一沽 0.15 12.02
　　68264 港交瑞银一七熊C 0.25 184.88
　　68265 工行瑞银一七熊A 0.25 6.88
　　68266 恒指瑞银一八熊F 0.25 24，700.00
　　业绩公布
　　种类
　　00041 鹰君集团 全年业绩
　　00315 数码通电讯 中期业绩
　　00456 新城市(中国) 中期业绩
　　00495 百利大 中期业绩
　　00550 才库 全年业绩
　　00705 南亚矿业 全年业绩
　　00825 新世界百货中国 中期业绩
　　00933 光汇石油 中期业绩
　　00936 敏达控股 全年业绩
　　00940 中国动物保健品 全年业绩
　　02268 优源控股 全年业绩
　　02689 玖龙纸业 中期业绩
　　经济数据
　　第4季本地生产总值
　　股本变化
　　种类 详情
　　00851 盛源控股 供股 每5股供2股，每股供$0.42
　　证券到期日
　　19595 汇丰摩通一零二A
　　22845 洋保汇丰一零二购
　　23093 A中法兴一零二A
　　23623 中寿法兴一零二A
　　23624 中寿法兴一零二B
　　23868 腾讯苏皇一零二B
　　24151 腾讯法兴一零二C
　　24333 中行美林一零二B
　　24355 汇丰苏皇一零二A
　　24356 和黄苏皇一零二A
　　24485 腾讯瑞银一零二B
　　24874 腾讯花旗一零二沽
　　25267 和黄苏皇一零二B
　　25477 农行法兴一零二D
　　25573 工行法兴一零二A
　　64582 建行法兴一二牛A
　　64588 汇丰法兴一二牛A
　　64589 A中法兴一二牛A
　　64590 A中法兴一二牛B
　　64591 A中法兴一二熊C
　　64592 腾讯法兴一二牛A
　　除牌日
　　02974 中国环境资源
　　02984 永义实业股权
　　10804 台新美林三零五B
　　17291 中油汇丰一零二购
　　17953 中油荷合一零二A
　　23914 国信美林一零二沽
　　24116 中移荷合一零二B
　　24141 农行荷合一零二沽
　　24315 中移摩通一零二购
　　24717 洋保瑞银一零二购
　　25018 农行瑞信一零二B
　　25511 农行美林一零二购
　　25531 中移麦银一零二C
　　25630 建行汇丰一零二购
　　26148 中移花旗一零二购
　　26151 中移美林一零二沽
　　26246 民行麦银一零二B
　　64463 和黄苏皇一二牛A
　　68092 恒指比联一六牛Y
　　68226 恒指法兴一六牛L
　　68229 恒指德银一十牛J
　　68232 A中德银一七牛A
　　68235 恒指瑞信一九牛H
　　68238 恒指瑞银一五牛Y
　　68244 恒指法巴一十牛C
　　68248 恒指摩通一五牛K
　　(证券时报网快讯中心)

