AH溢价指数报101.35 日核危机下AH股普跌 
　　新浪财经讯 3月15日消息，今日沪指和恒指下挫，沪指大幅下滑后反弹，盘中跌破2900点后迅速扩大，收市报2,896.26，下跌41.37或1.41%；恒指大幅下滑，盘中一度下跌超于1,000点，收市报22,678.25，下跌667.63或2.86%。
　　受此影响，恒生AH溢价指数小幅上涨，因A股整体跌幅较H股为小，令A股溢价略扩大，最高见103.12，全日报收于101.35，上涨0.87或0.87%，指数显示A股股价整体较H股仅溢价1.35%。
　　今日AH股中A和H股普跌，在66只可比的AH中，A股8只上涨，H股5只上涨。在A+H股中，A股方面，在日核危机的影响下，部分个股出现恐慌性抛盘，但在恐慌性抛盘后，逢低买盘推进跌幅收窄，其中核电设备股跌幅居前，煤炭股受油价回落拖累亦大幅走低，水泥和药业股获利回吐，金融股遭集体下挫，值得一提的是，能源设备股金凤科技(002202-CN)逆市飙逾8%，表现抢眼。H股方面，整体跌幅较A股大，核电设备、航空、航运等股遭遇重挫，拟定向增发的中国平安跌逾6%，同样获得市场青睐的风能设备股金凤科技(2208-HK)逆市飙9.44%。AH股中出现倒挂的个股有15只，A股较H股折价两成个股至2只。
　　恒生AH股A指数下跌1.59%，报1928.75；恒生AH股H指数下跌2.43%，报2148.82；恒生AH股A+H指数下跌2.27%，报2158.95。
　　中国平安(601318-CN)下跌2.77%；中国人寿(601628-CN)下跌2.06%；建设银行(601939-CN)下跌0.61%；工商银行(601398-CN)下跌0.47%；中国银行(601988-CN)下跌0.31%；招商银行(600036-CN)下跌1.60%。
　　中国人寿(2628-HK)下跌3.33%，工商银行(1398-HK)下跌2.91%，建设银行(0939-HK)下跌1.83%，中国石油(0857-HK)下跌3.51%，中国石化(0386-HK)下跌2.27%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-23.74%)
　　中国平安(601318-CN;2318-HK)-----(-23.54%)
　　招商银行(600036-CN;3968-HK)-----(-19.84%)
　　建设银行(601939-CN;0939-HK)-----(-17.30%)
　　交通银行(601328-CN;3328-HK)-----(-15.76%)
　　工商银行(601398-CN;1398-HK)-----(-15.74%)
　　中国太保(601601-CN;2601-HK)-----(-15.04%)
　　中国人寿(601628-CN;2628-HK)-----(-14.59%)
　　鞍钢股份(000898-CN;0347-HK)-----(-9.04%)
　　民生银行(600016-CN;1988-HK)-----(-8.50%)

