AH溢价指数报102.21点 电力AH股涨幅居前
　　新浪财经讯 03月23日消息，今日沪指和恒指走势不一，沪指震荡上扬，临近尾盘涨幅进一步扩大，收市报2,948.48，上涨29.34点或1.01%；恒指震荡走低，午后探底回升跌幅有所收窄，收市报22,825.40，下跌32.50点或0.14%。
　　受此影响，恒生AH溢价指数小幅走高，因A股整体走强，而H股走低，令A股溢价略扩大，最高见102.42，全日报收于102.21，上涨0.76或0.75%，指数显示A股股价整体较H股溢价2.21%。
　　今日A+H股中呈A强H弱格局，在66只可比的AH中，A股58只上涨，H股33只上涨。在A+H股中，A股方面，在央行收紧银根的影响下，资金轮动进入低估值的蓝筹股，而估值较高的中小盘面临回吐压力；电力、煤炭、机械和水泥股涨幅居前，航空和金融股亦走强，从而提振了市场人气，但上涨的个股涨幅不大，另外近期反弹的核电设备股小幅回吐。H股方面，整体走势明显弱于A股，与A股表现相同的是，部分航空、电力和机械股表现较强，但水泥、煤炭和有色等股走弱，金融股则出现涨跌互见。AH股中出现倒挂的个股有14只，A股较H股折价两成个股至2只。
　　恒生AH股A指数上涨0.82%，报1973.21；恒生AH股H指数下跌0.02%，报2182.47；恒生AH股A+H指数上涨0.31%，报2200.16。
　　中国平安(601318-CN)上涨0.68%；中国人寿(601628-CN)上涨0.19%；建设银行(601939-CN)上涨1.02%；工商银行(601398-CN)上涨0.92%；中国银行(601988-CN)上涨0.61%。
　　中国人寿(2628-HK)下跌2.05%，工商银行(1398-HK)上涨0.49%，建设银行(0939-HK)上涨0.57%，中国石油(0857-HK)上涨1.65%，中国石化(0386-HK)持平。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-22.19%)
　　中国平安(601318-CN;2318-HK)-----(-22.03%)
　　招商银行(600036-CN;3968-HK)-----(-19.30%)
　　交通银行(601328-CN;3328-HK)-----(-17.44%)
　　建设银行(601939-CN;0939-HK)-----(-16.77%)
　　中国太保(601601-CN;2601-HK)-----(-16.07%)
　　工商银行(601398-CN;1398-HK)-----(-14.80%)
　　中国人寿(601628-CN;2628-HK)-----(-11.95%)
　　鞍钢股份(000898-CN;0347-HK)-----(-8.99%)
　　民生银行(600016-CN;1988-HK)-----(-7.02%)

