AH溢价指数收报101.28 水泥A+H股回吐
　　新浪财经讯 05月05日消息，今日沪指和恒指走势不一，沪指先跌后升，午后小幅震荡回升，收市报2,872.40，上涨6.38点或0.22%；恒指反复偏软，盘中反弹受阻后再度走低，收市报23,261.61，下跌53.63点或0.23%。
　　受此影响，恒生AH溢价指数收涨，受A股出现反弹推动，最高见101.66，报收于101.28，上涨0.51或0.51%，指数显示A股股价整体较H股溢价1.28%。
　　今日A股整体走强，相对应的H股依旧偏软，在67只可比的AH中，A股33只上涨，H股27只上涨。在A+H股中，A股方面，经过连续的下跌后，技术性反弹出现，低估值的银行股具有良好的防御性，因此吸引资金流入而走强，另外钢铁股亦同样表现不俗，其中重庆钢铁收于涨停板；而其它个股表现一般，机械及水泥等股回吐。H股方面，整体走势继续疲软，铁路股回吐压力较大，机械和有色等资源股走低，但航空和公路股逆市走强。
　　AH股中出现倒挂的个股有15只，A股较H股折价两成个股至2只。
　　恒生AH股A指数上涨0.09%，报1966.00；恒生AH股H指数下跌0.48%，报2194.83；恒生AH股A+H指数下跌0.49%，报2211.85。
　　中国平安(601318-CN)下跌0.95%；中国人寿(601628-CN)上涨0.10%；建设银行(601939-CN)上涨1.37%；工商银行(601398-CN)上涨1.55%；中国银行(601988-CN)上涨1.19%。
　　中国人寿(2628-HK)下跌1.10%，工商银行(1398-HK)持平，建设银行(0939-HK)下跌0.14%，中国石油(0857-HK)下跌2.58%，中国石化(0386-HK)下跌0.79%
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-26.99%)
　　农业银行(601288-CN;1288-HK)-----(-21.67%)
　　中国太保(601601-CN;2601-HK)-----(-16.72%)
　　招商银行(600036-CN;3968-HK)-----(-14.82%)
　　工商银行(601398-CN;1398-HK)-----(-14.24%)
　　建设银行(601939-CN;0939-HK)-----(-13.38%)
　　交通银行(601328-CN;3328-HK)-----(-11.81%)
　　中国人寿(601628-CN;2628-HK)-----(-11.80%)
　　中联重科(000157-CN;1157-HK)-----(-11.32%)
　　中国神华(601088-CN;1088-HK)-----(-4.43%)

