5月31日香港股市盘前重要消息一览
　　证券时报网05月31日讯 
　　5月31日香港股市盘前重要消息一览：
　　新股上市
　　发行价 ($) 行使价 ($)
　　08193 汉华专业服务 0.72 N/A
　　11982 海油美林一一零A 0.15 18.49
　　11983 中寿美林一十二购 0.19 26.29
　　11984 长实美林一零九购 0.24 130.89
　　11985 海油美林二零二沽 0.25 16.99
　　11986 中寿美林一十二沽 0.25 24.99
　　11987 中移麦银一十二购 0.25 72.50
　　11988 国信渣打二零四购 0.60 4.44
　　11989 海螺渣打二零四购 0.48 32.88
　　11990 高传花旗二零二购 0.15 12.02
　　11991 东风花旗二零一购 0.15 16.86
　　11992 工行花旗一十二购 0.30 6.28
　　11993 汇丰花旗一十二购 0.30 83.88
　　11994 汇丰花旗一零九C 0.15 88.89
　　64481 恒指美林一乙牛A 0.30 19,700.00
　　64483 恒指美林一乙牛B 0.25 20,200.00
　　64486 恒指美林一乙牛C 0.25 20,700.00
　　64487 恒指美林一乙熊D 0.25 23,300.00
　　64488 恒指荷合一乙牛A 0.25 20,400.00
　　64490 恒指荷合一乙牛B 0.25 21,200.00
　　64491 恒指荷合一乙牛C 0.25 22,000.00
　　64492 恒指荷合一乙熊D 0.25 23,600.00
　　64493 恒指荷合一乙熊E 0.25 24,400.00
　　64494 恒指瑞信一九熊J 0.25 23,100.00
　　64495 恒指瑞信一甲牛Q 0.25 22,500.00
　　64496 港交瑞信一十牛A 0.25 154.00
　　64497 腾讯瑞信一九熊F 0.25 231.00
　　64498 A中瑞信一九熊D 0.25 13.60
　　64499 A中瑞信一十牛A 0.25 11.50
　　64500 招行汇丰二二牛A 0.25 17.80
　　64501 中化汇丰二二熊A 0.25 8.58
　　64502 神华汇丰二二熊A 0.25 40.88
　　64503 海油汇丰二二熊A 0.41 21.88
　　64504 A中汇丰二二熊A 0.25 14.58
　　64505 恒指瑞银一九熊U 0.25 23,100.00
　　业绩公布
　　种类
　　00179 德昌电机控股 全年业绩
　　00303 伟易达 全年业绩
　　00417 谢瑞麟 全年业绩
　　00508 其士泛亚 全年业绩
　　00551 裕元集团 中期业绩
　　01093 中国制药 第一季度业绩
　　02882 香港资源控股 中期业绩
　　03813 宝胜国际 中期业绩
　　08225 万全科技药业 全年业绩
　　派息备忘 (除净日)
　　金额 派息日 种类
　　00004 九龙仓集团 港元： 64.00 仙 2011/06/15 末期股息
　　00156 力宝华润 港元： 0.50 仙 2011/07/06 末期股息
　　00226 力宝 港元： 2.00 仙 2011/07/06 末期股息
　　00655 香港华人有限公司 港元： 2.00 仙 2011/07/06 末期股息
　　00836 华润电力 港元： 27.00 仙 2011/06/30 末期股息
　　证券到期日
　　10017 黄金苏皇一零五购
　　15201 汇丰美林一零五A
　　18239 汇丰荷合一零五A
　　19386 汇丰德银一零五A
　　22346 远地摩通一零五购
　　23037 比迪汇丰一零五购
　　23726 盈富中银一零五购
　　25494 腾讯瑞信一零五A
　　25815 恒大中银一零五购
　　26041 百丽中银一零五B
　　26371 港交美林一零五E
　　26686 国材德银一零五购
　　26856 和黄瑞信一零五C
　　26872 江铜花旗一零五购
　　26886 江铜野村一零五A
　　26894 中寿野村一零五购
　　26910 海油花旗一零五D
　　27036 江铜野村一零五B
　　27051 江铜野村一零五沽
　　27052 中寿野村一零五沽
　　27054 友邦瑞银一零五A
　　27866 思捷荷合一零五购
　　27869 工行荷合一零五购
　　28070 和黄野村一零五购
　　28072 江铜野村一零五C
　　28252 思捷瑞信一零五购
　　28339 长实野村一零五购
　　28526 腾讯瑞信一零五E
　　28684 兖煤瑞信一零五购
　　28988 长实荷合一零五购
　　除牌日
　　17396 汇丰美林一零五B
　　17851 比迪摩通一零五购
　　17994 国航麦银一零五购
　　21563 远地巴银一零五购
　　21821 嘉里花旗一零五购
　　21922 裕元花旗一零五购
　　22090 中材荷合一零五购
　　22889 A中中银一零五沽
　　22902 汇丰麦银一零五购
　　22968 汇丰法兴一零五A
　　23020 比迪瑞银一零五A
　　23066 领汇花旗一零五A
　　23067 S金花旗一零五购
　　23144 比迪荷合一零五购
　　23203 超大荷合一零五购
　　23270 比迪瑞信一零五购
　　23758 利丰花旗一零五A
　　23938 中银花旗一零五购
　　23967 新地花旗一零五购
　　24138 国泰摩通一零五购
　　24173 永利花旗一零五购
　　24222 阿里麦银一零五购
　　24361 安踏花旗一零五购
　　24517 新地德银一零五沽
　　24618 恒指汇丰一零五A
　　24863 东风德银一零五购
　　24888 港交德银一零五A
　　24980 鞍钢花旗一零五购
　　25001 海油花旗一零五A
　　25238 富力德银一零五购
　　25310 港交瑞银一零五A
　　25314 港交德银一零五C
　　25351 保协麦银一零五购
　　25354 吉利麦银一零五A
　　25483 腾讯法兴一零五购
　　25519 港交花旗一零五购
　　25522 腾讯瑞银一零五购
　　25621 腾讯瑞信一零五B
　　25651 港交瑞银一零五B
　　25689 中化荷合一零五购
　　25692 汇丰荷合一零五B
　　25728 华能荷合一零五购
　　25752 恒指瑞银一零五A
　　25775 中寿巴银一零五购
　　25794 恒地瑞银一零五购
　　25800 海油花旗一零五C
　　25831 中化法兴一零五A
　　25890 腾讯瑞信一零五C
　　25903 恒指瑞银一零五B
　　25917 和黄中银一零五购
　　25922 中企麦银一零五购
　　25924 洋保麦银一零五购
　　25998 中企美林一零五沽
　　26008 中化法兴一零五B
　　26044 中企麦银一零五沽
　　26060 恒指瑞银一零五D
　　26069 招行瑞信一零五购
　　26118 吉利德银一零五A
　　26159 恒指美林一零五A
　　26208 东亚巴银一零五购
　　26227 港铁德银一零五B
　　26238 中企花旗一零五购
　　26242 中企花旗一零五沽
　　26257 和黄花旗一零五购
　　26269 和黄瑞信一零五A
　　26297 国药荷合一零五购
　　26298 中药荷合一零五购
　　26301 友邦荷合一零五B
　　26342 中寿花旗一零五购
　　26344 长汽花旗一零五购
　　26363 和黄法兴一零五A
　　26377 中科麦银一零五购
　　26378 长汽麦银一零五购
　　26379 舒丹麦银一零五购
　　26380 金沙麦银一零五购
　　26389 马钢德银一零五购
　　26403 海田荷合一零五购
　　26407 永利荷合一零五购
　　26427 金沙荷合一零五购
　　26436 恒指摩通一零五购
　　26438 恒大麦银一零五购
　　26440 恒指摩通一零五沽
　　26456 恒指汇丰一零五B
　　26462 恒指汇丰一零五E
　　26512 恒指美林一零五B
　　26526 恒指巴银一零五C
　　26531 恒指巴银一零五A
　　26532 恒指巴银一零五B
　　26538 恒指麦银一零五购
　　26542 恒指麦银一零五沽
　　26547 恒指高盛一零五C
　　26561 恒指瑞银一零五C
　　26562 恒指德银一零五C
　　26568 恒指法兴一零五A
　　26573 恒指法兴一零五D
　　26574 农行麦银一零五购
　　26579 农行麦银一零五沽
　　26607 恒指比联一零五A
　　26611 恒指比联一零五D
　　26632 中企法兴一零五A
　　26633 中企法兴一零五B
　　26634 中企法兴一零五沽
　　26662 港交法兴一零五C
　　26664 新地法兴一零五B
　　26673 中信法兴一零五购
　　26682 江铜摩通一零五购
　　26703 恒指德银一零五A
　　26704 恒指德银一零五B
　　26748 吉利德银一零五C
　　26754 中银摩通一零五购
　　26757 洋保摩通一零五购
　　26766 港交瑞信一零五F
　　26777 中银汇丰一零五购
　　26787 长实法兴一零五A
　　26788 长实法兴一零五B
　　26790 长实法兴一零五C
　　26804 农行摩通一零五购
　　26818 沪深麦银一零五购
　　26827 建行瑞银一零五B
　　26847 汇丰荷合一零五C
　　26848 江铜荷合一零五B
　　26855 和黄瑞信一零五B
　　26859 中企比联一零五购
　　26860 中企比联一零五A
　　26878 港交瑞银一零五H
　　26902 和黄瑞信一零五D
　　26940 中企比联一零五B
　　26941 恒指比联一零五B
　　26959 和黄法兴一零五B
　　26980 中移法兴一零五B
　　27012 恒指法兴一零五B
　　27013 恒指法兴一零五C
　　27016 恒指法兴一零五E
　　27017 恒指法兴一零五F
　　27027 友邦渣打一零五购
　　27057 中移高盛一零五购
　　27061 汇丰高盛一零五C
　　27070 友邦德银一零五B
　　27071 友邦德银一零五C
　　27074 友邦瑞信一零五A
　　27076 建行高盛一零五B
　　27078 中寿高盛一零五B
　　27092 恒指德银一零五D
　　27096 恒指德银一零五E
　　27097 工行汇丰一零五购
　　27098 恒指汇丰一零五C
　　27099 恒指汇丰一零五D
　　27101 友邦摩通一零五购
　　27102 平安摩通一零五购
　　27103 恒指汇丰一零五F
　　27104 恒指汇丰一零五G
　　27115 恒指法兴一零五G
　　27121 港交法兴一零五H
　　27123 恒指法兴一零五H
　　27127 港交高盛一零五购
　　27130 腾讯高盛一零五购
　　27152 中海摩通一零五购
　　27169 腾讯瑞信一零五D
　　27177 恒指高盛一零五A
　　27186 恒指德银一零五F
　　27188 恒指德银一零五G
　　27243 恒指高盛一零五B
　　27263 富力法兴一零五购
　　27277 中移德银一零五B
　　27279 中银德银一零五购
　　27292 恒指美林一零五C
　　27293 恒指美林一零五D
　　27297 恒指美林一零五E
　　27298 恒指美林一零五F
　　27299 恒指美林一零五G
　　27314 港交德银一零五F
　　27320 恒指高盛一零五D
　　27384 恒指高盛一零五E
　　27414 恒指瑞银一零五E
　　27424 腾讯德银一零五B
　　27440 汇丰瑞银一零五购
　　27441 建行瑞银一零五C
　　27443 中移瑞银一零五B
　　27549 恒指野村一零五A
　　27550 恒指野村一零五B
　　27558 恒指野村一零五C
　　27559 恒指野村一零五D
　　27671 工行比联一零五C
　　27679 恒指法兴一零五I
　　27680 中寿法兴一零五B
　　27730 汇丰瑞信一零五B
　　27751 恒指比联一零五C
　　27760 恒指比联一零五E
　　27761 恒指比联一零五F
　　27762 恒指比联一零五G
　　27775 中移摩通一零五购
　　27818 和黄瑞信一零五F
　　27845 恒指比联一零五H
　　27853 长实美林一零五B
　　27868 汇丰荷合一零五E
　　27952 恒指瑞银一零五F
　　27956 恒指瑞银一零五G
　　27982 中寿瑞信一零五C
　　28033 恒指瑞银一零五H
　　28034 恒指瑞银一零五I
