AH溢价指数上涨1.36点 收报101.26点
　　新浪财经讯 06月16日消息，周四A股和港股呈普跌格局，沪指低开低走，盘中失守2700点关口，并创出近期低位，收市报2,664.28，下跌41.15点或1.52%；恒指反复走弱，盘中失守22,000关口后跌幅扩大，收市报21,953.11，下跌390.66点或1.75%。
　　受此影响，恒生AH溢价指数走高，因H股跌幅普遍较A股大，指数重返100点之上，最高见101.65，报收于101.26，上涨1.36点或1.36%，指数显示A股股价整体较H股溢价1.36%。
　　今日A股和H股普遍下跌，在67只可比的AH中，A股有7支收涨，H股仅有4支收涨。在A+H股中，A股方面，有分析师表示，资金面吃紧制约投资者信心，加息担忧依然存在，整个市场弱势难改，短线难言底部形成。盘面上，有色、银行、钢铁、公路板块均走弱，受停产消息打击，洛阳玻璃(600876-CN)跌6.5%；值得一提的是，中海发展(600026-CN)获母公司注资承若，收市上涨1.2%，另外三大航空股亦全线逆市上涨。H股方面，受消息面影响的洛阳玻璃(1108-HK)重挫9%，公路、航运、有色、造船、钢铁等亦纷纷大幅走低，且跌幅普遍较A股大。
　　AH股中出现倒挂的个股有16只，A股较H股折价幅度最大的是中国平安，溢价率达-26.11%。
　　恒生AH股A指数下跌0.82%，收报1834.87；恒生AH股H指数下跌2.01%，收报2059.85；恒生AH股A+H指数下跌1.62%，报2069.92。
　　中国平安(601318-CN)停牌；中国人寿(601628-CN)下跌0.70%；中国银行(601988-CN)下跌0.64%；建设银行(601939-CN)下跌0.61%；工商银行(601398-CN)上涨0.23%。
　　中国人寿(2628-HK)下跌2.66%，工商银行(1398-HK)下跌1.53%，建设银行(0939-HK)下跌1.12%，中国石油(0857-HK)上涨0.94%，中国石化(0386-HK)下跌1.48%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-26.11%)
　　中国太保(601601-CN;2601-HK)-----(-19.22%)
　　农业银行(601288-CN;1288-HK)-----(-19.04%)
　　招商银行(600036-CN;3968-HK)-----(-17.18%)
　　中国人寿(601628-CN;2628-HK)-----(-13.71%)
　　建设银行(601939-CN;0939-HK)-----(-11.52%)
　　工商银行(601398-CN;1398-HK)-----(-11.22%)
　　海螺水泥(600585-CN;0914-HK)-----(-10.11%)
　　交通银行(601328-CN;3328-HK)-----(-8.77%)
　　上海医药(601607-CN;2607-HK)-----(-8.11%)

