AH溢价指数下跌1.58点 收报102.24点 
　　新浪财经讯 6月24日消息，周五A股和港股均强势反弹，沪指震荡上扬，盘中收复2700点后涨幅扩大，收市报2,746.21，上涨57.96点或2.16%；恒指反复造好，重返22,000点上方运行，收市报22,171.95，下跌412.81点或1.90%。
　　恒生AH溢价指数下跌，因A股涨幅不及H股拖累，最低见101.73，报收于102.24，下跌1.58点或1.52%，指数显示A股股价整体较H股溢价2.24%，本周恒生AH溢价指数上涨2.1%或2.14点。
　　今日A股和H股普遍上涨，在67支可比的AH中，A股有63支收涨，H股有62支收涨。在A+H股中，A股方面，有分析师表示，积极因素正在累积，持续下跌后市场估值较低；财政产业政策升温、尤其是保障房资金渠道的打开，消除了保障房开工疑虑；经济硬着陆的预期正在减弱，加息的可能还存在，但预计对市场的影响不大。盘面上，个股普涨，其中航空股表现最为抢眼，因国际油价下挫降低燃油成本，另外航运、金融、钢铁、公路等股亦纷纷走强，而前期表现较好的水泥股走弱。H股方面，走势与A股类似，但整体涨幅较大，航空股同样受到市场追捧，连水泥股也不示弱，金隅股份上涨5.63%。
　　AH股中出现倒挂的个股有15只，A股较H股折价幅度最大的是中国平安，溢价率达-27.32%。
　　恒生AH股A指数上涨1.56%，收报1864.65；恒生AH股H指数下跌0.78%，收报2042.07；恒生AH股A+H指数上涨0.12%，报2068.04。
　　中国平安(601318-CN)上涨3.97%；中国人寿(601628-CN)上涨3.02%；建设银行(601939-CN)上涨2.73%；工商银行(601398-CN)上涨2.28%；中国银行(601988-CN)上涨2.52%。
　　中国人寿(2628-HK)上涨3.63%，工商银行(1398-HK)上涨2.97%，建设银行(0939-HK)上涨3.51%，中国石油(0857-HK)上涨2.02%，中国石化(0386-HK)上涨3%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-27.32%)
　　中国太保(601601-CN;2601-HK)-----(-18.60%)
　　农业银行(601288-CN;1288-HK)-----(-16.02%)
　　招商银行(600036-CN;3968-HK)-----(-14.83%)
　　中国人寿(601628-CN;2628-HK)-----(-12.07%)
　　宁沪高速(600377-CN;0177-HK)-----(-8.95%)
　　工商银行(601398-CN;1398-HK)-----(-8.42%)
　　海螺水泥(600585-CN;0914-HK)-----(-8.38%)
　　交通银行(601328-CN;3328-HK)-----(-8.24%)
　　建设银行(601939-CN;0939-HK)-----(-7.84%)

