7月12日香港股市盘前重要消息一览
　　7月12日香港股市盘前重要消息一览：
　　新股上市
　　发行价 ($) 行使价 ($)
　　06828 中国威力印刷 1.48 N/A
　　08392 新宇国际股权 N/A N/A
　　12988 港交中银一十二A 0.15 168.88
　　12989 汇丰摩通一十一B 0.15 88.88
　　12990 中移美林一十一购 0.15 80.59
　　12991 中移美林二零一B 0.15 80.89
　　12992 国信美林一十一购 0.28 5.19
　　12993 国信美林一十二A 0.16 5.69
　　12994 中联美林一十二A 0.16 16.29
　　12995 中联美林一十二B 0.15 17.99
　　12996 中联美林二零二购 0.16 17.19
　　12997 中联美林二零六沽 0.16 14.99
　　12998 中移法巴二零七购 0.26 88.80
　　12999 渣打法巴二零六购 0.25 227.80
　　13000 A中法巴二零一A 0.15 12.46
　　13001 海螺法巴二零二沽 0.45 35.00
　　13002 港交汇丰二零九购 0.25 188.00
　　13003 港交汇丰二零九沽 0.25 155.00
　　13004 华晨麦银二零七购 0.25 10.00
　　13005 汇丰瑞银五十一购 0.15 79.88
　　13006 港交摩通一十一A 0.15 168.10
　　13007 雅居麦银二零六购 0.25 13.98
　　13008 远洋麦银二零二购 0.37 8.00
　　65198 新地汇丰二四牛A 0.25 104.88
　　65199 新地汇丰二六熊A 0.25 134.88
　　65200 恒指瑞银一十熊Y 0.25 23，000.00
　　65201 恒指瑞信一十熊R 0.25 23，000.00
　　65202 恒指瑞信一乙牛V 0.25 22，100.00
　　65203 恒指瑞信二一牛L 0.25 22，400.00
　　65204 恒指瑞银一十牛V 0.25 22，400.00
　　65205 恒指摩通一甲熊C 0.25 23，000.00
　　派息备忘 (除净日)
　　金额 派息日 种类
　　00626 大众金融控股 港元： 5.00 仙 2011/07/29 中期股息
　　股本变化
　　种类 详情
　　00993 天行国际 供股 每1股供20股，每股供$0.03，每供5股送1份红利认股权证
　　证券到期日
　　10033 苹果德银一零七A
　　21876 远洋麦银一零七购
　　27403 海油苏皇一零七购
　　28147 和黄麦银一零七B
　　66358 A中汇丰一七熊A
　　67751 中移德银一七熊A
　　67752 汇丰德银一七熊A
　　68232 A中德银一七牛A
　　除牌日
　　10029 澳美德银一零七购
　　10030 英美德银一零七购
　　10031 美日法巴一零七购
　　10032 欧美法巴一零七沽
　　10034 英美德银一零七沽
　　10036 欧美法巴一零七购
　　10037 美日法巴一零七沽
　　10053 苹果野村一零七B
　　10068 苹果瑞信一零七购
　　11062 和黄瑞信一零七E
　　22217 和黄美林一零七B
　　22265 龙地花旗一零七购
　　23422 长实美林一零七购
　　23550 农行巴银一零七A
　　23551 中煤巴银一零七购
　　24362 招行花旗一零七购
　　24449 中险德银一零七A
　　24565 中险瑞银一零七购
　　24818 利丰中银一零七购
　　24840 兖煤中银一零七购
　　24913 富力巴银一零七购
　　25371 和黄中银一零七购
　　25874 A中比联一零七A
　　25893 中行巴银一零七购
　　25902 中行巴银一零七沽
　　26036 中煤瑞信一零七购
　　26313 农行巴银一零七沽
　　26828 中海瑞银一零七购
　　26974 港铁渣打一零七购
　　27018 新地法兴一零七购
　　27137 建行德银一零七A
　　27387 中行德银一零七购
　　27765 中寿瑞银一零七A
　　27777 工行瑞银一零七购
　　27782 国药高盛一零七购
　　27835 国信花旗一零七A
　　27906 思捷花旗一零七购
　　27929 农行瑞银一零七A
　　27930 中行瑞银一零七购
　　27941 中化渣打一零七购
　　27979 农行瑞信一零七A
　　27989 长实高盛一零七购
　　28040 吉利中银一零七购
　　28044 汇丰法兴一零七B
　　28106 比迪德银一零七购
　　28109 吉利德银一零七购
　　28111 中寿摩通一零七购
　　28118 和黄比联一零七E
　　28121 长实瑞银一零七购
　　28124 和黄瑞银一零七B
　　28149 中移高盛一零七沽
　　28325 和黄瑞信一零七D
　　28551 雨润麦银一零七购
　　28600 中寿巴银一零七购
　　28638 中移德银一零七购
　　28751 港交渣打一零七购
　　28773 中油荷合一零七购
　　28788 永利荷合一零七购
　　28800 永利瑞银一零七购
　　28824 腾讯法巴一零七B
　　28911 和黄德银一零七B
　　29183 汇丰荷合一零七B
　　29268 民行荷合一零七购
　　29292 腾讯瑞信一零七C
　　29379 建行瑞银一零七C
　　29834 兖煤比联一零七B
　　64779 建行瑞银一甲牛A
　　65128 恒指法兴一十牛D
　　65137 恒指瑞信一乙牛T
　　65138 恒指瑞银一甲牛Q
　　65148 恒指瑞银一十熊R
　　65149 恒指瑞银一甲熊H
　　65152 恒指法兴一十牛E
　　65153 恒指法兴一十牛C
　　65156 恒指法兴一十牛N
　　65163 恒指瑞信一十熊W
　　65169 恒指瑞信一乙牛U
　　65171 恒指瑞信二一牛K
　　65172 腾讯瑞信一甲牛F
　　65173 恒指摩通一甲牛B
　　65177 恒指瑞银一十牛U
　　65179 恒指瑞银一甲牛V
　　65189 恒指法巴一乙牛U
　　65192 恒指法巴一乙牛V
　　65194 恒指法巴一乙牛X
　　65195 恒指法巴一乙牛Y
　　66799 建行汇丰一七牛C
　　67376 中油瑞银一七牛A
　　67419 汇丰瑞银一七熊A
　　67420 和黄瑞银一七熊A
　　68089 中移瑞银一七熊A
　　68201 中移德银一七牛C

