7月19日香港股市盘前重要消息一览
　　7月19日香港股市盘前重要消息一览：
　　新股上市
　　发行价 ($) 行使价 ($)
　　02941 莱福资本股权 N/A N/A
　　13159 金风荷合二一零购 0.25 8.88
　　13160 龙工荷合二零一购 0.40 4.70
　　13161 招商荷合二零一购 0.35 31.00
　　13162 国美荷合二零一购 0.25 3.88
　　13163 国材荷合二零一购 0.25 19.88
　　13164 神码荷合二零七购 0.25 13.48
　　13165 海田荷合二零七购 0.25 15.48
　　13166 阿里荷合二零六购 0.15 13.90
　　13167 理文荷合二零一购 0.50 4.88
　　13168 龙地麦银二零一购 0.25 15.88
　　13169 马钢汇丰二零二购 0.25 3.88
　　13170 中移汇丰二零一购 0.25 80.00
　　13171 安踏汇丰二零三购 0.25 14.38
　　13172 建行渣打一十二B 0.15 6.89
　　13173 中银渣打二零五购 0.20 23.88
　　13174 九仓比联二零一购 0.34 56.88
　　13175 汇丰比联二零一购 0.35 77.88
　　13176 汇丰比联二零二购 0.25 82.88
　　13177 电能比联二零四购 0.49 58.00
　　13178 恒地比联二零一购 0.25 56.88
　　13179 和黄比联二零一购 0.38 90.00
　　13180 和黄比联二零一A 0.52 86.00
　　13181 新地比联二零一购 0.43 128.88
　　13182 恒产比联二零四购 0.25 34.88
　　13183 昆能比联二零三购 0.16 14.48
　　13184 昆能比联二零三A 0.25 12.88
　　13185 腾讯比联二零一购 0.27 202.00
　　13186 腾讯比联一十二B 0.15 233.98
　　13187 腾讯比联二零二购 0.15 250.00
　　13188 腾讯比联二零一A 0.15 226.98
　　13189 建行比联二零一A 0.25 7.18
　　13190 汇丰比联二零一沽 0.25 70.00
　　13191 电能比联二零四沽 0.25 51.88
　　13192 恒地比联二零一沽 0.42 46.88
　　13193 恒产比联二零五沽 0.32 28.80
　　13194 保利摩通三零六购 0.15 6.99
　　13195 建行苏皇一十二B 0.15 6.48
　　13196 中寿苏皇二零九购 0.25 32.00
　　13197 汇丰苏皇二零一A 0.25 82.88
　　13198 和黄苏皇一十二购 0.15 97.88
　　13199 中油苏皇二十二购 0.15 12.00
　　13200 江铜瑞信一十一购 0.15 28.90
　　13201 海螺瑞信一十二购 0.30 42.19
　　13202 中行法兴二零二购 0.15 3.58
　　13203 恒指瑞信一一零购 0.15 22，700.00
　　13204 恒指瑞信一十一沽 0.15 21，300.00
　　13205 恒指瑞信一十二购 0.15 21，900.00
　　13206 海油瑞信一一零C 0.15 18.02
　　13207 海油瑞信一一零D 0.15 17.02
　　65267 恒指瑞银一十牛K 0.25 21，800.00
　　65268 恒指瑞银一甲牛Q 0.25 21，900.00
　　65269 恒指瑞银一甲牛V 0.25 22，100.00
　　65271 恒指瑞信一十熊J 0.25 22，400.00
　　65272 恒指瑞信一十熊Q 0.25 22，700.00
　　65273 恒指瑞信一甲牛N 0.25 21，700.00
　　65274 恒指瑞信一甲牛O 0.25 22，100.00
　　65275 恒指瑞信一乙牛X 0.25 21，900.00
　　65276 腾讯瑞信一甲熊G 0.25 218.00
　　65277 恒指瑞银一十牛P 0.25 21，600.00
　　65278 恒指法兴一十牛L 0.25 21，700.00
　　65279 恒指法兴一十熊M 0.25 22，200.00
　　65280 恒指法兴一十熊Y 0.25 22，300.00
　　65281 恒指法兴一十熊C 0.25 22，400.00
　　65282 恒指法兴一十熊D 0.25 22，500.00
　　65283 恒指法兴一十熊E 0.25 22，600.00
　　65284 恒指法兴一十熊N 0.25 22，700.00
　　65286 建行瑞银二一牛B 0.25 5.08
　　65287 工行瑞银一乙牛B 0.25 4.70
　　65288 恒指瑞银一乙牛S 0.25 20，800.00
　　65289 恒指瑞银一十熊L 0.25 22，200.00
　　65290 恒指瑞银一十熊X 0.25 22，700.00
　　65291 恒指瑞银一甲熊H 0.25 21，900.00
　　65292 恒指瑞银一甲熊I 0.25 22，400.00
　　65293 恒指瑞银一乙熊T 0.25 22，100.00
　　65294 恒指瑞银一乙熊U 0.25 22，950.00
　　65295 恒指瑞信一十熊U 0.25 21，900.00
　　65296 恒指瑞信一十熊T 0.25 22，100.00
　　65297 恒指瑞信二一牛N 0.25 21，500.00
　　65298 恒指摩通一甲熊G 0.25 22，700.00
　　65299 恒指摩通一甲熊H 0.25 22，600.00
　　65300 恒指摩通一甲熊I 0.25 22，500.00
　　65301 恒指摩通一甲熊J 0.25 22，300.00
　　65302 恒指摩通一甲熊K 0.25 22，166.00
　　65303 恒指法巴一十熊M 0.25 22，000.00
　　65305 恒指法巴一十熊W 0.25 22，100.00
　　65306 恒指法巴一十熊Z 0.25 22，200.00
　　65307 恒指法巴一十熊Y 0.25 22，300.00
　　65308 恒指法巴一十熊A 0.25 22，400.00
　　65309 恒指法巴一十熊B 0.25 22，500.00
　　65310 恒指法巴一十熊C 0.25 22，600.00
　　派息备忘 (除净日)
　　金额 派息日 种类
　　01999 敏华控股 港元： 13.00 仙 2011/08/01 末期股息
　　股本变化
　　种类 详情
　　00185 特速集团 公开发售 每20股可获发售3股，每股发售价$0.11
　　证券到期日
　　23477 港交美林一零七A
　　28276 兖煤瑞信一零七购

