AH溢价指数上涨6.9点 收报110.82 
　　新浪财经讯 8月09日消息，周二A股和港股继续下跌，沪指几乎收平，开盘急挫后逐渐反弹，并重上2500点上方，收市报2,526.07，微跌0.75点或0.03%；恒指跌破两万点关口，其后跌幅一度收窄，但尾盘再度下跌，收市报19,330.70，大跌1159.87点或5.66%。
　　受此影响，恒生AH溢价指数上扬，因H股跌幅继续扩大影响，全日收报于110.82，上涨6.90点或6.64%，指数显示A股股价整体较H股溢价10.82%。
　　今日A股和H股仍多数下跌，在67支可比的AH中，A股24支上涨，H股6支上涨。在A+H股中，A股方面，有分析师表示，前夜美股重挫明显冲击了市场信心，但中国7月份居民消费价格指数(CPI)同比升6.5%的数据公布后，市场反而冷静下来，开始憧憬央行货币政策在国内外形势不明朗的背景下维持谨慎态度。盘面上，造船、金融、航空等股有所反弹，另外公路、铁路股也走强，值得一提的是，招行公布中期业绩强劲，招行收市微涨0.7%，而煤炭、药业及电力股依然疲软。H股方面，大多数个股继续下挫，其中钢铁、煤炭、石油跌幅靠前，金融、机械、水泥、航运等股也纷纷下跌，不过广船国际强劲反弹近5%。AH股中出现倒挂的个股有10只，A股较H股折价幅度最大的是中国平安，溢价率达-21.90%。
　　恒生AH股A指数上涨0.16%，收报1695.56；恒生AH股H指数下跌6.14%，收报1752.03；恒生AH股A+H指数下跌3.75%，报1817.65。
　　中国平安(601318-CN)下跌0.66%；中国人寿(601628-CN)下跌0.68%；建设银行(601939-CN)上涨0.45%；工商银行(601398-CN)上涨1.74%；中国银行(601988-CN)上涨0.34%。
　　中国人寿(2628-HK)下跌8.23%，工商银行(1398-HK)下跌6.94%，建设银行(0939-HK)下跌7.28%，中国石油(0857-HK)下跌7.87%，中国石化(0386-HK)下跌7.33%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-21.90%)
　　农业银行(601288-CN;1288-HK)-----(-16.38%)
　　海螺水泥(600585-CN;0914-HK)-----(-12.47%)
　　中国太保(601601-CN;2601-HK)-----(-11.18%)
　　招商银行(600036-CN;3968-HK)-----(-9.73%)
　　中国人寿(601628-CN;2628-HK)-----(-8.21%)
　　宁沪高速(600377-CN;0177-HK)-----(-4.35%)
　　中联重科(000157-CN;1157-HK)-----(-1.93%)
　　青岛啤酒(600600-CN;0168-HK)-----(-1.77%)
　　交通银行(601328-CN;3328-HK)-----(-1.76%)

