8月16日香港股市盘前重要消息一览
　　8月16日香港股市盘前重要消息一览：
　　业绩公布
　　种类
　　00002 中电控股 中期业绩
　　00046 科联系统 中期业绩
　　00095 新泽控股 中期业绩
　　00152 深圳国际 中期业绩
　　00181 闽港控股 中期业绩
　　00236 香港生力啤 中期业绩
　　00240 利基控股 中期业绩
　　00268 金蝶国际 中期业绩
　　00359 海升果汁 中期业绩
　　00546 阜丰集团 中期业绩
　　00610 惠记集团 中期业绩
　　00716 胜狮货柜 中期业绩
　　00733 合富辉煌 中期业绩
　　00800 A8电媒音乐 中期业绩
　　00802 宏霸数码 中期业绩
　　00806 惠理集团 中期业绩
　　00861 神州数码 第一季度业绩
　　00881 中升控股 中期业绩
　　00956 新天绿色能源 中期业绩
　　00990 荣晖国际 中期业绩
　　01087 泓淋科技 中期业绩
　　01098 路劲基建 中期业绩
　　01138 中海发展股份 中期业绩
　　01368 特步国际 中期业绩
　　01863 思嘉集团 中期业绩
　　01898 中煤能源 中期业绩
　　01988 民生银行 中期业绩
　　02007 碧桂园 中期业绩
　　02323 至卓国际 中期业绩
　　02700 合俊集团 中期业绩
　　03308 金鹰商贸 中期业绩
　　03366 华侨城(亚洲) 中期业绩
　　新股上市
　　发行价 ($) 行使价 ($)
　　13890 恒指美林二零一G 0.18 20，600.00
　　13891 恒指美林二零一H 0.16 21，200.00
　　13892 中行美林二零二B 0.23 3.49
　　13893 中寿美林二零二B 0.25 24.59
　　13894 中移美林一十一A 0.21 77.99
　　13895 海油美林二零九购 0.25 15.59
　　13896 海油美林二零六购 0.25 14.59
　　13897 中化美林二零二A 0.43 7.49
　　13898 恒指麦银二零二购 0.25 21，000.00
　　13899 腾讯麦银二零三购 0.31 200.00
　　13900 腾讯麦银二零三A 0.25 220.00
　　13901 港交麦银二零八购 0.25 152.00
　　13902 招行麦银二零六购 0.25 18.80
　　13903 恒指汇丰二零三B 0.25 19，300.00
　　13904 汇丰摩通二零二沽 0.32 66.66
　　13905 汇丰摩通二零四购 0.25 80.00
　　13906 汇丰摩通二零二购 0.28 76.00
　　13907 工行摩通二零二购 0.33 5.68
　　13909 洋保摩通二零二购 0.25 30.00
　　13910 和黄摩通二零二A 0.29 90.00
　　13911 中移摩通二零二购 0.31 76.88
　　13912 友邦摩通二零二A 0.25 26.88
　　13913 农行摩通二零二购 0.33 4.00
　　13914 港交摩通二一零购 0.16 150.00
　　13916 建行摩通二零二购 0.39 6.08
　　13917 恒指法兴二零二B 0.29 18，800.00
　　13918 恒指法兴二零二C 0.25 19，400.00
　　13919 汇丰比联二零二A 0.50 69.98
　　13920 汇丰比联二零一A 0.35 75.00
　　13921 A中比联二零八购 0.15 10.88
　　13922 建行法巴二零三B 0.49 6.20
　　13923 汇丰法巴二零四B 0.71 70.00
　　13924 恒指比联二零三B 0.25 17，600.00
　　13925 恒指汇丰二零三C 0.25 18，300.00
　　13926 恒指法巴二零八购 0.25 20，000.00
　　13927 恒指法巴二零四购 0.25 19，600.00
　　13928 恒指法巴二零四沽 0.38 19，800.00
　　13929 恒指法巴二零三沽 0.44 20，800.00
　　13930 长实瑞银二十二A 0.15 118.00
　　13931 和黄瑞银二零一购 0.15 72.90
　　13932 中寿苏皇二零六购 0.25 25.88
　　13933 中寿苏皇二零四购 0.25 23.88
　　13934 建行苏皇二零四购 0.25 6.00
　　13935 中行苏皇二零四购 0.25 3.48
　　13936 工行苏皇二零四购 0.25 5.58
　　13937 港交苏皇二一零购 0.25 153.88
　　13938 和黄苏皇二零三B 0.25 84.88
　　13939 汇丰苏皇二零四购 0.25 74.38
　　13940 和黄花旗二零二A 0.25 88.88
　　13941 中移花旗二零二购 0.25 78.88
　　13942 建行花旗二零二A 0.25 5.88
　　13943 工行花旗二零二购 0.25 5.58
　　13944 汇丰花旗二零二购 0.25 75.88
　　13945 恒指瑞信二零二D 0.25 18，500.00
　　13946 A中瑞信二零八购 0.15 10.90
　　13947 中行瑞银二零一B 0.21 3.59
　　13948 工行瑞银二零二购 0.53 5.38
　　13949 建行瑞银二零二购 0.67 5.50
　　13950 A中瑞银二零八购 0.20 10.88
　　13951 汇丰瑞银五一零购 0.25 63.88
　　13952 中企比联二零三A 0.25 10，600.00
　　13953 中企比联二零三B 0.25 11，600.00
　　13954 恒指比联二零二购 0.25 19，600.00
　　13955 港交比联二零八购 0.25 138.00
　　65883 恒指汇丰二八牛A 0.25 16，600.00
　　65884 恒指汇丰二七牛A 0.25 17，600.00
　　65885 恒指麦银二一牛C 0.25 19，000.00
　　65886 恒指汇丰二八牛B 0.25 15，600.00
　　65887 恒指法兴二四牛A 0.46 16，100.00
　　65889 恒指法兴二四牛B 0.40 16，600.00
　　65890 恒指法兴二三牛H 0.25 18，600.00
　　65891 恒指法兴二三牛I 0.25 18，800.00
　　65892 恒指法兴二二熊G 0.25 20，300.00
　　65893 恒指法兴二二熊H 0.25 20，500.00
　　65894 恒指法兴二二熊I 0.25 20，700.00
　　65895 恒指法兴二二熊J 0.27 20，900.00
　　65896 恒指瑞信一甲熊V 0.25 19，600.00
　　65897 恒指瑞信一甲熊P 0.25 20，100.00
　　65898 恒指瑞信一甲熊Y 0.25 20，600.00
　　65899 恒指瑞信一甲熊J 0.25 21，100.00
　　65900 恒指瑞信一乙熊Q 0.25 19，800.00
　　65901 恒指瑞信一乙熊S 0.25 20，300.00
　　65902 恒指瑞信一乙熊V 0.25 20，800.00
　　65903 恒指瑞信一乙熊W 0.25 21，900.00
　　65904 恒指瑞信二六熊A 0.25 20，900.00
　　65905 恒指瑞信二六熊B 0.25 21，900.00
　　65906 恒指瑞信二六熊C 0.25 22，900.00
　　65909 恒指瑞信二一牛T 0.25 16，650.00
　　65913 恒指瑞信二一牛U 0.25 17，550.00
　　65917 恒指瑞信二一牛X 0.25 18，450.00
　　65918 恒指瑞信二一牛B 0.25 19，000.00
　　65919 恒指瑞信二一牛C 0.25 19，350.00
　　65920 恒指瑞信二一牛D 0.25 19，400.00
　　65921 恒指瑞信二一牛O 0.25 20，100.00
　　65922 恒指瑞信二一牛P 0.25 20，250.00
　　65923 恒指瑞信二二牛N 0.26 16，800.00
　　65924 恒指瑞信二二牛O 0.25 16，950.00
　　65925 恒指瑞信二二牛P 0.25 17，200.00
　　65926 恒指瑞信二二牛Q 0.25 17，850.00
　　65928 恒指瑞信二二牛R 0.25 18，700.00
　　65936 恒指瑞信二二牛S 0.25 18，750.00
　　65939 恒指瑞信二二牛T 0.25 19，200.00
　　65940 恒指瑞信二二牛U 0.25 19，650.00
　　65941 恒指瑞信二二牛V 0.25 19，700.00
　　65944 恒指瑞信二三牛J 0.25 16，150.00
　　65945 恒指瑞信二三牛K 0.25 16，600.00
　　65947 恒指瑞信二三牛L 0.25 17，050.00
　　65948 恒指瑞信二三牛M 0.25 17，400.00
　　65949 恒指瑞信二三牛N 0.25 17，950.00
　　65950 恒指瑞信二三牛O 0.25 18，850.00
　　65951 恒指瑞信二三牛P 0.25 19，750.00
　　65952 恒指瑞信二四牛J 0.36 15，800.00
　　65953 恒指瑞信二四牛K 0.25 16，500.00
　　65954 恒指瑞信二四牛L 0.25 17，100.00
　　65955 恒指瑞信二五牛C 0.25 16，300.00
　　65957 恒指瑞信二六牛D 0.32 14，600.00
　　65958 恒指瑞信二六牛E 0.28 15，200.00
　　65959 恒指瑞信二六牛F 0.25 16，000.00
　　65960 恒指瑞信二六牛G 0.25 16，100.00
　　65961 恒指瑞信二六牛H 0.25 17，100.00
　　65962 恒指瑞信二六牛I 0.25 18，100.00
　　65964 恒指法巴二四牛V 0.25 17，000.00
　　65966 恒指法巴二四牛W 0.25 17，600.00
　　65971 恒指法巴二二熊X 0.25 20，400.00
