10月18日香港股市盘前重要消息一览
　　证券时报网 10月18日讯 
　　10月18日香港股市盘前重要消息一览：
　　业绩公布
　　00688 中国海外发展
　　02601 中国太保
　　06813 凯德商用-S   
　　新股/新证上市
　　01265 天津天联公用
　　04524 HKMC FRN N1210
　　06813 凯德商用-S
　　股份/股证最后买卖日
　　10101 欧美德银一一零沽
　　11134 中移美林一一零C
　　11179 腾讯瑞银一一零B
　　11246 海螺荷合一一零购
　　11248 国材荷合一一零B
　　11249 恒大荷合一一零购
　　11250 永利荷合一一零购
　　11262 农行荷合一一零购
　　11263 中集荷合一一零购
　　11267 国泰摩通一一零购
　　11270 神华中银一一零购
　　11294 华能法兴一一零购
　　11296 汇丰渣打一一零购
　　11343 保协麦银一一零购
　　11364 中油花旗一一零购
　　11393 国泰花旗一一零B
　　11480 神华野村一一零购
　　11580 国信法兴一一零购
　　11641 中寿瑞银一一零A
　　11743 海油瑞信一一零A
　　11839 港交瑞银一一零C
　　11851 中银花旗一一零购
　　11982 海油美林一一零A
　　12305 建行摩通一一零购
　　12345 工行汇丰一一零A
　　12575 和黄瑞信一一零B
　　12811 海油瑞信一一零B
　　12971 农行法兴一一零F
　　13157 恒大瑞信一一零购
　　13206 海油瑞信一一零C
　　18145 汇丰荷合一一零沽
　　20576 长实巴银一一零购
　　20587 长实巴银一一零沽
　　22891 远洋法兴一一零购
　　23481 港交美林一一零沽
　　23531 远洋瑞信一一零购
　　23713 中联法兴一一零购
　　23924 新地法兴一一零购
　　24303 长实德银一一零购
　　24403 新地德银一一零购
　　24458 港交瑞银一一零A
　　25266 港交苏皇一一零A
　　25388 新地瑞银一一零购
　　25750 紫金瑞银一一零购
　　26219 A中瑞银一一零购
　　26330 A中德银一一零购
　　26571 A中法兴一一零购
　　26954 三重荷合一一零购
　　26967 世茂中银一一零购
　　27399 新地高盛一一零购
　　28334 友邦瑞银一一零购
　　28397 腾讯瑞信一一零购
　　28414 长实德银一一零B
　　28475 友邦美林一一零购
　　28484 长实美林一一零沽
　　28485 阿里法兴一一零A
　　28550 阿里高盛一一零B
　　28993 港交荷合一一零沽
　　29053 港交法兴一一零C
　　29122 华润花旗一一零购
　　29472 海螺法兴一一零购
　　29479 腾讯高盛一一零C
　　29500 海油瑞银一一零A
　　29508 农行美林一一零购
　　29511 中行美林一一零购
　　29569 友邦德银一一零购
　　29890 中移法兴一一零B

