9月18日香港市场交易提示
　　2008年9月18日 星期四
　　新股上市
　　发行价 ($) 行使价 ($)
　　14899 恒指雷曼九零三E 0.26 20,888.00
　　14900 新地雷曼九零九购 0.15 103.88
　　14901 国信雷曼九零三C 0.37 3.88
　　14902 中油雷曼九零三购 0.15 9.69
　　14903 海油雷曼九零八购 0.18 9.99
　　14904 中移雷曼九零五购 0.15 84.88
　　14905 中煤雷曼九零四购 0.25 11.88
　　14906 远洋雷曼九零三B 0.25 12.88
　　14907 中寿雷曼八十二购 0.20 30.88
　　14908 恒指雷曼九零三F 0.27 19,888.00
　　14909 交银麦银九十一购 0.26 8.00
　　14910 富力麦银九零六购 0.26 12.00
　　14911 世茂麦银九零七购 0.25 6.50
　　14912 交银花旗九零九购 0.16 8.99
　　14913 中交花旗九零六购 0.25 9.88
　　14914 中寿花旗九零三购 0.35 29.88
　　14915 汇丰花旗九零八购 0.15 120.00
　　14916 行花旗九零五购 0.60 5.58
　　14917 领汇花旗九零七购 0.25 18.00
　　14918 鞍钢汇丰九零八购 0.25 8.68
　　14919 铁建汇丰九零八购 0.25 11.28
　　14920 中铁汇丰九零六购 0.84 6.18
　　14921 联想汇丰九零六购 0.83 5.28
　　14922 国信德银九零二购 0.41 3.88
　　14923 汇丰摩通九零六购 0.16 123.88
　　14924 招行花旗九零九购 0.37 26.88
　　14925 港铁花旗九一零购 0.25 28.88
　　14926 A中德银九零四购 0.16 12.50
　　14927 九仓花旗九零八购 0.28 30.00
　　14928 A中德银九零三B 0.21 12.50
　　14929 中油德银九零七购 0.15 9.30
　　14930 铁建花旗九一零购 0.25 12.00

