10月17日香港市场交易提示
　　2008年10月17日 星期五
　　新股上市
　　发行价 ($) 行使价 ($)
　　04305 华大地产债券一一 N/A N/A
　　10840 日经法兴九零六购 0.29 10,000.00
　　10842 杜工德银九零六C 0.25 9,000.00
　　10845 日经法兴九零六沽 0.25 8,000.00
　　10846 杜工德银九零六D 0.30 8,500.00
　　15325 中移荷银九零六B 0.16 62.00
　　15326 海油法兴九一零购 0.15 7.87
　　15327 恒指法兴九零四O 0.25 13,800.00
　　15328 恒指法兴九零四P 0.25 14,200.00
　　15329 恒指法兴九零四Q 0.25 14,800.00
　　15330 恒指法兴九零四R 0.25 15,200.00
　　15331 建行花旗九一零购 0.74 4.00
　　15332 中寿花旗九零九购 0.62 22.88
　　15333 中移花旗九一零C 0.17 61.95
　　15334 中移花旗九一零D 0.15 68.88
　　15335 恒生花旗九零七购 0.25 108.00
　　15336 和黄花旗九零八购 0.51 48.88
　　15337 汇丰花旗九零九购 0.25 98.88
　　15338 平安花旗九一零购 0.68 50.00
　　15339 港铁花旗九一零B 0.35 20.00
　　15340 太A花旗九零八购 0.25 68.88
　　15341 建行麦银九零六购 0.49 4.40
　　15342 中寿麦银九零八购 0.37 28.00
　　15343 中油麦银九零九购 0.25 7.50
　　15344 国泰摩通九一零购 0.27 10.88
　　15345 中移摩通九零七购 0.18 63.88
　　15346 A中摩通九零八B 0.26 9.88
　　15347 中行荷合九零五购 0.60 2.80
　　15348 中移荷合九一零B 0.25 65.00
　　15349 工行荷合九零八购 1.00 4.00
　　15350 A中荷合九零五购 0.25 9.50
　　15351 A中荷合九零七沽 0.25 9.50

