2月18日香港市场交易提示
　　日期 代码 名称 业绩报告
　　2009-02-18 02689 玖龙纸业 中报
　　2009-02-18 00839 天大石油管材 3季报
　　2009-02-18 00678 丽星邮轮 3季报
　　2009-02-18 00411 南顺(香港) 中报
　　新股/证上市日期 代码 名称 每手股数 发行价 行使价
　　2009-02-18 62088 恒指德银九甲熊D 10000 0.250 14600.000
　　2009-02-18 62084 恒指德银九甲牛C 10000 0.280 11300.000
　　2009-02-18 62083 A中比联九九牛A 1000 0.250 8.280
　　2009-02-18 62082 中移比联九七熊E 5000 0.250 84.000
　　2009-02-18 62081 中寿比联九九熊D 10000 0.390 25.980
　　2009-02-18 16336 A中比联九十一购 1000 0.227 11.980
　　2009-02-18 16335 A中比联九一零B 1000 0.250 10.880
　　2009-02-18 16334 A中比联九零九B 1000 0.260 10.080
　　2009-02-18 16333 建行麦银九零九沽 1000 0.582 3.800
　　2009-02-18 16332 交银麦银零十二购 10000 0.252 5.300
　　2009-02-18 16331 A中麦银九十二购 1000 0.251 11.000
　　2009-02-18 16330 恒指麦银九十二购 10000 0.250 13400.000
　　2009-02-18 16329 恒指麦银九零九购 10000 0.250 14600.000
　　2009-02-18 16328 恒指比联九零八G 10000 0.250 12400.000
　　2009-02-18 16327 恒指比联九零八F 10000 0.250 11400.000

