香港股市6月11日收盘个股成交金额前20名
　　恒生指数6月11日收市报18,849.32点，涨63.66点或0.34%，成交总额477.4亿港元。
　　香港股市11日收盘二十大成交金额
　　股票代码 公司名称 收盘价(港元) 成交金额(千港元)
　　00939 建设银行 5.47 4,063,309
　　00272 瑞安房地产 5.15 2,600,317
　　01398 工商银行 5.1 2,043,988
　　00386 中国石油化工股份 5.93 1,535,363
　　03988 中国银行 3.79 1,490,413
　　00941 中国移动 83.85 1,482,837
　　00005 汇丰控股 67.45 1,385,170
　　00388 香港交易所 130.4 1,245,425
　　02628 中国人寿 30.55 961,922
　　00857 中国石油股份 9.39 528,246
　　00883 中国海洋石油 10.84 501,426
　　02823 A50中国基金 13.02 472,084
　　03968 招商银行 17.34 470,407
　　01919 中国远洋 10.5 447,801
　　02777 富力地产 17.96 393,395
　　03328 交通银行 7.86 374,404
　　00016 新鸿基地产 94.25 340,265
　　00688 中国海外发展 17.04 336,886
　　02800 盈富基金 19.12 332,371
　　00992 联想集团 3.24 331,909
　　资料来源：香港交易所

