香港股市6月12日收盘个股跌幅前20名
　　恒生指数6月12日收市报19,024.43点，涨233.4点或1.24%，成交总额453.7亿港元。
　　香港股市12日收盘二十大跌幅股份
　　股票代码 公司名称 收盘价(港元) 变动(港元) 变动(%)
　　08026 长达科技 0.34 0.06 15
　　00706 银创控股 0.28 0.04 12.5
　　01164 维奥医药 0.255 0.035 12.07
　　00329 如集团 0.295 0.04 11.94
　　08007 数码香港 0.6 0.08 11.76
　　00901 莱福资本 0.139 0.018 11.46
　　00326 中国星集团 0.47 0.06 11.32
　　00913 合一投资 0.096 0.011 10.28
　　08301 明华科技 0.32 0.035 9.86
　　01046 寰宇国际 0.103 0.011 9.65
　　00141 大中华集团 0.57 0.06 9.52
　　00527 银河半导体 0.29 0.03 9.38
　　00450 鸿兴印刷集团 1.38 0.14 9.21
　　00643 恒富控股 0.255 0.025 8.93
　　00381 侨雄能源 0.26 0.025 8.77
　　01062 新资本 0.165 0.015 8.33
　　00585 意马国际 0.55 0.05 8.33
　　08126 G·A·控股 0.211 0.019 8.26
　　03813 宝胜国际 1.17 0.1 7.87
　　02878 SOLOMON SYSTECH 0.59 0.05 7.81
　　资料来源：香港交易所

