内房股造淡 银监会警惕银行防范房产风险
　　内房股今早股价逆市造淡，因中国银监会警惕银行防范房产市场风险，富力地产(02777-HK)及世茂房地产(00813-HK)曾跌逾3%。
　　银监会主席刘明康表示，上半年贷款高速投放积聚的风险正增加，银行业等金融机构经营活动中的不审慎行为和冲动放贷、粗放经营的倾向抬头。
　　他续指，目前要特别防范专案资本金不实或不足风险、票据融资风险、贷款集中度风险和房地产市场风险等。
　　代号 股票名称 最新(元) 升/跌(%)
　　2007 碧桂园 3.500 -0.57%
　　0688 中国海外发展 17.100 -0.93%
　　1109 华润置地 16.340 -1.33%
　　0813 世茂房地产 14.280 -2.33%
　　0272 瑞安房地产 5.180 -1.89%
　　3377 远洋地产 8.300 -1.19%
　　3383 雅居乐地产 9.960 -1.58%
　　2777 富力地产 16.560 -2.01%
　　0754 合生创展集团 11.920 -1.32%
　　1224 中渝置地 5.250 -0.94%
　　0817 方兴地产 2.740 0.37%
　　1813 合景泰富 4.880 -1.21%

