今日上市公司业绩公布备忘录
　　新浪财经讯 08月27日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00007 高信集团 中期业绩
　　00009 中国东方实业 中期业绩
　　00053 国浩集团 末期业绩
　　00056 联合地产(香港) 中期业绩
　　00079 世纪建业 中期业绩
　　00085 中国电子 中期业绩
　　00110 中国长远 中期业绩
　　00111 信达国际控股 中期业绩
　　00115 钧濠集团 中期业绩
　　00117 宇阳控股 中期业绩
　　00141 大中华集团 中期业绩
　　00146 太平地毡 中期业绩
　　00162 中国金展 中期业绩
　　00166 新时代能源 中期业绩
　　00170 中国资本 中期业绩
　　00171 银建国际 中期业绩
　　00174 奇盛(集团) 中期业绩
　　00205 财讯传媒 中期业绩
　　00222 闽信集团 中期业绩
　　00227 第一上海 中期业绩
　　00236 香港生力啤 中期业绩
　　00239 白花油 中期业绩
　　00246 瑞金矿业 中期业绩
　　00250 中国数码信息 中期业绩
　　00281 川河集团 中期业绩
　　00289 永安国际 中期业绩
　　00299 中讯软件 中期业绩
　　00319 勤美达国际 中期业绩
　　00337 盛高置地 中期业绩
　　00338 上海石油化工股份 中期业绩
　　00339 安利时投资 中期业绩
　　00352 富阳 中期业绩
　　00366 陆氏集团(越南) 中期业绩
　　00369 永泰地产 中期业绩
　　00373 联合集团 中期业绩
　　00378 事安集团 中期业绩
　　00379 必美宜 中期业绩
　　0038 建联集团 中期业绩
　　00389 通天酒业 中期业绩
　　00418 方正控股 中期业绩
　　00431 大中华实业 中期业绩
　　00445 中国消防 中期业绩
　　00471 中播控股 中期业绩
　　00487 实德环球 中期业绩
　　00489 东风集团股份 中期业绩
　　00509 世纪阳光 中期业绩
　　00519 实力建业 末期业绩
　　00524 E-KONG GROUP 中期业绩
　　00528 金达控股 中期业绩
　　00554 汉思能源 中期业绩
　　00566 铂阳太阳能 中期业绩
　　00571 丰德丽控股 中期业绩
　　0057 合动能源 中期业绩
　　00582 嘉辉化工 中期业绩
　　00600 中国基建投资 中期业绩
　　00609 天德化工 中期业绩
　　00618 方正数码 中期业绩
　　00632 东方明珠创业 中期业绩
　　00635 彩星集团 中期业绩
　　00643 恒富控股 中期业绩
　　00648 中国仁济医疗 中期业绩
　　00651 中海船舶 中期业绩
　　00661 中国大冶有色金属 中期业绩
　　00670 中国东方航空股份 中期业绩
　　00675 坚宝国际 中期业绩
　　0067 亚洲联网科技 中期业绩
　　00680 南海控股 中期业绩
　　00686 太益控股 中期业绩
　　00692 正兴 中期业绩
　　00696 中国民航信息网络 中期业绩
　　00704 和嘉资源 中期业绩
　　00754 合生创展集团 中期业绩
　　00771 自动系统 第一季业绩
　　00822 嘉瑞国际 中期业绩
　　00837 谭木匠 中期业绩
　　00866 中国秦发 中期业绩
　　00869 彩星玩具 中期业绩
　　00872 锦恒汽车安全 中期业绩
　　00874 广州药业股份 中期业绩
　　00882 天津发展 中期业绩
　　00921 海信科龙 中期业绩
　　00963 华熙生物科技 中期业绩
　　00969 华联国际 中期业绩
　　00976 齐合天地 中期业绩
　　00979 绿色能源科技集团 中期业绩
　　00981 中芯国际 中期业绩
　　00988 楼东俊安资源 中期业绩
　　01036 南联地产控股 中期业绩
　　01043 光宇国际集团科技 中期业绩
　　01058 粤海制革 中期业绩
　　01088 中国神华 中期业绩
　　01094 中国公共采购 中期业绩
　　01108 洛阳玻璃股份 中期业绩
　　01109 华润置地 中期业绩
　　01126 德林国际 中期业绩
　　01155 星辰通信 中期业绩
　　01188 正道集团 中期业绩
　　01189 珀丽酒店 中期业绩
　　01203 广南(集团) 中期业绩
　　01205 中信资源 中期业绩
　　01215 开源控股 中期业绩
　　01225 隆成集团 中期业绩
　　01228 奇峰国际 中期业绩
　　01288 农业银行 中期业绩
　　01823 华昱高速 中期业绩
　　01838 CHINAPROPERTIES 中期业绩
　　01868 真明丽 中期业绩
　　02006 锦江酒店 中期业绩
　　02009 金隅股份 中期业绩
　　02228 海东青新材料 中期业绩
　　02348 东瑞制药 中期业绩
　　02349 水务地产集团 中期业绩
　　02355 宝业集团 中期业绩
　　02362 澳门投资控股 中期业绩
　　02379 中天国际 中期业绩
　　02601 中国太保 中期业绩
　　03330 灵宝黄金 中期业绩
　　03331 维达国际 中期业绩
　　03337 安东油田服务 中期业绩
　　03808 中国重汽 中期业绩
　　03928 郑州燃气 中期业绩

