牛熊证精选
　　法兴
　　编号 相关资产 行使价 收回价 到期日 股证价格($) 溢价(%) 杠杆(x) 变动一个 价位要求*
　　61876 恒指 (牛) 11,800 12,600 28/08/2009 0.182 3.3 6.2 12点
　　61678 恒指 (牛) 11,500 12,300 28/08/2009 0.154 2.0 5.9 15点
　　61680 恒指 (熊) 14,800 14,000 30/07/2009 0.188 1.8 9.0 8点
　　61607 恒指 (熊) 15,400 14,600 28/08/2009 0.188 2.9 6.0 12点
　　61872 国寿 (牛) 18 19.5 31/08/2009 0.590 2.6 3.9 0.1元
　　61292 国寿 (熊) 28.5 26.5 29/06/2009 0.590 3.0 3.9 0.1元
　　61875 A50 (牛) 7.7 8.5 31/08/2009 0.255 2.6 3.9 0.05元
　　32245 A50 (熊) 11.5 10.7 24/04/2009 0.160 0.9 6.2 0.01元
　　61743 汇丰 (牛) 48 54 24/08/2009 0.127 1.3 4.7 0.1元
　　61764 汇丰 (熊) 74 68 24/08/2009 0.175 5.8 3.4 0.1元
　　60979 港交所 (牛) 54 60 27/07/2009 0.152 1.8 4.5 0.1元
　　61722 港交所 (熊) 85 78 29/09/2009 0.201 4.6 3.4 0.1元
　　60263 建行 (牛) 2.6 3.1 05/05/2009 0.161 2.7 2.5 0.01元
　　61382 建行 (熊) 5.4 4.8 29/06/2009 0.145 3.7 2.8 0.01元
　　60268 工行 (牛) 2.2 2.7 26/05/2009 0.146 2.5 2.4 0.01元
　　61635 工行 (熊) 4.8 4.3 27/07/2009 0.135 3.4 2.6 0.01元
　　60663 中行 (牛) 1.4 1.7 27/07/2009 0.076 2.4 2.8 0.01元
　　61173 中行 (熊) 3.4 3 27/07/2009 0.148 9.0 1.4 0.01元
　　61873 招行 (牛) 9 10.8 31/08/2009 0.485 3.1 2.8 0.05元
　　60569 国信 (牛) 1.8 2.3 30/06/2009 0.107 2.1 2.6 0.01元
　　60573 国信 (熊) 4 3.5 30/06/2009 0.132 4.6 2.1 0.01元
　　60784 中移 (牛) 59 65 27/07/2009 0.168 1.7 4.4 0.1元
　　61574 中移 (熊) 90 83 29/09/2009 0.174 2.6 4.3 0.1元
　　60571 中石油 (牛) 4 4.8 27/07/2009 0.255 2.3 2.5 0.05元
　　61719 中石油 (熊) 8.1 7.4 05/10/2009 0.199 4.5 3.2 0.01元
　　60598 中石化 (牛) 3.1 3.7 30/06/2009 0.139 2.0 3.2 0.01元
　　60774 中石化 (熊) 6.4 5.8 30/06/2009 0.224 5.5 2.0 0.01元
　　60977 中海油 (牛) 4.9 5.5 24/07/2009 0.265 3.0 2.8 0.05元
　　61636 中海油 (熊) 9 8 24/07/2009 0.183 2.2 4.0 0.01元
　　61181 平保 (牛) 23.9 28.9 27/07/2009 0.144 2.8 2.6 0.1元
　　61182 平保 (熊) 51 45 27/07/2009 0.150 3.4 2.5 0.1元
　　61379 中煤 (牛) 4 4.6 31/08/2009 0.239 4.9 2.5 0.01元
　　61385 神华 (牛) 11.5 13.5 30/06/2009 0.720 3.9 2.5 0.1元

