窝轮精选(2.17)
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　15620 恒指 (购) 13,400 27/05/2009 4.7
　　16154 恒指 (沽) 13,400 30/07/2009 2.9
　　16146 国寿 (购) 28.88 21/09/2009 3.7
　　15839 国寿 (购) 29.28 24/08/2009 4.0
　　16142 A50 (购) 10.65 16/11/2009 2.9
　　16172 A50 (购) 9.88 28/08/2009 3.0
　　16185 中石油 (购) 6 30/11/2009 2.5
　　15863 中石化 (购) 5.61 02/11/2009 3.3
　　15678 中海油 (购) 6.3 21/12/2009 2.2
　　15696 建行 (购) 4.88 27/07/2009 4.4
　　15702 工行 (购) 4.08 06/07/2009 4.2
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　16130 工行 (购) 4.48 03/08/2009 4.5
　　16289 中行 (购) 2.57 20/08/2009 3.9
　　16144 中行 (购) 2.28 30/11/2009 2.9
　　16305# 招行 (购) 16.88 29/06/2009 2.96
　　16219 汇丰 (购) 60 09/10/2009 3.3
　　15818 中移 (购) 78.01 16/10/2009 3.2
　　15758 中移 (沽) 85.2 15/06/2009 2.8
　　15677 国信 (购) 3.2 27/07/2009 3.9
　　15795 铁建 (购) 12.39 19/10/2009 2.7
　　15836 新地 (购) 68.88 27/10/2009 2.9
　　15849 港铁 (购) 19.92 09/11/2009 3.5

