近日上市之牛熊证
　　代号 名称 正股代码 牛/熊 每手股数 行使价 回收价 上市日期
　　62450 恒指瑞银九十牛B HSI 牛证  10,000 11000 11800 16-03-2009
　　62451 恒指法巴九九熊Y HSI 熊证  10,000 12800 12000 16-03-2009
　　62452 中寿法巴九十熊C 02628 熊证  10,000 25.5 23 16-03-2009
　　62453 中移法巴九十熊C 00941 熊证  5,000 77 70 16-03-2009
　　62454 恒指瑞银九十熊L HSI 熊证  10,000 13700 12700 16-03-2009
　　62455 港交法巴九十熊E 00388 熊证  1,000 75 68 16-03-2009
　　62456 恒指德银九九牛N HSI 牛证  10,000 9600 10100 16-03-2009
　　62457 恒指德银九九牛G HSI 牛证  10,000 10000 10500 16-03-2009
　　62458 恒指德银九九牛C HSI 牛证  10,000 10800 11300 16-03-2009
　　62459 恒指德银九十熊H HSI 熊证  10,000 12800 12000 16-03-2009
　　62460 恒指德银九十熊R HSI 熊证  10,000 14000 13500 16-03-2009
　　62461 恒指瑞银九甲熊O HSI 熊证  10,000 13100 12100 16-03-2009
　　62462 恒指瑞银九甲熊U HSI 熊证  10,000 13300 12300 16-03-2009
　　62463 恒指比联九九牛U HSI 牛证  10,000 7800 8600 16-03-2009
　　62464 恒指比联九九牛M HSI 牛证  10,000 8200 9000 16-03-2009
　　62465 恒指法巴九乙熊T HSI 熊证  10,000 12600 11800 16-03-2009
　　62466 恒指比联九八熊O HSI 熊证  10,000 12200 11400 16-03-2009
　　62467 恒指比联九十熊T HSI 熊证  10,000 12500 11700 16-03-2009
　　62468 恒指比联九十熊U HSI 熊证  10,000 12700 11900 16-03-2009
　　62469 恒指比联九九熊O HSI 熊证  10,000 12300 11500 16-03-2009
　　62470 中移德银九八牛B 00941 牛证  50,000 43.68 49.68 16-03-2009
　　62471 恒指德银九十牛Q HSI 牛证  10,000 8800 9600 16-03-2009
　　62472 恒指德银九九熊E HSI 熊证  10,000 12000 11500 16-03-2009
　　62473 恒指德银九十熊T HSI 熊证  10,000 12200 11400 16-03-2009
　　62474 中移德银九八熊C 00941 熊证  50,000 77.68 71.68 16-03-2009
　　62475 恒指德银九十熊O HSI 熊证  10,000 12600 11800 16-03-2009
　　62476 恒指瑞银九十熊E HSI 熊证  10,000 12500 11500 16-03-2009
　　62477 恒指瑞银九甲熊E HSI 熊证  10,000 12200 11400 16-03-2009
　　62478 恒指瑞银九甲熊F HSI 熊证  10,000 12500 11700 16-03-2009
　　62479 恒指瑞银九甲熊L HSI 熊证  10,000 12700 11900 16-03-2009
　　62480 恒指瑞银九甲熊Y HSI 熊证  10,000 13000 12000 16-03-2009
　　62481 恒指高盛九甲牛A HSI 牛证  10,000 8200 8800 16-03-2009
　　62482 恒指高盛九甲牛B HSI 牛证  10,000 9200 9800 16-03-2009
　　62483 恒指荷银九八牛K HSI 牛证  10,000 9000 9800 16-03-2009
　　62484 恒指荷银九八牛L HSI 牛证  10,000 9500 10300 16-03-2009
　　62485 恒指荷银九八牛M HSI 牛证  10,000 9800 10600 16-03-2009
　　62486 恒指高盛九甲熊C HSI 熊证  10,000 13400 12800 16-03-2009
　　62487 恒指高盛九甲熊D HSI 熊证  10,000 14400 13800 16-03-2009
　　62488 恒指荷银九八熊N HSI 熊证  10,000 12500 11700 16-03-2009
　　62489 恒指荷银九八熊O HSI 熊证  10,000 12800 12000 16-03-2009
　　62490 杜工荷银九九牛C DJI 牛证  10,000 5000 5500 17-03-2009
　　62491 杜工荷银九九牛D DJI 牛证  10,000 5400 5900 17-03-2009
　　62492 恒指麦银九九牛E HSI 牛证  10,000 9200 10000 17-03-2009
　　62493 恒指麦银九乙牛B HSI 牛证  10,000 10600 11400 17-03-2009
　　62494 恒指法兴九八牛V HSI 牛证  10,000 9200 10000 17-03-2009
　　62495 恒指法兴九九牛K HSI 牛证  10,000 9000 9800 17-03-2009
　　62496 恒指麦银九九熊F HSI 熊证  10,000 13400 12600 17-03-2009
　　62497 恒指法兴九九牛L HSI 牛证  10,000 9400 10200 17-03-2009
　　62498 恒指法兴九八熊T HSI 熊证  10,000 12700 11900 17-03-2009
　　62499 恒指法兴九八熊R HSI 熊证  10,000 13100 12300 17-03-2009
