恒指随外围急升逾2% 留意熊62622牛62637 
　　受外围急升支持，恒指早段高开近330点，但其后升幅收窄，于13,600至13,650点附近上落。下午开市后恒指升幅再度扩大，直至下午14:35，恒指上升约316点，报13,764点，上升约2.4%。成交上，恒指相关窝轮及牛熊证占约51.2%之相关成交比重。
　　高杠杆恒指牛熊证选择(收回价与现货价距离500点)，可留意：
　　恒指熊证62621/收回价14,100点/行使价14,600点/11月到期(较贴价选择)
　　恒指熊证62622/收回价14,500点/行使价15,000点/11月到期
　　恒指熊证62638/收回价14,900点/行使价15,400点/9月到期
　　恒指牛证62637/收回价12,900点/行使价12,400点/9月到期(较贴价选择)
　　恒指牛证62721/收回价12,700点/行使价12,200点/10月到期
　　恒指牛证62617/收回价12,500点/行使价12,000点/11月到期
　　恒指牛证62600/收回价12,300点/行使价11,800点/11月到期
　　其他恒指牛熊证选择，可留意：
　　恒指熊证61628/收回价14,200点/行使价15,000点/10月到期
　　恒指熊证61601/收回价14,400点/行使价15,200点/10月到期
　　恒指熊证61553/收回价14,600点/行使价15,400点/10月到期
　　恒指牛证62636/收回价12,600点/行使价11,800点/9月到期
　　恒指牛证62615/收回价12,200点/行使价11,400点/11月到期
　　恒指牛证62598/收回价12,000点/行使价11,200点/11月到期

