陈兴强：大盘超预期强势

　　陈兴强
　　受获利回吐压力以及不尽如人意的经济数据影响，昨天到今天从欧美到亚洲股市都出现大幅度调整，相比较外围股市，沪深A股强势已经超出预期。对今天股指强势贡献较大的是金融股和近期持续调整的有色金属、石油煤炭等资源股。同时受近期钢铁价格持续上涨已经铁矿石价格谈判有希望突破等消息影响，钢铁板块也整体表现抢眼。
　　短期内外围股市以及IPO重启的进程将对股市涨跌起到直接的影响，但是两者都不会对股市的中期趋势产生严重影响。首先是外围股市在经历短期剧烈波动之后，还是有希望出现稳定上涨的局面；其次市场的反复震荡有利于消化IPO重启带来的压力，对市场更重要的影响不是IPO重启，而是重启之后的新股发行力度。
　　透露，已过会中小板IPO企业在封卷材料准备和新发行方案上板方面，都已经跑在大盘股前面。一些早已过会的中小板拟上市公司，基本上都已经得到了证监会的通知，要求递交最后封卷材料，包括向证监会上报新发行方案。上述材料的准备时间约为一周。
　　此次IPO重启后第一单上市企业如果选择中小板股，则明显体现了管理层的谨慎态度，而今天中小板指数逆势飘红，或者就是对首单花落中小板的期待。如果中小板指数能够在IPO重启之际，结束长达近2个月的横盘整理，实现突破性走势，对后面主板市场恢复IPO也是重大的士气鼓舞。
　　从目前的市场走势看，这一可能性是完全存在的。
　　始于07年10月的百万稳健模拟盘基金，目前持股待涨。
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     90%           19.3
　　中天科技      02.03     9.75(摊薄)      10000     70%           16.4
　　南京银行      04.03     12.3元(摊薄)    20000     22%           15.3
　　中航地产      04.03     9.5元 (摊薄)    20000     40%           12.2
　　航天晨光      04.15     8.3               20000      4%            8.6
　　安源股份      04.16     6.9元             20000     60%           10.3
　　深圳华强      05.11     7.4               20000     30%            9.8
　　西宁特钢      06.11     8.3               20000     -2%               8.2
　　帐户总额：205.46万       现金：40.96万元    持股市值：164.5万 收益情况： 105.46%

