陈兴强：千金难买牛回头

　　陈兴强
　　早市股指进一步冲高之后调整压力开始显示，首先是近期涨幅较大的汽车、钢铁、有色金属以及石油煤炭股出现持续调整卖压，而前期调整的地产、银行、券商等板块的上攻无法引起市场的共鸣。最终市场在2点开始出现连续跳水，最终以中阴线报收。热点板块仅剩券商、保险收出红盘。
　　调整对于牛市来说是必不可少的减震器，牛市因为上涨途中不断的调整而延长其生命周期。今天的调整与此前的市场调整并没有什么不同，根本的原因都是由于短期内累积的获利盘压力，导致市场出现短暂、急剧的调整。同时中国建筑发行在即，逢高清仓申购的操作模式更加剧了市场的调整压力。这样的调整在可以称为千金难买牛回头，为在牛市里踏空的场外资金提供了极佳的买入机会。
　　我国上半年新增信贷7.37万亿元，这个数字超过了历史上任何一年投放的总量。不少声音认为这超万亿信贷资金进入了股市和房地产的市场，导致这两个市场的虚热。国家统计局总经济师姚景源认为这个说法没有证据，国家也不没必要出台相关政策进行防范。
　　“目前没有一个证据，说这七万三千七百亿进到股市和房地产上去，但不能否定有这个可能”，姚景源说。他表示上半年GDP增长了7.1%，就实体经济来看，是有一定的支撑因素的。也有信心的因素，老百姓都比较看好未来。另外在资本市场上，有投机因素也是正常的。
　　所以，他认为国家没必要讨论出台什么政策加以防范，当前最主要的还是保持政策的连续性和稳定性，继续坚持积极的财政政策和适度宽松的货币政策。“目前经济形势就像我们开车走上坡路一样，正处于爬坡阶段，不能松油门，否则的话，就会掉下来。”
　　相信国家统计局总经济师姚景源的观点在管理层里有一定的代表性，因此短期内没有必要对政策过度敏感，投资者目前依然是持股或者选择潜力板块个股积极介入。
　　从地产、银行今天的表现来看，似乎有企稳迹象，能否真正企稳仍待观察，但从中线角度来说，这两大板块可能是引领下波反弹的主要权重板块，因此建议继续低吸。综合来看，在市场大的格局没有发生明显改变前，板块依然保持轮动特点，应该是谁涨得多谁就休整，相反，休整时间长就越可能上涨。因此，对看好的品种应该越跌越买。
　　始于07年10月的百万稳健模拟盘基金，目前持股待涨，按照上一交易日计划，以10.5元买入20000股东方创业。(为方便统计，其收盘价最后数字以四舍五入处理。)
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     120%           22.1
　　中天科技      02.03     9.75(摊薄)      10000     110%           19.2
　　南京银行      04.03     12.3元(摊薄)    20000     65%           19.6
　　中航地产      04.03     9.5元 (摊薄)    20000     70%           16.3
　　航天晨光      04.15     8.3               20000      19%            9.9
　　安源股份      04.16     6.9元             20000     70%           11.5
　　深圳华强      05.11     7.4               20000     40%            9.8
　　西宁特钢      06.11     8.3               20000     50%             13.1
　　东方创业      07.17     10.5              20000     3%              10.8
　　帐户总额：243.26万       现金：19.96万元    持股市值：223.3万 收益情况： 143.26%

