创业板公司22高管资产超10亿 68位高管超亿元
　　本报记者 夏 芳
　　马上迎来上市公司年报收官的日子了，这也预示着上市公司对09年的业绩披露报告基本结束。70家创业板公司，从2010年1月26日同花顺第一家发布09年年报至今已经有58家公司交出了09年的答卷。盘点创业板公司09年的辉煌，公司的高成长性在被高度关注的同时，股东们的收益同样也被投资者所关注，被称为造富工具的创业板究竟造就出多少个亿万富翁，证券日报统计中发现，截止到4月27日，账面财富超过10亿元以上的高管有22个，账面财富在1亿元-10亿元的高管有68个。其中，万邦达的王飘扬成为创业板中的首富。
　　前5名公司高管身价超25亿元
　　在已经披露09年报的58家创业板公司中，高管账面财富排在前5名的分别是：万邦达(300055)的王飘扬、乐普医疗(300003)的蒲忠杰和华谊兄弟(300027)的王忠军、东方财富(300059)的沈军、世纪鼎利(300050)的叶滨。他们的账面财富分别为34.6亿元、34.5亿元、28.2亿元、27.9亿元、25.1亿元。
　　万邦达(300055)主要从事煤化工、石油化工、电力等下游行业大型项目提供工业水处理系统全方位、全寿命周期专业服务；对给水、排水、中水回用及水处理系统运营整体统筹等项目。其在2010年2月26日上市后，其股价从127.2元/股一路高歌，涨到历史高位149.9元/股。而作为控股股东的王凯龙、王飘扬家族也是收获丰满，作为董事长、总经理的王飘扬持有公司 2722.50万股股份，按照4月27日的收盘价计算，其王飘扬的账面财富达到了34.6亿元，成为发布09年报的创业板公司中的高管首富。
　　乐普医疗(300003)总经理、董事蒲忠杰持有公司6043.67万股股份，按照27日的收盘价57.16元/股计算，蒲忠杰的账面财富为34.5亿元；华谊兄弟(300027)的控股股东王忠军带领着华谊兄弟创造了传媒类上市公司的神话，而王忠军也因持有公司4,391万股股份，以27日的收盘价64.29元/股计算，王忠军的账面财富达到了28.2亿元。东方财富(300059)的沈军持有公司3925万股的股份，按照71.12 元/股的价格计算，沈军的账面财富为27.9亿元；而为电信运营商和电信设备供应商提供“一站式”的移动通信网的世纪鼎利(300050)，其股价曾经冲至159.95元，成为A股市场上的第一高价股，作为董事的叶滨，虽然才拥有公司1800万股的股份，因世纪鼎利139.68元/股的高股价，让叶滨成以25.1亿元的身价挤进前5甲。
　　68位高管资产超亿元
　　在68个亿元富翁榜中，同花顺高管有4位，其中同花顺控股股东和实际控制人易峥持有公司2419.20万股，按照4月27日的收盘价44.80元/股计算，易峥的账面财富为10.8亿元；公司副总经理叶琼玖持有公司806.4万股，其账面财富为3.6亿元；董事、技术总监、总工程师的王进和于浩淼分别持有403.20万股，账面财富均为1.8亿元。另外，同花顺公布2010年一季报，基本每股收益0.18元，稀释每股收益0.18元，营业收入5209万元，归属于母公司所有者净利润2483万元，归属于母公司股东权益101.8亿元。
　　亿纬锂能(300014)出现在亿元富翁榜中以夫妇出现，亿纬锂能实际控制人骆锦红、刘金成夫妇持有2284.43万股股份，刘金成与骆锦红夫妇持有2475万股股份，按照收盘价37.22元/股计算，他们的账面财富分别是9.2亿元和8.5亿元。
　　中元华电(300018)也有3位高管身价亿元以上。作为控股股东刘屹持有公司股份450万股，按照收盘价26.08元/股计算，其账面财富为1.1亿元；董事长邓志刚持有公司股票585万股，账面财富为1.5亿元；总经理、董事王永业持有450万股股份，账面财富1.1亿元。
　　福瑞股份(300049)控股股东王冠一持有739.13万股，按照收盘价37.17元计算，其账面财富为2.7亿元。实际控制人熊建明持有控股股东深圳市邦林科技发展有限公司85%的股份，计3642.25万股，按照收盘价37.17元/股计算，熊建明账面财富为13.5亿元。副董事长李北红408万股股份，1.5亿元。
　　中元华电(300018)控股股东刘屹持有公司股份450万股，按照收盘价26.08元/股计算，其账面财富为1.1亿元；董事长邓志刚持有公司股票585万股，账面财富为1.5亿元；总经理、董事王永业持有450万股股份，账面财富1.1亿元。
　　在发布年报的58家创业板公司中，他们大多数也发布了2010年1季报，大部分公司的业绩是预增的，在高成长的背景和资本市场的炒作下，在源源不断的创业板上市的热潮下，还有多少亿万富翁浮出水面，将会给投资者更多的期待。
　　58家创业板公司高管资产一览表
　　简称 高管 持股数 股价 合计
　　(万股) (截止4月27日) (万元)
　　万邦达 王飘扬 2,723 127.40 346,847
　　乐普医疗 蒲忠杰 6,044 57.16 345,456
　　华谊兄弟 王忠军 4,391 64.29 282,285
　　东方财富 沈军 3,925 71.12 279,151
　　世纪鼎利 叶滨 1,800 139.68 251,424
　　爱尔眼科 陈邦 6,545 37.61 246,142
　　万顺股份 杜成城 10,800 20.42 220,536
　　鼎汉技术 顾庆伟 2,457 78.20 192,109
　　大禹节水 王栋 3,676 38.75 142,429
　　福瑞股份 熊建明 3,642 37.17 135,382
　　特锐德 于德翔 3,848 35.10 135,054
　　金龙机电 金绍平 5,739 23.29 133,654
　　神州泰岳 王宁 1,761 71.29 125,540
　　世纪鼎利 王耘 800.00 139.68 111,744
　　上海凯宝 穆来安 3,300 33.76 111,408
　　红日药业 姚小青 980 111.97 109,775
　　同花顺 易峥 2,419 44.80 108,380
　　合康变频 叶进吾 2,070 50.80 105,156
　　合康变频 刘锦成 2,070 50.80 105,156
　　三五互联 龚少晖 2,425 43.09 104,497
　　安科生物 宋礼华 2,605 38.90 101,331
　　探路者 盛发强 2,129 47.43 100,955
　　立思辰 池燕明 3,146 30.42 95,701
　　金亚科技 周旭辉 4,000 23.35 93,391
　　亿纬锂能 　刘金成与骆锦红夫妇 2,475 37.22 92,120
　　宝德股份 赵敏 3,060 29.97 91,708
　　中青宝 李瑞杰、张云霞 2,550 35.87 91,469
　　鼎龙股份 朱双全 1,395 64.70 90,257
　　鼎龙股份 朱顺全 1,395 64.70 90,257
　　华谊兄弟 王忠磊 1,390 64.29 89,337
　　南风股份 杨子江 2,053 43.41 89,135
　　星辉车模 陈雁升 2,059 41.99 86,466
　　亿纬锂能 骆锦红刘金成夫妇 2,284 37.22 85,026
　　梅泰诺 张敏 3,285 25.61 84,129
　　吉峰农机 王新明 1,248 65.35 81,578
　　新宙邦 覃九三 1,781 45.76 81,510
　　网宿科技 刘成彦 2,361 33.45 78,959
　　银江股份 王辉、刘健 1,561 49.59 77,405
　　南风股份 杨子善 1,675 43.41 72,704
　　南风股份 杨子江 1604.81 43.41 69,665
　　九洲电气 李寅 1,500 45.16 67,740
　　欧比特 龚少晖 2,425 25.55 61,959
　　回天胶业 章锋 1,256 48.85 61,379
　　赛为智能 周勇 1,877 31.99 60,034
　　莱美药业 邱宇 2,064 28.06 57,913
　　三维丝 罗红花 1,382 41.30 57,082
　　天龙光电 冯金生 2,521 21.73 54,776
　　阳普医疗 邓冠华 1,720 31.35 53,928
　　吉峰农机 王红艳 821 65.35 53,649
　　华测检测 万里鹏 1,586 33.48 53,096
　　华星创业 程小彦 888 59.29 52,650
　　华力创通 高小离 1,505 34.80 52,359
　　九洲电气 赵晓红 1,145 45.16 51,708
　　星辉车模 陈冬琼 1,217 41.99 51,114
　　新宁物流 杨奕明 1,818 27.95 50,813
　　上海佳豪 刘楠 1,735 28.50 49,448
　　天源迪科 陈友 1,538 31.96 49,151
　　硅宝科技 王跃林 1,026 47.24 48,468
　　新宙邦 周达文 1,330 36.12 48,039
　　北陆药业 王代雪 1,435 32.62 46,798
　　超图软件 钟耳顺 1,268 36.12 45,815
　　探路者 王静 955 47.43 45,299
　　硅宝科技 王有治 941 47.24 44,429
　　朗科科技 邓国顺 1,103 39.72 43,792
　　华力创通 王琦 1,250 34.80 43,517
　　汉威电子 钟超 1,585 26.61 42,188
　　宝通带业 包志方 1,551 26.80 41,574
　　中科电气 余新 1,060 39.20 41,552
　　华测检测 万峰 1,194 33.48 39,959
　　天源迪科 吴志东 1,217 31.96 38,889
　　台基股份 邢雁 1,053 36.16 38,091
　　蓝色光标 赵文权 783 47.20 36,958
　　硅宝科技 郭弟民 770 47.24 36,351
　　蓝色光标 孙陶然 770 47.20 36,344
　　同花顺 叶琼玖 806 44.80 36,127
　　金龙机电 金美欧 1,538 23.29 35,820
　　蓝色光标 许志平 734 47.20 34,645
　　三维丝 丘国强 836 41.30 34,527
　　天源迪科 陈鲁康 1,048 31.96 33,488
