7月13日美股专家坐堂实录
    7月13日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　网友[匿名]问： 高老师，您好！ 600489是否已调整到位？短期的支撑和压力位在哪？谢谢！谢谢！谢谢！！！(2009-07-13 15:51:01)　　专家[aries高]答： 短期黄金股面料压力(2009-07-13 15:51:01)
　　网友[匿名]问： 我是刚学买股票，不在的买什么股票比较稳一点。(2009-07-13 19:35:45)　　专家[aries高]答： 美股还是A股？一般而言都选择流动性好的大盘股比较稳当(2009-07-13 19:35:45)
　　网友[匿名]问： 老师你好，BAC这支股票现在可以适当介入吗 谢谢 (2009-07-13 20:09:51)　　专家[aries高]答： BAC近期随大盘有一定跌幅，但是跌幅有限，长期看BAC在银行类个股中还是有一定投资价值，但是目前大盘的头肩顶形态已经形成，所以暂时还是观望为好，个人想法。(2009-07-13 20:09:51)
　　网友[匿名]问： 老师你好，ERY这支股票27.3买入，还可以短期持有吗 谢谢 (2009-07-13 20:15:52)　　专家[aries高]答： 25.0是不错的支撑，其走势有些头肩底的意思，只要股价维持在25.0上方，那么短期持还是可以的。(2009-07-13 20:15:52)
　　网友[匿名]问： 高老师您好，请问SNDA55$成本，后期如何操作，请指导。谢谢！(2009-07-13 20:16:40)　　专家[aries高]答： SNDA近期支撑50.0，走势呈现下降三角形，如果50.0支撑跌破，那么下跌风险将加大。(2009-07-13 20:16:40)
　　网友[匿名]问： 高老大，能否帮我分析下600303与600271,周五空仓了，想在适当的时候进点~~~~~~~~谢谢(2009-07-13 20:18:36)　　专家[aries高]答： 600303在10.3附近有一定的压力，如果能够有效突破，后势有望继续走高。 600271转股后基本维持横盘震荡，不妨继续观望。(2009-07-13 20:18:36)
　　网友[匿名]问： 老师你好，GE这支股票10.85卖空，后市应如何操作呢 谢谢 (2009-07-13 20:21:33)　　专家[aries高]答： GE盘钱小幅高开，但是大盘回调仍然没有结束，不妨持有继续观察，压力11.5(2009-07-13 20:21:33)
　　网友[匿名]问： 老师你好！请问601111后期走势如何？谢谢！！(2009-07-13 20:26:22)　　专家[aries高]答： 601111冲高回落，支撑7.40附近，我一贯的建议是不建议追高，回调至不错的支撑附近再买入。(2009-07-13 20:26:22)
　　网友[匿名]问： 老师你好：花期银行走势如何，支撑位是多少？(2009-07-13 20:36:03)　　专家[aries高]答： 近几个交易走势略有企稳，近期支撑2.6附近，如果喜欢银行类股，不妨考虑BAC等，C的走势相对弱于其他银行类个股，个人愚见。(2009-07-13 20:36:03)
　　网友[匿名]问： how about c hold or sell Tks(2009-07-13 20:38:06)　　专家[aries高]答： 参考刚才给的回答吧。(2009-07-13 20:38:06)
　　网友[匿名]问： 老师你好：花期银行我2.80买进，现在套了，支撑位是多少，什么时候可以补一点(2009-07-13 20:39:12)　　专家[aries高]答： 支撑2.6附近，压力3.0附近。2.8的入场家相信解套机会很大，我还是坚持我的想法，C的走势若有其他银行类个股，金融类板块走势会弱于其他类板块。(2009-07-13 20:39:12)
　　网友[匿名]问： MR高，帮忙看看中金黄金，都亏了五个点了，看看以后走势如何啊？谢谢 (2009-07-13 20:40:32)　　专家[aries高]答： 中金黄金的走势，主要是因为国际金价的下挫，但是未来黄金走势依然值得期待，未来经济复苏后的主题必然会回到防通胀上面，但是近期肯定会继续承压。(2009-07-13 20:40:32)
　　网友[匿名]问： 高老师，帮忙看看600246万通地产，这两天都是低开，走高最后走低！被套3个点，怎么操作啊？ 老师您觉得地产股会不会进入大调整啊？(2009-07-13 20:40:54)　　专家[aries高]答： 个人认为大盘近期可能会在3000点附近震荡，600246近期在12.95位置有很大的压力，大的调整可能不会出现，个人愚见。(2009-07-13 20:40:54)
　　网友[匿名]问： 高老师您好：今天有些“懒惰”啊！回答问题有点少了呀？请问川投能源、方大碳素、重庆钢铁的短期走势？压力位分别是多少？还可以持有吗？(2009-07-13 20:42:16)　　专家[aries高]答： 川投能源关键支撑18.30附近，压力关注趋势线压力。其他呆会给你，呵呵(2009-07-13 20:42:16)
　　网友[匿名]问： 请问专家nyx现价有长期投资价值吗(2009-07-13 20:43:05)　　专家[aries高]答： 近期支撑24.0，压力26.0，目前趋势仍然在下行趋势当中。(2009-07-13 20:43:05)
　　网友[匿名]问： 老师，请问我持有的DAN在经过上周五的大涨后，应该出局还是继续持有，目前价格盈利。谢谢(2009-07-13 20:48:26)　　专家[aries高]答： 这类低价股通常不不好拿捏，走势受消息面影响很大，获利了结也是不错的选择之一。(2009-07-13 20:48:26)
　　网友[匿名]问： aries：Amd和Mu可以买吗(2009-07-13 20:57:16)　　专家[aries高]答： AMD短期支撑一次为3.4和3.2，鉴于大盘大盘下跌风险依然很大，不妨依托支撑做些短线交易，等大盘止跌后再介入。(2009-07-13 20:57:16)
　　网友[匿名]问： 伟大的高老师：000683后市如何走，券商股因为IPO重启按理来说应该有所表现，今天怎么跌了？((2009-07-13 21:07:20)　　专家[aries高]答： 别这样说，我会有压力的。股市炒的就是个预期，IPO没开始前，券商类猛涨了一段时间，等到IPO开始了，炒作也就结束了。000683短期做高，但是日线有点头肩顶的意思，谨慎为好。(2009-07-13 21:07:20)
　　网友[匿名]问： morning! i buy UAUA@3.45.can I hold or sell!thanks!(2009-07-13 21:08:18)　　专家[aries高]答： 近期横盘整理中，不妨持有观望，近期压力3.5附近。(2009-07-13 21:08:18)
　　网友[匿名]问： aries高：ndaq30元买进，可以持有压力位是多小(2009-07-13 21:13:25)　　专家[aries高]答： 近期走出一下小的下行通道，目前股价接近通道下方趋势线支撑，短线有望反弹，但是30.0的买入价应该是08年介入的，那么不妨长期持有。熊市的时候你一直呆在市场当中，那么为什么不等牛市的时候你依然在呢？个人愚见。(2009-07-13 21:13:25)
　　网友[匿名]问： cit group会倒闭吗？(2009-07-13 21:16:26)　　专家[aries高]答： 我想美国政府不会让它倒闭吧，不过走势个人并不看好。(2009-07-13 21:16:26)
　　网友[匿名]问： HI!MR GAO: how about HBAN? thanks!(2009-07-13 21:22:28)　　专家[aries高]答： 短期支撑4.0附近，压力4.75附近。(2009-07-13 21:22:28)
　　网友[匿名]问： NSDQ的股票和NYSE的股票有什么不同？我想开始做NSDQ的股票，应该注意什么？谢谢(2009-07-13 21:22:28)　　专家[aries高]答： 纽交所多是大盘蓝筹较多，范围也广泛，选择性比较多，纳斯达克市场以科技类股为主。(2009-07-13 21:22:28)
　　网友[匿名]问： Aries高先生抽空看下000533还可以持有吗谢谢Aries高先生抽空看下000533还可以持有吗谢谢Aries高先生抽空看下000533还可以持有吗谢谢Aries高先生抽空看下000533还可以持有吗谢谢(2009-07-13 21:32:04)　　专家[aries高]答： 000533突破近期压力创新高，中期压力8.5附近，不妨继续持有观望。时间有限不能回答大家所有问题请谅解，明天见。答疑时间20：00-21：30。(2009-07-13 21:32:04)

