9月22日美股专家坐堂实录
　　9月22日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问： CHK怎么买 (2009-09-22 04:11:35)　　专家[aries高]答： CHK支撑25.0附近，如果不跌破该支撑就继续看涨。(2009-09-22 21:46:07)
　　匿名问：Aries高，etfc这两天涨不少，可以进些吗？谢谢！!(2009-09-22 20:59:07)　　专家[aries高]答： ETFC个人觉得追高并不划算，每次暴跌后都是很好的介入机会。(2009-09-22 21:48:09)
　　匿名问： 高老师，新浪搞的这个新版面很难看啊，看的都有点头晕了！希望您跟他们说说弄好点，以前的不错啊，为什么要改？(2009-09-22 21:03:32)　　专家[aries高]答： 新浪网友大家好。我会提建议的。(2009-09-22 21:35:12)
　　匿名问： 高老师 ，今天盘前花旗破了4.55的压力，您认为后市如何呢？ 还有AIG昨天和今天盘前涨的很高，后市您怎么看呢？(2009-09-22 21:05:26)　　专家[aries高]答： C 突破趋势线压力，短期看涨。每次大家都问道AIG，给我很大压力，呵呵。我仍然不看好，觉得价格还是高，但是昨天盘中AIG出现利好消息，出现暴涨，我的建议是没买到就算了，也犯不著去追。(2009-09-22 21:44:35)
　　匿名问： c 可以买了吗？ (2009-09-22 21:11:44)　　专家[aries高]答： C今天跳空突破短期趋势线压力，趋势看涨(2009-09-22 21:39:52)
　　匿名问： 这小孩啥也不懂，净瞎扯。(2009-09-22 21:24:56)　　专家[aries高]答： 谢谢指教，呵呵(2009-09-22 21:40:18)
　　匿名问： 高老师，请问BZH的压力点在哪？ 好像没有停止的向上。可否进呢？ 另外，ldk又怎样呢？ 谢谢(2009-09-22 21:31:07)　　专家[aries高]答： BZH近期放量连续走高，目前上行趋势还没有结束，这种情况个人不建议追。 LDK近期走势弱于其他太阳能类个股，近期比较不错的是JASO,STP,YGE(2009-09-22 22:54:03)
　　匿名问： 盛大游戏9/25登入纳斯达克，不知道股价会如何走势(2009-09-22 21:33:29)　　专家[aries高]答： 新股IPO后不妨等略微企稳后在做考虑，通常刚开始的时候炒作都比较厉害，容易暴涨暴跌(2009-09-22 21:37:27)
　　匿名问： 高老师，能否评价一下TCM?(2009-09-22 21:38:19)　　专家[aries高]答： TCM近期整理当中，关注放量机会，近期的交易量比价低(2009-09-22 21:52:20)
　　匿名问： 高老师你好。。请问下现在是不是买进 HEATHCARE 股票。。比如ATLH 如何。。(2009-09-22 21:44:10)　　专家[aries高]答： 我到觉得可以潜伏消费，零售等，这两个板块的反弹幅度均比较小，如果未来相关数据环比上升，那么会有不错的机会。(2009-09-22 21:53:48)
　　匿名问： AIG 可以买了吗？趋势看涨？(2009-09-22 21:44:36)　　专家[aries高]答： 前面刚回答了AIG的问题，参考下吧。(2009-09-22 21:44:58)
　　匿名问： 高老师帮我看一下，LVS可不可以现在买，长期持有个三五年，谢谢(2009-09-22 21:46:57)　　专家[aries高]答： LVS目前已经被市场接受，但是近期连续上扬后需要整理或者回调下来巩固前期的涨幅，如果长期持有，当然可以逢每次回调机会介入。(2009-09-22 22:08:09)
　　匿名问： 高老师您好！ 又盼到您坐堂了！ 请问下你怎么看aig?已经连续暴涨2天的情况下您是继续看好？(2009-09-22 21:47:23)　　专家[aries高]答： 我不看好，前面有了评论，参考下吧，逢高出货，逢低介入才是硬道理。(2009-09-22 21:49:08)
