5月27日美股专家坐堂实录
　　5月27日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	王老师，推断一下中长线，比如明年1月的美国期指如何？谢谢(2010-05-27 18:57:37)　　专家[warren王]答： 	我认为SPX期指在10-12月份会接近1200点附近，因为美国中期选举的关系，随后，我觉得会有继续波动向下的可能，欧洲和中国经济的发展，以及美国本身经济的情况，都值得大家关注。(2010-05-27 20:16:01)
　　匿名问： 	王老师，您好！非常感激您昨天对600536的指点(遗憾的是我已经买了)！昨天开盘半小时，就以17.3的平均价砍了8成仓位。老师能指点一下支撑和压力位吗？万分感激！！！(2010-05-27 20:03:59)　　专家[warren王]答： 	大家晚上好！21.89是第一个压力点，你可以参考下。(2010-05-27 20:11:51)
　　匿名问： 	王老师您好 请问600016昨天H股大涨 可A股怎就挺不起个来呢 你的信息渠道比我们畅通有什么消息吗 此股会怎样运行 烦劳您讲一讲 拜托(2010-05-27 20:15:54)　　专家[warren王]答： 	A股的银行股板块价值要低于H股，H股受美股影响大点，但是从A股的走势来看，也依然可能在形成突破形态，短期有继续走高的可能。(2010-05-27 20:21:09)
　　匿名问： 	王老师：您好！民生银行反弹第一天6.791卖掉，今天想把它买进来没敢买，您看明天能不能买进？谢谢！(2010-05-27 20:16:17)　　专家[warren王]答： 	你?考下我的?力位置，明天突破???力位置，如果大?氛?不?的?，是可能有?10%附近的?幅的。?在上?指?形成?肩底，?是60分的?，如果突破??的?，上?目?在2900?，如果美股大?能?保持的?，明天A股可能是大?行情。(2010-05-27 20:47:16)
　　匿名问： 	请问600016压力和支撑在那里呀 烦劳您讲一讲好吗(2010-05-27 20:17:36)　　专家[warren王]答： 	?股其?形?上很好，6.88突破后，?有一波升?，但是?於中???的不?定性，可以考??以短?交易?主。(2010-05-27 20:27:26)
　　匿名问： 	王老师晚上好，C应该怎么操作，我是4.08进的，请老师回答，谢谢！(2010-05-27 20:19:42)　　专家[warren王]答： 	这股昨天跳空高开，连续两天被券商升级，所以走势比较强，你的点位比较高，但是我觉得可以持有下，如果大盘继续涨，可以关注4.32的压力点，也就是200 天线的阻力点位。如果你是做短线的，要注意到了这个点位，会有较大的波动，也可以考虑先出来。(2010-05-27 20:23:46)
　　匿名问： 	王老师好！ 昨天少量买了002156(成本13.28)心里不踏实，请教短期支撑和压力是多少？谢谢！谢谢！谢谢！！(2010-05-27 20:26:18)　　专家[warren王]答： 	只要12.78不被跌破，我?得?是可能短期?及14?力?的，供?考。(2010-05-27 20:42:50)
　　匿名问： 	王老师：您好！美股这阵子好像过山车，有点像08金融海啸要发生前时的走势，您看是不是有点危险啊？谢谢！(2010-05-27 20:26:31)　　专家[warren王]答： 	美股的利好包括，基本面，公司盈利很?，例如消?者信心指?和新房??都很不?，其??洲四?的GDP也?等於美?Michagen的一?周。美股中期大?在11月，斑?是不想看到美?股市下跌的，??大家都要理解，美?也有政策市。 昨天美股高?低走，是?於中???撤??洲，但是今天??消息被否?了，道指今天高?200?。 如果我?看最近的形?，?子形?在周二出?，周三回落，?和2/5的低?反?，第二天小跌，?後走高，??走?非常?似，大家可以看下。 (2010-05-27 20:34:45)
　　匿名问： 	王老大，一直关注你的博客，你说goog被严重低估，你觉得什么价位介入比较合适，谢谢~(2010-05-27 20:30:00)　　专家[warren王]答： 	460-480我??都是????域，?中的波??比?大的，490?力?如果被突破，520-521是短期?力。(2010-05-27 20:36:55)
　　匿名问： 	王老师您对C的分析这么全面真的很感谢，我是5.07出的4.38和4.08又进了，呵呵，沉不住气啊！ (2010-05-27 20:30:46)　　专家[warren王]答： 	哈哈哈，你出在一?近期高?，?是很?害的，我是在4.97出的，所以向你??！(2010-05-27 20:39:36)
　　匿名问： 	王老师，你真准啊，002110突破昨天的高点了，明天要不要出去，短期压力是多少？ (2010-05-27 20:33:52)　　专家[warren王]答： 	?股我又???，我真的不?得了。(2010-05-27 20:38:33)
　　bigbrown26问： 	王老大，最近股市波动很大，但是现在可以进场搜刮了吗？(2010-05-27 20:40:57)　　专家[warren王]答： 	我?SPX的目?看1200?，但是跌破本周二的低，那就要警惕了。(2010-05-27 20:43:37)
　　匿名问： 	老师，请指点stp我9.40进的，该如何操作，万分感谢！(2010-05-27 20:46:36)　　专家[warren王]答： 	STP我?得短期?超跌反?到12,建???持有，到12?利了?，??出?，或者等S&P接近1100?附近出?了?。(2010-05-27 20:57:19)
　　匿名问： 	呵呵，王老师，您说奥巴马不想股市跌，但是华尔街不喜欢他的金融改革，会不会就与他作对要股市大跌呢？(2010-05-27 20:46:57)　　专家[warren王]答： 	其??在美?的????是全球最健康的，美???向中?表示，?美?政府退出??刺激后，?管理好美?的巨大赤字，?中?放心，如何管理赤字，股市效?在美?是非常重要的，S&P500上?30%，???4??美元的消?，?使得美?赤字?少不少。(2010-05-27 20:49:50)
