8月10日美股专家坐堂实录
　　8月10日，美股专家Aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：高帅，我正在学习美股，我想问下如果看好美元，如何交易美元指数？????(2010-08-10 15:26:51)　　专家[aries高]答：有很多种，可以交易外汇，或者是股票中美元基金(比如UUP)(2010-08-10 21:26:07)
　　匿名问：老师！麻烦帮我看看pot我是114.22买得，后市怎么操作？谢谢 (2010-08-10 20:35:04)　　专家[aries高]答：114附近的介入位置并不好，日线虽然在反弹趋势中，不过已经明显滞涨，如果有机会不妨先出来。(2010-08-10 21:27:42)
　　匿名问：msft 26.2 成本，短期支撑和压力是多少？万分感激！！！(hold or sell? (中线)？(2010-08-10 21:05:28)　　专家[aries高]答：MSFT支撑24.65附近，目前日线呈跌势，压力26.37附近高点(2010-08-10 21:40:39)
　　匿名问：高老师您好，请问MR今天盘前下跌幅度非常之大，是什么原因。您一直比较力挺该股，您认为目前能否介入，请指导，谢谢您！！(2010-08-10 21:16:47)　　专家[aries高]答：昨天盘后MR公布了业绩，不及预期，所以股价出现盘前大幅下跌，目前不妨先观望一下。(2010-08-10 21:28:47)
　　匿名问：高SIR，请问MPEL压力在哪啊，三块七的成本，是等呢，还是见高就走啊，谢了(2010-08-10 21:19:02)　　专家[aries高]答：MPEL压力4.3附近，不过最近一次该股公布的业绩低于预期，所以短期并不是很看好。(2010-08-10 21:36:08)
　　匿名问：高帅，VISN还可以继续持有吗？(2010-08-10 21:28:11)　　专家[aries高]答：VISN首先总体走势很弱，如果能不碰最好别碰，而且日线三连阴后已经结束了近期的反弹。(2010-08-10 21:29:53)
　　匿名问：高老师您好，请问SEED公布业绩了？(2010-08-10 21:32:54)　　专家[aries高]答：我目前没有查到SEED的业绩计划公布日期。(2010-08-10 21:55:13)
　　匿名问：曾帅好！请问600550天威保变今天放量下跌后市您觉得该如何操作？23.07成本，谢谢！！！！！(2010-08-10 21:35:21)　　专家[aries高]答：日线的日线形态并不好看，通常是短期见顶的信号，曾老师这周不在，可以下周找他。(2010-08-10 21:45:26)
　　匿名问：aries how about amd thanks(2010-08-10 21:40:54)　　专家[aries高]答：6.96是AMD的短期支撑，目前走势并不好看，短期不妨规避。(2010-08-10 21:56:21)
　　匿名问：高老师，你好，请问GNW可以买吗？短线怎么看？长线看好吗？(2010-08-10 21:42:24)　　专家[aries高]答：12.39是GNW的短期支撑，7月30日出现放量下跌，所以短期介入的吸引力并不大。(2010-08-10 22:07:51)
　　匿名问：小高老师，CTRP目前能进吗？(2010-08-10 21:44:23)　　专家[aries高]答：CTRP总体走势比较强势，主要个人比较关注回调年线的机会，而不是高位整理区间内部的机会，现在看，年线在35.68附近(2010-08-10 22:09:28)
　　匿名问：高老师你好，请问百度的支撑点和压力点多少，近期如何操作(2010-08-10 21:45:52)　　专家[aries高]答：BIDU支撑78.5附近，目前股价基本是历史新高附近，无明显压力，不宜追高买入，关注任何回调机会。(2010-08-10 22:13:20)
　　匿名问：高老师您好，太阳能STP目前是否可以建仓，谢谢！(2010-08-10 21:51:10)　　专家[aries高]答：STP目前走势并不看好，短期不妨规避，支撑8.43(2010-08-10 22:06:09)
　　匿名问：老师，请帮忙看一下ENER,我5块的本，啥时候可以出啊，谢谢。(2010-08-10 21:53:24)　　专家[aries高]答：ENER日线震荡反弹，但是个人并不看好反弹空间，周线总体的弱势仍然没有变。(2010-08-10 22:05:17)
　　匿名问：高老师，救命呀，快帮分析OIH, $107买的，套住了！！！(2010-08-10 21:56:33)　　专家[aries高]答：107的介入位置还可以，从日线走势看，短期解套的机会是有的。(2010-08-10 22:14:20)
　　匿名问：老师SYUT怎么看(2010-08-10 22:01:48)　　专家[aries高]答：目前暴跌后可能会整理一下，但是饮食行业的负面消息影响通常会比较大，所以目前不妨观望。(2010-08-10 22:27:18)
　　匿名问：高老师你好，请帮忙分析分析000735罗牛山，下一步怎样操作。十分感谢(2010-08-10 22:02:05)　　专家[aries高]答：该股从高位回落后，近两三月是整理走势，目前看，炒作风波过去后想有所表现可能不易。(2010-08-10 22:39:55)
　　匿名问：高老师，Drys有点盈利，是否应该先出来呢？万分感激！(2010-08-10 22:02:18)　　专家[aries高]答：DRYS日线震荡反弹的趋势没有变，短期压力5.2附近(2010-08-10 22:31:13)
　　匿名问：老师， 请问您觉得今天的走势会怎样？谢谢(2010-08-10 22:03:13)　　专家[aries高]答：今天关注下午美联储利率决议和声明，再次之前可能会是低开整理走势。(2010-08-10 22:32:00)
　　匿名问：Hi Aries, What s your opinion about cot and usg thanks!(2010-08-10 22:03:36)　　专家[aries高]答：COT是震荡回落走势，短期该趋势可能持续，USG目前回探前期低点11.6附近得到支撑反弹，如果该支撑不跌破，那么反弹可能会在该位置展开。(2010-08-10 22:37:58)
　　匿名问： 高老师你好！请问无锡尚德可以找机会建仓吗？长期可看好？(2010-08-10 22:08:08)　　专家[aries高]答：刚刚已经有回答，个人目前并不看好该股，并不是说股价低就应该买入。(2010-08-10 22:25:39)
　　匿名问：高老师您好，usap 后势如何？ 可以分析下吗？谢谢！压力点多少？(2010-08-10 22:10:07)　　专家[aries高]答：USAP压力前期高点25.37位置，目前没有好的介入机会，但是如果是前期买入的可以继续持有。(2010-08-10 22:30:26)
　　匿名问：高老师您好，请问CMM可以买吗？谢谢分析一下。(2010-08-10 22:12:24)　　专家[aries高]答：CMM日线的反弹趋势暂时没有变，压力3.44附近，但是目前并不是好的介入时机(2010-08-10 22:29:12)
　　匿名问：老师你好。请帮忙看看HPQ现在能进吗，谢谢。(2010-08-10 22:15:54)　　专家[aries高]答：从走势看，短期并不乐观，建议选择规避，个人想法。(2010-08-10 22:50:10)
　　匿名问：Dear Sir, Please give me some advice about NLY and CIM, which one is the better choice for the long term investment? Many thanks。(2010-08-10 22:16:36)　　专家[aries高]答：NLY日线近期是宽幅震荡的走势，16.95-18.3，CIM周线看，更是大的整理区间，基本面我不是很熟悉，所以长期角度无法给出建议。(2010-08-10 22:57:39)
　　匿名问：大师，SD创新低，还有DRL，现在可以进吗？谢谢！！！！！！！！！！！！！！！！！！！(2010-08-10 22:18:08)　　专家[aries高]答：SD的日线震荡走低，并且趋势没有变，没有必要介入，DRL的走势更差，不要因为股价低而买入。(2010-08-10 22:55:30)
　　匿名问：DELL和PFE后期走势如何？ (2010-08-10 22:19:39)　　专家[aries高]答：DELL日线呈跌势，短期可能持续，PFE的走势比较正面，日线反弹后整理中，如果大盘配合可能会突破该整理区间走高。(2010-08-10 22:52:01)
　　匿名问：高老师，请分析下USO,thank you sooooo much。(2010-08-10 22:23:07)　　专家[aries高]答：USO目前回补了前期的跳空缺口，短期技术上如果止跌是个介入机会。(2010-08-10 22:47:07)
　　匿名问：小高老师，我想买点C,您认为现在可以买吗？谢谢(2010-08-10 22:23:39)　　专家[aries高]答：C总体是整理走势，支撑3.7附近，目前看，没有出现技术性介入机会。(2010-08-10 22:48:57)
　　匿名问：老师好！MR怎么暴跌啊(2010-08-10 22:24:31)　　专家[aries高]答：昨天盘后公布的业绩低于预期是MR股价走低的原因。(2010-08-10 22:47:49)
　　匿名问：高老师，帮忙看下000636可进吗？谢谢！(2010-08-10 22:29:12)　　专家[aries高]答：从日线组合形态看，短期可能还会出现更低的价格(2010-08-10 22:53:31)
　　匿名问：高老师：请教SPRD的下个压力点会在哪？谢谢(2010-08-10 22:31:14)　　专家[aries高]答：10.96的前期高点时SPRD的压力。(2010-08-10 22:54:21)
　　匿名问：老师好！我的UNG是8.10买的能解套吗？(2010-08-10 22:50:51)　　专家[aries高]答：短期解套有一定难度，支撑6.72(2010-08-10 23:01:38)
　　匿名问：高老师，您好！很感激您对000012的指点！现在算是突破12.6的压力位了吗？(2成仓位已在12.5元时卖出。)新的压力和支撑是多少？万分感激！！！(2010-08-10 22:54:13)　　专家[aries高]答：000012日线是个大的V型反转，很可惜最近建议的位置不是很好，让你套了那么久，压力14.67的前期高点，支撑12.27附近。(2010-08-10 22:59:33)
　　匿名问：Hey Aries, do yo think it is a good time to add more AMR, thx(2010-08-10 23:01:52)　　专家[aries高]答：AMR目前是整理走势，并没有出现好的介入机会，今天就到这类了，大家明天见，have a good trading day(2010-08-10 23:03:45)
　　匿名问：高老师，000636的支撑是多少？A股短期的支撑在哪里？(2010-08-10 23:01:56)　　专家[aries高]答：A股个人觉得是逢回调买入，000636的支撑11.2(2010-08-10 23:03:01)

