10月27日美股专家坐堂实录
　  新浪财经讯 10月22日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	I bought X @ 43.3 , do you think I can hold it or sell it , Thanks you for Help (2010-10-27 12:04:52)　　专家[aries高]答： 	X??不好，短期可能?持?弱?一段??。(2010-10-27 21:29:54)
　　匿名问： 	高老师，请问C现在的走势怎么样？还能持有么？(2010-10-27 20:22:38)　　专家[aries高]答： 	C近期?是整理走?，?注突破4.3的??，整理走?可能?持?。(2010-10-27 21:38:00)
　　匿名问： 	高老师晚上好我17.50买的600596新安股份后市如何操作。？谢谢 (2010-10-27 20:53:38)　　专家[aries高]答： 	?股是底部反?形?，?似?肩底，???是?向於看?。(2010-10-27 21:43:52)
　　匿名问： 	高老师，pmi、rdn两个股票最近缩量，是否意味着主力前期已经出逃？(2010-10-27 20:58:37)　　专家[aries高]答： 	??只?股是同板?，走?基本一致，??上看也是上?后持???一段??的整理，短期看，??整理??又?始了，可能?持?一小段??，比如一?周。(2010-10-27 21:46:34)
　　匿名问： 	高老师，国内通涨比较厉害，A股两个黄金股中期是否有机会？(2010-10-27 20:59:29)　　专家[aries高]答： 	可以?注?金??股的????，但是切忌追高。(2010-10-27 21:51:31)
　　匿名问： 	高老师好：很喜欢您坐堂！601866现在能介入吗？短期支撑和压力是多少？谢谢！！！(2010-10-27 21:15:41)　　专家[aries高]答： 	?股??拉升后，目前??整理，支?4.2，?力4.41(2010-10-27 21:53:40)
　　匿名问： 	高老师，帮忙看看GLCH什么价位是否可以介入，还有ZSTN，谢谢你(2010-10-27 21:21:23)　　专家[aries高]答： 	GLCH??拉升后?始整理，?人?向於??看?，1.96位置 是短期支?。ZSTN的成交量更小一些，技?分析?其分析基本不起作用，略偏多。(2010-10-27 21:58:22)
　　匿名问： 	高老师，您好！很感激您昨天对000012的指点！请教老师：17.3的支撑还有效吗？可以继续加仓吗？万分感激！！！(2010-10-27 21:23:52)　　专家[aries高]答： 	今天已???到17.3下方，下?支?15.33附近，逢低?股??受到市?的追捧。(2010-10-27 22:12:28)
　　匿名问： 	老师，请帮忙看看sprd ，(2010-10-27 21:29:33)　　专家[aries高]答： 	SPRD目前?於反?新高的位置，市?可能?其???不?，但是目前的位置?有必要追，可以再次等待??50日均???。(2010-10-27 22:03:26)
　　匿名问： 	how is C? Thanks. Mr. Gao(2010-10-27 21:33:07)　　专家[aries高]答： 	C?才有回答，可以查看一下。(2010-10-27 22:07:39)
　　匿名问： 	老师好，601898我是13.08买的，还可以持有吗？后市如何操作？(2010-10-27 21:34:12)　　专家[aries高]答： 	煤炭板?目前只是?高后的小幅回落，?人?向於?小幅?整，但是幅度?不?大。(2010-10-27 22:20:31)
　　匿名问： 	高老师好，我的000063今天大跌了，后市应该怎么操作呢！!谢谢你(2010-10-27 21:36:21)　　专家[aries高]答： 	日?看，下跌??可能?持?，但是?股的基本面不?，??幅度可能?不?大。(2010-10-27 22:21:37)
　　匿名问： 	mr如何？谢谢(2010-10-27 21:36:50)　　专家[aries高]答： 	28.5位置是???支?，今天股?也是??到?位置反?，短期可以?注一下。(2010-10-27 22:09:12)
　　匿名问： 	老师好，我今天尾盘买了601001,我觉的它资金流入不错的应该会再涨的，你认为呢(2010-10-27 21:38:31)　　专家[aries高]答： 	?股走?和煤炭板?基本一致，?人?得是短期一些?利?的回吐，但是??幅度不?太大。(2010-10-27 22:29:54)
　　匿名问： 	老师好，002202,小利，我今天没有卖，想再看下，你觉的正确吗？(2010-10-27 21:42:07)　　专家[aries高]答： 	?股一向波?比?大，如果日?再收??，可以考?先出?，?人想法。(2010-10-27 22:27:40)
　　匿名问： 	ARIES早，昨天买了600036和600005，麻烦看看此两股是否值得，支撑和压力是多少，请一定回答噢，谢谢谢谢。。。(2010-10-27 21:43:28)　　专家[aries高]答： 	?人不太看好??板?，反?空?可能?比?有限，招商?行14.4位置是短期支?。(2010-10-27 22:33:51)
　　匿名问： 	老师， LVS今天公布业绩。你觉得可以进场吗？(2010-10-27 21:55:08)　　专家[aries高]答： 	LVS是在28日?後公???，?人知道?果????，按照保守的做法就是等??出?后再?。(2010-10-27 22:14:55)
　　匿名问： 	老师，能否分析一下600408和600186的后市如何？压力和支撑位于哪里？谢谢！(2010-10-27 21:56:05)　　专家[aries高]答： 	600408支?6.05附近，?力7.04，600186支?5.69，?力6.31附近。(2010-10-27 22:36:20)
　　匿名问： 	高老师，帮忙看看海通证券600837能否再创新高？(2010-10-27 22:06:13)　　专家[aries高]答： 	伴?市?活?度的恢?，券商??股未?可能?有一定表?，?向於??一步走高。(2010-10-27 22:42:37)
　　匿名问： 	老师INTC现价是否可以进，多谢分析。。。。(2010-10-27 22:07:03)　　专家[aries高]答： 	20.1附近是????力，可以?注放量突破的??。(2010-10-27 22:18:34)
　　匿名问：  	老师好。请问UNG的走势。(2010-10-27 22:07:16)　　专家[aries高]答： 	UNG目前是反???，短期可能??一步反?。(2010-10-27 22:23:00)
　　匿名问： 	老师bac该进入了吧(2010-10-27 22:07:36)　　专家[aries高]答： 	BAC日?止跌小幅反?中，可以考?。(2010-10-27 22:24:37)
　　匿名问： 	高老师：晚上好我今天22.25买的601607上海医药，被套了，后市如何操作。？小民是前几天刚入市的小散，首次被套真的很紧张，多谢高老师指导！(2010-10-27 22:07:58)　　专家[aries高]答： 	?股是放量下跌，短期日??向於?一步回落。(2010-10-27 22:37:25)
　　匿名问： 	老师好。请问可以持有BLSM.OB吗？谢谢。(2010-10-27 22:10:16)　　专家[aries高]答： 	我看不到??代?走?。(2010-10-27 22:17:19)
　　匿名问： 	老师，请帮忙看看vvus(2010-10-27 22:12:59)　　专家[aries高]答： 	VVUS????股，短期弱?整理中，短期可能??在小???震?。(2010-10-27 22:25:34)
　　匿名问： 	高老师晚上好，我买入WMB的成本是21.16，应该如何操作？ (2010-10-27 22:13:37)　　专家[aries高]答： 	WMB短期?注19.84位置年?支?，目前?????有?。(2010-10-27 22:48:50)
　　匿名问： 	高老师，您好！很感激您对600054的指点(现成本21.16元，基本满仓)！请教老师：在近几天冲上20.5时，是先减去部分仓位？还是全部砍仓出来？等待回调。盼老师指教。万分感激！！！(2010-10-27 22:13:38)　　专家[aries高]答： 	日?看，?股目前震?反?的???是?有?。(2010-10-27 22:43:40)
　　匿名问： 	老师好，请问CTRP的支撑在哪？(2010-10-27 22:13:42)　　专家[aries高]答： 	48.89附近是短期支?，即20日均?位置。(2010-10-27 22:39:10)
　　匿名问： 	老师你好。情分析一下born这只个票。我是16进的是留是去请给点建议。谢谢。(2010-10-27 22:17:42)　　专家[aries高]答： 	BORN近期出?放量下跌，短期走??人不太看好。(2010-10-27 22:40:01)
　　海天一色问： 	老师你好。情分析一下mcox这只股票。我是17.6进的。您认为后市如何。万分感谢。(2010-10-27 22:20:36)　　专家[aries高]答： 	?股??IPO上市，走?不?定性很?，所以通常不建?大家玩，?然?基本面比?有信心的除外。(2010-10-27 22:47:42)
　　匿名问： 	你好老师600708好像有调整结束的迹象今天逆势上涨该股压力多少谢(2010-10-27 22:26:58)　　专家[aries高]答： 	?股下??力9.4，短期????看?。(2010-10-27 22:52:07)
　　匿名问： 	老师，房屋数据好于预期，为什么大部分股票还都在跌呀(2010-10-27 22:29:24)　　专家[aries高]答： 	美元反?是??的主要原因，而且房屋???不是十分重要的??。(2010-10-27 22:57:06)
　　匿名问： 	sir how do you think faz can go to 13.00(2010-10-27 22:40:41)　　专家[aries高]答： 	FAZ短期是整理走?，13.31是短期?力，支?11.82(2010-10-27 22:50:14)

