4月7日美股专家坐堂实录
　  新浪财经讯 4月7日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录匿名问
  　匿名问： 曾老师，请问ASIA和PWRD现在能买入吗？多谢！！(2011-04-07 11:34:51)　　专家[曾文俊]答：  这2只股票都是弱势中，且近日正好反弹到压力位。不适合现在买入。(2011-04-07 21:36:51)
　　匿名问：  曾老师好，请问中国南车是否止跌企稳了，现在可以买入吗，谢谢！(2011-04-07 20:56:14)　　专家[曾文俊]答：  没有，半年线的破位反抽确认中(2011-04-07 21:39:04)
　　匿名问：  曾老师，AONE目前可以介入吗？(2011-04-07 20:56:23)　　专家[曾文俊]答：  这2天一直有人在问AONE，刚破位新低，不可介入(2011-04-07 21:37:42)
　　匿名问：  老师：请分析一下欧洲加息对美元以及尚品的影响。谢谢！(2011-04-07 20:58:55)　　专家[曾文俊]答：  欧洲如期加息，同时特里谢谈这并不意味加息周期的开始。如此我们知道货币的宽松近期不会改变，商品将继续上扬。由于欧洲并不持续加息那么欧元美元应会下跌，即美元相对会上涨。(2011-04-07 21:28:58)
　　匿名问：  老师你好：C和KUTV现价可以加入么，另你看好那些美股？谢谢(2011-04-07 21:03:18)　　专家[曾文俊]答：  短期均在压力。美股建议关注通胀相关的资源板块。(2011-04-07 21:41:56)
　　匿名问：  曾老师，诚心请教MCP已过前期最高点，昨日下滑幅度比较大，是否该获利了结？谢谢！(2011-04-07 21:10:55)　　专家[曾文俊]答：  稀土概念卷土重来，新高后的回调属于正常情况。看你的成本，即使调整到55都属于可容忍的。(2011-04-07 21:46:38)
　　匿名问：  Dear Mr. Zeng: Can you analysis DD? Thanks(2011-04-07 21:12:46)　　专家[曾文俊]答：  杜邦公司大家都知道。走势方面稳定的上扬。加之现在大盘稳定，是可以考虑的品种(2011-04-07 21:49:08)
　　匿名问：  老师帮我看一下aapl长期怎么样？(2011-04-07 21:18:31)　　专家[曾文俊]答：  几个月前我们分析过苹果和安卓系统，认为长期看，安卓的开放性将战胜苹果的封闭性，现在市场占有率已经证明安卓的成功。如果继续如此发展，对苹果不看好。(2011-04-07 21:52:57)
　　匿名问：  老师好！我的600380好惨，怎么办？(2011-04-07 21:30:15)　　专家[曾文俊]答：  今天遭遇利空打击到年线，不过随后收回。可先持有看看，毕竟大盘也在走强。(2011-04-07 21:55:01)
　　匿名问：  小曾老师，海通证券600837可否进场长期持有？(2011-04-07 21:42:02)　　专家[曾文俊]答：  长期不好说，不过近期应无忧。周期股在继续升温。(2011-04-07 21:56:01)
　　匿名问：  小曾老师好！请问您怎么看AIG？近期是否会涨？多谢！(2011-04-07 21:43:53)　　专家[曾文俊]答：  走势太糟糕，看不到上涨的动力。(2011-04-07 21:59:07)
　　匿名问：  曾帅锅，请问一下噢，UPS可以拿吗？压力点是什么啊？还是该卖啦(2011-04-07 21:45:58)　　专家[曾文俊]答：  压力75。属于正常的调整，没有必要现在卖出。支撑在70。(2011-04-07 22:01:08)
　　匿名问：  曾老师：你好！ 请指教drys是否可以先抛了，虽然是套的，但是这个股实在太弱了。谢谢告诉！(2011-04-07 21:46:18)　　专家[曾文俊]答：  如果是套的，没有必要割肉。现在周期类在恢复，或许航运类也会有机会。(2011-04-07 22:02:21)
　　匿名问：  老师好，我今天买了600873，5000股，不知道该怎么操作的(2011-04-07 21:54:25)　　专家[曾文俊]答：  持有即可(2011-04-07 22:10:10)
　　匿名问：  小曾老师：今天A股上3000是否可视为有效突破？(2011-04-07 21:54:50)　　专家[曾文俊]答：  技术上并不能说已经脱离。不过如昨日博客里分析的，仅仅2天就回到3000，并且不受加息的影响。基本可以认为突破只是时间问题。(2011-04-07 22:08:30)
　　匿名问：  teacher,what do you think TZOO.i bought it at the high price$83,should i sell it now? (2011-04-07 21:56:37)　　专家[曾文俊]答：  连续上涨后进行回调很正常，现在并不能判断其上涨势头是否终结。(2011-04-07 22:15:12)
 
　　匿名问：  Once the teacher, AONE currently can intervene? (2011-04-07 21:58:02)　　专家[曾文俊]答：  前已答复，不可。(2011-04-07 22:22:38)
　　匿名问：  曾老师，请问现在可以介入ARMH吗？(2011-04-07 21:58:57)　　专家[曾文俊]答：  现价未必适合。不过公司确实值得介入，智能手机和平板电脑就靠他了。(2011-04-07 22:19:33)
　　匿名问：  600362江西铜业，后市如何，近几日铜价有所上涨(2011-04-07 22:01:04)　　专家[曾文俊]答：  走势远落后于铜价，有低估之嫌。但资金不追逐，也就只能先少量介入，待趋势出来后再加仓。(2011-04-07 22:24:51)

