30只契约规定可以投资股指期货的基金(表)
　　证券简称 发行日期 基金规模(亿元) 投资类型
　　博时第三产业成长 2007-04-24 102.9281 普通股票型
　　博时特许价值 2008-04-22 10.1103 普通股票型
　　长盛创新先锋 2008-04-16 1.7404 偏股混合型
　　长信恒利优势 2009-06-26 5.49 普通股票型
　　东吴进取策略 2009-03-30 3.1088 偏股混合型
　　光大保德信精选 2009-02-02 3.6695 普通股票型
　　华夏盛世精选 2009-12-09 178.1683 普通股票型
　　华夏策略精选 2008-10-20 27.0036 偏股混合型
　　华夏蓝筹核心 2007-04-27 151.8786 偏股混合型
　　嘉实量化阿尔法 2009-02-16 21.8222 普通股票型
　　嘉实回报灵活配置 2009-07-14 54.4233 偏股混合型
　　景顺长城公司治理 2008-09-01 0.7206 普通股票型
　　景顺长城能源基建 2009-08-20 4.5953 普通股票型
　　信诚精萃成长 2006-10-23 31.1492 普通股票型
　　中银动态策略 2008-03-03 20.2991 普通股票型
　　中银行业优选 2009-02-23 9.1126 偏股混合型
　　华泰柏瑞价值增长 2008-06-11 4.0676 普通股票型
　　国联安主题驱动 2009-07-20 3.6872 普通股票型
　　银河沪深300价值 2009-11-16 7.549 被动指数型
　　银华沪深300 2009-09-04 5.991 被动指数型
　　交银180治理ETF联接 2009-08-31 59.3637 被动指数型
　　华宝兴业中证100 2009-08-26 11.5386 被动指数型
　　中银中证100 2009-07-31 27.5926 增强指数型
　　华夏沪深300 2009-07-06 257.3918 被动指数型
　　长盛中证100 2006-10-26 12.6397 被动指数型
　　大成沪深300 2006-03-02 75.5385 被动指数型
　　嘉实沪深300 2005-07-05 365.8979 被动指数型
　　南方沪深300 2009-03-04 20.6374 被动指数型
　　中海上证50 2010-02-22 4.7992 增强指数型
　　工银瑞信沪深300 2009-02-03 54.2287 被动指数型
　　合计规模  1537.1428
　　资料来源：本报整理

