QDII去年跑赢A股基金 招商全球资源赚21.9%居首
　　新快报讯 记者 强燕 报道 “不好发，容易做”的情形也出现在QDII基金上。受前几年所发行QDII基金表现不佳的影响，去年虽然掀起了一波QDII基金发行潮，但首募规模均只有五六亿元。不过，去年QDII基金的表现要比A股基金的平均水平要好，成为最赚钱的品种之一，仅次于债券基金。
　　来自晨星(中国)网站的数据显示，23只偏股型QDII基金中仅7只出现亏损，业绩最好的招商全球资源涨幅超过20%，净值跌幅最大的为嘉实H股指数，跌幅接近7%。另据银河基金研究中心的数据显示，截至2010年12月31日，2010年以前成立的9只QDII去年平均回报率为3.04%；而所有2010年以前成立的363只偏股型基金平均收益仅为2.03%。
　　大部分QDII基金业绩均出现反弹，与去年海外市场的出彩表现密不可分。数据显示，在2010年，恒生指数全年累计上涨5.32%，标准普尔500指数的累计涨幅则达到了13%；而上证综合指数则下跌14.31%，沪深300指数下跌12.51%。由于海外市场的出彩表现以及受未来的投资前景吸引，一些投资者顺势将目光对准了QDII。正在发行的海富通大中华精选股票型基金因此受到了机构和个人投资者的青睐。海富通大中华精选股票型基金以全球除内地股票市场以外的具有“大中华概念”的上市公司为主要投资对象，包含中国香港、中国台湾、美国、新加坡和英国5个市场，尤以中国香港、中国台湾市场为投资重点。
　　海富通大中华精选股票型基金拟任基金经理杨铭称，中国香港、中国台湾股市与中国大陆经济有紧密经济联系，同时又有A股市场上较少见的新能源、网络、消费和高科技行业优质上市公司。事实上，在今年A股表现不佳的情况下，整个大中华区股市仍有不错的收益。数据显示，截至2010年12月31日，跟踪大中华区域内可投资股票的全球性投资指数MSCI金龙指数累计上涨10.36%，远远优于A股表现，杨铭称，通过投资这样一只基金，投资者既有机会全方位分享到中国成长的收益，又有机会轻松化解股市波动风险，抵御通胀。
　　去年收益率较靠前的 QDII 基金
　　基金名称         去年收益率(%)
　　招商全球资源         21.90
　　上投摩根亚太优势     14.00
　　国泰纳斯达克 100     12.10
　　汇添富亚澳成熟优选   11.40
　　易方达亚洲精选       11.15
　　工银中国机会全球     9.27
　　华夏全球             8.86
　　国投瑞银新兴市场     8.60
　　长盛环球行业         7.60
　　工银全球精选         7.00

