沪锌白糖领涨 国内期市全线飘红
　　王超
　　周一国内商品期货市场全线飘红。有分析认为，上周五美国公布利多就业数据、希腊危机缓解以及国内两会不断透露出乐观的消息，令商品市场一扫过去数日谨慎心态。预计短期内市场仍将延续小步反弹势头。
　　从板块表现看，有色金属涨幅居前，沪锌表现最为明显，主力合约涨幅达4.45%；橡胶、PTA等能源化工强势不改；农产品继续稳扎稳打，有序推进上涨进度。特别是白糖，近期受干旱天气影响，产量预期下降，今日成为农产品中的领涨者。
　　沪锌领涨基本金属
　　有色金属全线上涨，交投活跃，铝、锌市场均大幅增仓。银河期货认为，亚洲电子盘美元指数下跌为金属涨势提供支持，尤其是期锌表现显著，而期铝也在铜和锌带动下上行。
　　据分析，上周五美国好于预期的2月非农就业数据为金属市场提供人气，美元走弱推动上涨，其中伦锌领涨基本金属。现货市场上，上海0号锌主流成交在18350元/吨附近，贴水1006合约700-750元/吨；1号锌则成交在18300元/吨附近，但市场的消费疲弱，下游在高位采购度有限。
　　银河期货认为，从目前市场走势看，美国2月非农就业数据好于预期，提振市场对美国经济增长的乐观情绪，且希腊债务问题忧虑缓解进一步令市场风险偏好改善，资金开始返回市场。由于锌价前期涨幅相对铜价有限，因此近期锌价表现偏强。但从国内市场看，由于今年节后下游需求旺季启动缓慢，现货库存增加压力较大，加之市场对国家宏观政策可能调整的担忧令下游消费买盘迟滞，因此国内锌价相对LME锌价表现偏弱。
　　目前来看，有迹象显示国内金属下游消费开始慢慢启动，特别是节前下游企业目前都在逐步消化节前库存，那么随着订单的增加，下游消费预计在本月晚些市场开始启动，这将对消化社会库存、拉动需求起到关键作用，铝价和锌价也将得到支持。
　　橡胶强势未改
　　沪胶主力1009合约周一报收于24800元/吨，涨幅达3.64%。通联期货施海认为，云南旱区出现的降雨可能不足以缓解旱情，若产量下滑，将刺激进口增加，提升国内外市场价格，在近一段时间内，旱情的持续将帮助期货价格走稳。
　　据悉，云南重要的橡胶产区西双版纳州自2009年9月下旬以来，持续高温干旱少雨天气，形势严峻。这一段时间，降水量比常年同期偏少58%以上，为有气象记录以来的最低值。预计9日至10日，西双版纳州将有一次降雨，但雨量不大，不能有效缓解旱情。此外，旱情还有利于橡胶树蚧壳虫及红毛蜘蛛等虫害蔓延，这也是影响产量的忧患。如果此次降雨不能明显缓解产区干旱，云南产量很可能出现下滑，这会刺激市场价格走高。
　　农产品稳步上扬
　　农产品虽然涨势偏弱，但依然全线飘红。从农产品期货主力品种——油料油脂表现来看，棕榈油依然是领头军。截至收盘，棕榈油涨幅在0.9%以上，豆油涨幅在0.7%以上，且棕榈油1009合约收盘报在7030元/吨，豆油1009合约报价7544元/吨。
　　东证期货王爱华分析，从基本面上看，棕榈油基本面诸多利好因素频现，对棕榈油形成较强支撑。两会中对三农支持力度加大的利好提振。两会报告中提到继续实施对种粮农民直接补贴，增加农资综合补贴、良种补贴、农机具购置补贴，中央财政拟安排补贴资金1335亿元，比上年增加60.4亿元。进一步提高粮食最低收购价。
　　另外从消息面来看，权威行业杂志《油世界》表示，虽然棕榈油产量有望增加，但由于全球棕榈油出口步伐强劲，这将会导致库存减少。油世界预计全球棕榈油库存将从2009年9月份的693万吨降低至2010年9月的668万吨。主要是因为棕榈油出口强劲以及用量增加。据马来西亚一位部长表示，2008年底马来西亚曾宣布轮换一批树龄较高的油棕榈，重种新的油棕榈20万公顷，而至今只完成当时目标的17.9%。且近一个月，马来西亚棕榈树进入季节性的低产期，这些均对近期棕榈油价格形成利好提振。
　　国内商品期货每日行情(3月8日)
　　品种 交割月 今开盘 最高价 最低价 收盘价 结算价 涨跌 成交量 持仓量 持仓量变化
　　铝 1006 16940 17135 16905 17075 17040 200 139822 115550 19628
　　黄金 1006 251.06 252.16 250.88 252.01 251.66 0.95 23400 62712 2300
　　铜 1006 60210 60780 60050 60690 60470 1140 311090 210790 2924
　　燃料油 1005 4575 4589 4555 4567 4570 28 53308 70698 －4206
　　螺纹钢 1010 4578 4628 4572 4626 4610 82 1078198 622494 95642
　　天然橡胶 1009 24250 24835 24015 24800 24425 870 1303526 187304 23890
　　线材 1005 3922 4040 3922 4011 4006 35 396 11496 4
　　锌 1006 18870 19260 18780 19235 19055 820 608786 174936 15348
　　豆一 1009 3842 3845 3821 3842 3836 20 201768 267618 4804
　　玉米 1009 1862 1870 1861 1869 1865 11 28326 152058 －5584
　　聚乙烯 1005 11550 11685 11400 11620 11580 120 323210 102354 20568
　　豆粕 1009 2779 2800 2774 2797 2785 31 588242 1049370 －16126
　　棕榈油 1009 7008 7048 6972 7030 7014 64 505750 332682 －7082
　　聚氯乙烯 1005 7455 7540 7440 7525 7495 90 51846 57748 404
　　豆油 1009 7506 7560 7498 7544 7532 56 460324 573236 3324
　　棉花 1009 16810 16960 16760 16845 16865 125 213700 160846 13270
　　早籼稻 1009 2150 2153 2146 2151 2150 2 13134 71508 2344
　　菜籽油 1009 8140 8170 8110 8126 8128 50 43286 75078 －1392
　　白糖 1009 5736 5748 5694 5747 5724 66 553176 626860 －10886
　　PTA 1005 8290 8386 8264 8364 8348 146 331914 181500 1512
　　强麦 1009 2279 2280 2275 2278 2278 5 2632 26460 292

